asset,start_date,end_date,days,gov_total_return_pct,base_total_return_pct,delta_total_return_pct,avg_daily_delta_pct,sum_daily_delta_pct
DOGE,2020-05-10,2020-05-15,6,6.805750925451437,6.805750925451437,0.0,0.4852520216352133,2.91151212981128
ADA,2020-05-31,2020-06-05,6,4.120518207479162,4.120518207479162,0.0,0.0,0.0
ADA,2020-06-07,2020-06-12,6,-10.422491924173439,-10.422491924173439,0.0,0.0,0.0
ADA,2020-06-14,2020-06-19,6,1.2334572818198497,1.2334572818198497,0.0,0.0,0.0
ADA,2020-06-21,2020-06-26,6,-6.098253606424109,-6.098253606424109,0.0,0.0,0.0
ADA,2020-06-28,2020-07-03,6,17.90119362320739,3.476721580686881,14.42447204252051,2.4026823055102966,14.41609383306178
ADA,2020-07-05,2020-07-10,6,11.474811221194802,11.474811221194802,0.0,0.0,0.0
ADA,2020-07-12,2020-07-17,6,-1.5991649269311292,-1.5991649269311292,0.0,0.0,0.0
ADA,2020-07-19,2020-07-24,6,29.341977034871448,29.341977034871448,0.0,0.0,0.0
ADA,2020-07-26,2020-07-31,6,20.212468549063512,20.212468549063512,0.0,0.0,0.0
ADA,2020-08-02,2020-08-07,6,4.8271762177791055,4.8271762177791055,0.0,0.0,0.0
ADA,2020-08-09,2020-08-14,6,-0.3407069079754743,-0.3407069079754743,0.0,0.0,0.0
ADA,2020-08-16,2020-08-21,6,-5.033494474856948,-5.033494474856948,0.0,0.0,0.0
ADA,2020-08-23,2020-08-28,6,-2.6177234383053305,-2.6177234383053305,0.0,0.0,0.0
ADA,2020-08-30,2020-09-04,6,-12.109944925594007,-12.109944925594007,0.0,0.0,0.0
ADA,2020-09-06,2020-09-11,6,0.650507449794846,0.650507449794846,0.0,0.0,0.0
ADA,2020-09-13,2020-09-18,6,3.831416906473839,3.831416906473839,0.0,0.0,0.0
ADA,2020-09-20,2020-09-25,6,2.9890892195807206,2.9890892195807206,0.0,0.0,0.0
ADA,2020-09-27,2020-10-02,6,-1.4403353739486535,-1.4403353739486535,0.0,0.0,0.0
ADA,2020-10-04,2020-10-09,6,-0.15000000000000568,-0.15000000000000568,0.0,0.0,0.0
ADA,2020-10-11,2020-10-16,6,-1.490990085131072,-1.490990085131072,0.0,0.0,0.0
ADA,2020-10-18,2020-10-23,6,8.658054310572115,8.658054310572115,0.0,0.0,0.0
ADA,2020-10-25,2020-10-30,6,3.6310775383713523,3.6310775383713523,0.0,0.0,0.0
ADA,2020-11-01,2020-11-06,6,9.365232479443652,9.365232479443652,0.0,0.0,0.0
ADA,2020-11-08,2020-11-13,6,4.8409456688593755,4.8409456688593755,0.0,0.0,0.0
ADA,2020-11-15,2020-11-20,6,56.25644697218321,56.25644697218321,0.0,0.0,0.0
ADA,2020-11-22,2020-11-27,6,-11.951379798802853,-11.951379798802853,0.0,0.0,0.0
ADA,2020-11-29,2020-12-04,6,-2.7833753979895737,-2.7833753979895737,0.0,0.0,0.0
ADA,2020-12-06,2020-12-11,6,-1.8688989873167139,-1.8688989873167139,0.0,0.0,0.0
ADA,2020-12-13,2020-12-18,6,22.273579286021715,22.273579286021715,0.0,0.0,0.0
ADA,2020-12-20,2020-12-25,6,16.609719050111128,16.609719050111128,0.0,0.0,0.0
ADA,2020-12-27,2021-01-01,6,18.82950921013422,18.82950921013422,0.0,0.0,0.0
ADA,2021-01-03,2021-01-08,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-01-10,2021-01-15,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-01-17,2021-01-22,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-01-24,2021-01-29,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-01-31,2021-02-05,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-02-07,2021-02-12,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-02-14,2021-02-19,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-02-21,2021-02-26,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-02-28,2021-03-05,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-03-07,2021-03-12,6,2.4531620317344682,2.4531620317344682,0.0,0.0,0.0
ADA,2021-03-14,2021-03-19,6,-1.5911936428227302,-1.5911936428227302,0.0,0.0,0.0
ADA,2021-03-21,2021-03-26,6,4.272831010787392,4.272831010787392,0.0,0.0,0.0
ADA,2021-03-28,2021-04-02,6,-1.0124494517005034,-1.0124494517005034,0.0,0.0,0.0
ADA,2021-04-04,2021-04-09,6,0.9359567796606516,0.9359567796606516,0.0,0.0,0.0
ADA,2021-04-11,2021-04-16,6,8.416094008017993,8.416094008017993,0.0,0.0,0.0
ADA,2021-04-18,2021-04-23,6,-8.240929255476148,-8.240929255476148,0.0,0.0,0.0
ADA,2021-04-25,2021-04-30,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-05-02,2021-05-07,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-05-09,2021-05-14,6,-12.70164454230821,-12.70164454230821,0.0,0.0,0.0
ADA,2021-05-16,2021-05-21,6,0.0,0.0,0.0,0.0,0.0
ADA,2021-05-23,2021-05-28,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-05-30,2021-06-04,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-06-06,2021-06-11,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-06-13,2021-06-18,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-06-20,2021-06-25,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-06-27,2021-07-02,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-07-04,2021-07-09,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-07-11,2021-07-16,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-07-18,2021-07-23,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-07-25,2021-07-30,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-08-01,2021-08-06,6,0.0,0.0,0.0,0.0,0.0
ETH,2021-08-08,2021-08-13,6,3.343754188881265,3.343754188881265,0.0,0.0,0.0
ETH,2021-08-15,2021-08-20,6,4.99991271733915,4.99991271733915,0.0,0.0,0.0
ETH,2021-08-22,2021-08-27,6,-0.3438722221838275,-0.3438722221838275,0.0,0.0,0.0
ETH,2021-08-29,2021-09-03,6,2.72335388318774,2.72335388318774,0.0,0.0,0.0
ETH,2023-01-22,2023-01-27,6,1.6130083477629675,1.6130083477629675,0.0,0.0,0.0
ETH,2023-01-29,2023-02-03,6,7.814381087884414,7.814381087884414,0.0,0.0,0.0
ETH,2023-02-05,2023-02-10,6,-4.188548941936821,-4.188548941936821,0.0,0.0,0.0
ETH,2023-02-12,2023-02-17,6,3.9142323169971682,3.9142323169971682,0.0,0.0,0.0
ETH,2023-02-19,2023-02-24,6,-1.5088812690231657,-1.5088812690231657,0.0,0.0,0.0
ETH,2023-02-26,2023-03-03,6,-3.875667056447285,-3.875667056447285,0.0,0.0,0.0
ETH,2023-03-05,2023-03-10,6,0.0,0.0,0.0,0.0,0.0
ETH,2023-03-12,2023-03-17,6,5.288337060138892,11.04448608677362,-5.756149026634728,-0.9213611391213116,-5.52816683472787
TRX,2023-05-28,2023-06-02,6,6.768276931025574,-3.098531650345282,9.866808581370856,2.0443370771382265,12.26602246282936
TRX,2023-06-04,2023-06-09,6,-11.526173507004167,-0.14999999999998348,-11.376173507004182,-1.4104987029835,-8.462992217901
TRX,2023-06-11,2023-06-16,6,0.0,0.0,0.0,0.15323468850260832,0.9194081310156499
TRX,2023-06-18,2023-06-23,6,0.0,0.0,0.0,0.0,0.0
TRX,2023-06-25,2023-06-30,6,0.0,0.0,0.0,0.0,0.0
TRX,2023-07-02,2023-07-07,6,-0.8894722969536639,-0.8894722969536639,0.0,0.0,0.0
TRX,2023-07-09,2023-07-14,6,0.5016460156276548,0.5016460156276548,0.0,0.0,0.0
TRX,2023-07-16,2023-07-21,6,1.2433639175232658,4.914342878579525,-3.6709789610562593,-0.6083306136094966,-3.64998368165698
TRX,2023-07-23,2023-07-28,6,-0.8636200071968192,-0.14999999999999458,-0.7136200071968246,0.1829564372309517,1.0977386233857103
TRX,2023-07-30,2023-08-04,6,-2.5878234779347364,0.0,-2.5878234779347364,-1.0531836694579249,-6.319102016747549
SOL,2023-10-22,2023-10-27,6,3.7614021311275003,13.001801119347988,-9.240398988220488,-1.60981355988051,-9.65888135928306
DOGE,2023-12-03,2023-12-08,6,38.61631366378406,38.84204406105074,-0.22573039726668043,-0.3298533692542017,-1.9791202155252103
DOGE,2023-12-10,2023-12-15,6,2.178066427273695,2.178066427273695,0.0,0.0,0.0
DOGE,2023-12-17,2023-12-22,6,2.4482275222819982,2.4482275222819982,0.0,0.0,0.0
DOGE,2023-12-24,2023-12-29,6,0.40921015867094734,0.40921015867094734,0.0,0.0,0.0
DOGE,2023-12-31,2024-01-05,6,-3.975956168795003,-3.975956168795003,0.0,0.0,0.0
DOGE,2024-01-07,2024-01-12,6,-7.430916445680735,-7.430916445680735,0.0,0.0,0.0
DOGE,2024-01-14,2024-01-19,6,0.06299220353755963,0.06299220353755963,0.0,0.0,0.0
DOGE,2024-01-21,2024-01-26,6,2.548810488869546,2.548810488869546,0.0,0.0,0.0
DOGE,2024-01-28,2024-02-02,6,3.715498938428885,3.715498938428885,0.0,0.0,0.0
DOGE,2024-02-04,2024-02-09,6,5.284129549665928,5.284129549665928,0.0,0.0,0.0
DOGE,2024-02-11,2024-02-16,6,1.6812865914307862,1.6812865914307862,0.0,0.0,0.0
DOGE,2024-02-18,2024-02-23,6,1.6238793806030882,1.6238793806030882,0.0,0.0,0.0
DOGE,2024-02-25,2024-03-01,6,7.728735429510647,7.728735429510647,0.0,0.0,0.0
DOGE,2024-03-10,2024-03-15,6,-9.677125864480018,-9.677125864480018,0.0,0.0,0.0
DOGE,2024-03-17,2024-03-22,6,-0.14999999999999458,-0.14999999999999458,0.0,0.0,0.0
DOGE,2024-03-24,2024-03-29,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-03-31,2024-04-05,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-04-07,2024-04-12,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-04-14,2024-04-19,6,0.0,0.0,0.0,0.0,0.0
SOL,2024-04-21,2024-04-26,6,0.0,0.0,0.0,0.0,0.0
SOL,2024-04-28,2024-05-03,6,0.0,0.0,0.0,0.0,0.0
SOL,2024-05-05,2024-05-10,6,0.0,0.0,0.0,0.0,0.0
SOL,2024-05-12,2024-05-17,6,0.0,0.0,0.0,0.0,0.0
SOL,2024-05-19,2024-05-24,6,-7.278360979128273,-7.278360979128273,0.0,0.0,0.0
SOL,2024-05-26,2024-05-31,6,1.3707851416682404,-4.092610458774804,5.463395600443044,0.9354656450075766,5.61279387004546
SOL,2024-06-02,2024-06-07,6,-0.8014554321934764,3.327184927921789,-4.1286403601152655,-0.9623469165521895,-5.774081499313137
DOGE,2024-06-09,2024-06-14,6,-4.128078653643863,-4.128078653643863,0.0,0.0,0.0
DOGE,2024-06-16,2024-06-21,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-06-23,2024-06-28,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-06-30,2024-07-05,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-07-07,2024-07-12,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-07-14,2024-07-19,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-07-21,2024-07-26,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-08-04,2024-08-09,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-08-11,2024-08-16,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-08-18,2024-08-23,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-08-25,2024-08-30,6,0.0,0.0,0.0,0.0,0.0
DOGE,2024-09-01,2024-09-06,6,0.0,0.0,0.0,0.0,0.0
SOL,2024-09-08,2024-09-13,6,0.0,0.0,0.0,0.0,0.0
SOL,2024-09-15,2024-09-20,6,0.0,0.0,0.0,0.0,0.0
SOL,2024-09-22,2024-09-27,6,1.0903055267691197,1.0903055267691197,0.0,0.0,0.0
SOL,2024-09-29,2024-10-04,6,-0.1500000000000168,-0.1500000000000168,0.0,0.0,0.0
SOL,2024-10-06,2024-10-11,6,0.0,0.0,0.0,0.0,0.0
SOL,2024-10-13,2024-10-18,6,2.018453013337229,2.018453013337229,0.0,0.0,0.0
DOGE,2024-10-20,2024-10-25,6,-0.481175358865249,-0.481175358865249,0.0,0.0,0.0
DOGE,2024-10-27,2024-11-01,6,12.047691667822026,2.252353162511711,9.795338505310315,2.545798551360922,15.27479130816553
DOGE,2024-11-03,2024-11-08,6,-0.4061892070370221,-0.4061892070370221,0.0,0.0,0.0
DOGE,2024-11-10,2024-11-15,6,13.272579564707886,13.272579564707886,0.0,0.0,0.0
DOGE,2024-11-17,2024-11-22,6,7.650732437352636,7.650732437352636,0.0,0.0,0.0
DOGE,2024-11-24,2024-11-29,6,3.653348709456128,3.653348709456128,0.0,0.0,0.0
DOGE,2024-12-01,2024-12-06,6,116.20601666708588,116.20601666708588,0.0,0.0,0.0
DOGE,2024-12-08,2024-12-13,6,4.264278017241385,4.264278017241385,0.0,0.0,0.0
DOGE,2024-12-15,2024-12-20,6,-10.17460690832962,-10.17460690832962,0.0,0.0,0.0
DOGE,2024-12-22,2024-12-27,6,0.4411082585461745,0.4411082585461745,0.0,0.0,0.0
DOGE,2024-12-29,2025-01-03,6,3.600867154020415,3.600867154020415,0.0,0.0,0.0
DOGE,2025-01-05,2025-01-10,6,-7.156768335404151,-7.156768335404151,0.0,0.0,0.0
DOGE,2025-01-12,2025-01-17,6,58.04702128597796,58.04702128597796,0.0,0.0,0.0
DOGE,2025-01-19,2025-01-24,6,2.4318792849717275,2.4318792849717275,0.0,0.0,0.0
LTC,2025-01-26,2025-01-31,6,-5.3575752350156325,-5.3575752350156325,0.0,0.0,0.0
DOGE,2025-02-02,2025-02-07,6,-4.819748674904134,-4.819748674904134,0.0,0.0,0.0
DOGE,2025-02-09,2025-02-14,6,0.14250111001838928,0.14250111001838928,0.0,0.0,0.0
DOGE,2025-02-16,2025-02-21,6,-0.5061443755274508,-0.5061443755274508,0.0,0.0,0.0
DOGE,2025-02-23,2025-02-28,6,-0.14999999999999458,-0.14999999999999458,0.0,0.0,0.0
