asset,selected_days,selected_days_pct,all_days,all_gov_total_return_pct,all_gov_cagr_pct,all_gov_max_drawdown_pct,all_base_total_return_pct,all_base_cagr_pct,all_base_max_drawdown_pct,all_delta_total_return_pct,all_delta_cagr_pct,all_delta_max_drawdown_pct,since2023_days,since2025_days,since2023_delta_total_return_pct,since2023_delta_cagr_pct,since2023_delta_max_drawdown_pct,since2025_delta_total_return_pct,since2025_delta_cagr_pct,since2025_delta_max_drawdown_pct,window_count,avg_window_delta_total_return_pct,median_window_delta_total_return_pct,positive_window_count,negative_window_count,best_window_delta_total_return_pct,worst_window_delta_total_return_pct,positive_window_pct,verdict
LTC,6,0.20876826722338201,6,-5.3575752350156325,-96.49872166415409,-5.3575752350156325,-5.3575752350156325,-96.49872166415409,-5.3575752350156325,0.0,0.0,0.0,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,REMOVE
SOL,90,3.1315240083507305,90,-1.1577393830487948,-4.615970041243511,-13.010087846145824,8.023954123101774,36.78410032221115,-11.447337445346161,-9.18169350615057,-41.40007036345466,-1.562750400799663,90,6,-9.18169350615057,-41.40007036345466,-1.562750400799663,0.0,0.0,0.0,15,-0.5270429165261806,0.0,1,2,5.463395600443044,-9.240398988220488,6.666666666666667,REMOVE
