model,label,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2021_trade_count,since2021_cash_days_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2023_trade_count,since2023_cash_days_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,since2025_trade_count,since2025_cash_days_pct,ret10_min,st_max,accel_max
phase57_lock_c,Lock C,17326.18,92.72,-36.56,1.451,1.96,214,69.45,87.02,69.36,49.6682,1071.17,60.48,-36.56,148,68.23,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77,0.12,24.0,0.0
phase57_lock_e,Lock E,17326.18,92.72,-36.56,1.451,1.96,214,69.45,87.02,69.36,49.6682,1071.17,60.48,-36.56,148,68.23,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77,0.12,28.0,4.0
phase57_lock_b,Lock B,15751.32,90.41,-36.56,1.43,1.928,216,69.49,87.0,69.33,49.5759,1071.17,60.48,-36.56,148,68.23,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77,0.1,24.0,0.0
phase57_core,Core,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,1071.17,60.48,-36.56,148,68.23,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77,,,
phase57_lock_d,Lock D,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,1071.17,60.48,-36.56,148,68.23,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77,0.14,24.0,0.0
phase57_lock_f,Lock F,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,1071.17,60.48,-36.56,148,68.23,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77,0.14,28.0,4.0
phase57_lock_a,Lock A,15023.14,89.28,-36.56,1.414,1.858,213,69.42,87.03,69.4,49.959,1071.17,60.48,-36.56,148,68.23,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77,0.1,20.0,-4.0
