policy,fold,variant,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes
robust_1.25__growth,2021,m21_own200_v60_combo50,0.7625515956241602,0.4003680244775628,1.9046266160221161,1.4561402426466759,0.7618679854491615,56.45907604242325,0.11142485337521979,0.9460554660440911,0.5504779120192795,-0.0401117940637995,0.5049790798688328,0.6127757750437961,0.5663746015795053,0.5663746015795055,2.220446049250313e-16,2.220446049250313e-16,False,365,66
robust_1.25__growth,2022,m63_market200_v60_rotation,-0.1006251600845266,0.22224361462434772,-0.4527696341449924,-0.7756336269996366,-0.100559871239977,8.588536318529583,0.01518149588990192,1.0717812976089751,-0.14022292648053214,-0.14095195675059402,1000000.0,1000000.0,-0.10598278838487611,-0.10598278838487632,2.0816681711721685e-16,2.0816681711721685e-16,False,365,5
robust_1.25__growth,2023,m21_market200_v60_combo50,-0.41479935649248734,0.6597500231522088,-0.628722003692587,-0.9864580105289898,-0.41458470330597863,112.26310895826734,0.21938839407293684,1.1418390763589237,-0.4834854309633101,-0.6081121890023626,1000000.0,1000000.0,-0.5354337747377231,-0.5354337747377248,1.3322676295501878e-15,1.6653345369377348e-15,False,365,67
robust_1.25__growth,2024,m126_own100_v20_trail4,0.04385733338237929,0.19839011985506116,0.22106611667163847,0.32533078654060543,0.04394934012065721,20.82179659339453,0.0661996351352592,1.0627599516120618,-0.01782720147471606,-0.22205527425510552,2.381799638512493,3.085633000888356,0.04301096349444061,0.04301096349443996,5.898059818321144e-16,6.522560269672795e-16,False,366,29
robust_1.25__growth,2025,m126_own200_v40_cat4,0.18895424037211206,0.25084848017415595,0.7532604552394627,0.6636969649423271,0.18881340188193474,32.96593363822892,0.10536641433244523,1.134864181211292,0.07653343149034963,-0.1897040730859061,1.228872685391759,1.2251523233102943,0.17295566837166182,0.17295566837166207,1.6653345369377348e-16,2.498001805406602e-16,False,365,19
robust_1.25__growth,2026,m63_own200_v40_trail2,0.038994663018540265,0.08994596135517807,0.43353434029748567,0.31942417438202625,0.028465959038331823,33.07782810032446,0.07615355852871761,1.1287884638036443,-0.03901778440662462,-0.1422090906159591,4.741383363214035,2.039050555508295,0.02806833188528523,0.028068331885286367,1.1310397063368782e-15,1.1379786002407855e-15,False,268,23
robust_1.25__calmar,2021,m21_own200_v60_combo50,0.7625515956241602,0.4003680244775628,1.9046266160221161,1.4561402426466759,0.7618679854491615,56.45907604242325,0.11142485337521979,0.9460554660440911,0.5504779120192795,-0.0401117940637995,0.5049790798688328,0.6127757750437961,0.5663746015795053,0.5663746015795055,2.220446049250313e-16,2.220446049250313e-16,False,365,66
robust_1.25__calmar,2022,m63_market200_v60_rotation,-0.1006251600845266,0.22224361462434772,-0.4527696341449924,-0.7756336269996366,-0.100559871239977,8.588536318529583,0.01518149588990192,1.0717812976089751,-0.14022292648053214,-0.14095195675059402,1000000.0,1000000.0,-0.10598278838487611,-0.10598278838487632,2.0816681711721685e-16,2.0816681711721685e-16,False,365,5
robust_1.25__calmar,2023,m21_market200_v60_trail2,-0.28262507999209285,0.5983685038884731,-0.4723261303953424,-0.5142337612762286,-0.28246196708587945,116.9441138537327,0.23185306341442624,1.1418390763589235,-0.3666566334888196,-0.5719181022117771,1000000.0,1000000.0,-0.3319293252073968,-0.33192932520739904,1.7763568394002505e-15,2.220446049250313e-15,False,365,70
robust_1.25__calmar,2024,m126_own100_v20_trail4,0.04385733338237929,0.19839011985506116,0.22106611667163847,0.32533078654060543,0.04394934012065721,20.82179659339453,0.0661996351352592,1.0627599516120618,-0.01782720147471606,-0.22205527425510552,2.381799638512493,3.085633000888356,0.04301096349444061,0.04301096349443996,5.898059818321144e-16,6.522560269672795e-16,False,366,29
robust_1.25__calmar,2025,m126_own200_v20_cat4,0.11978434878440036,0.1354609694140877,0.8842720475315232,0.7202676014778955,0.11969763889217,18.473687577462464,0.05707471357508985,0.7831380562684663,0.06593686088046935,-0.09020055266350513,0.9788135930391705,0.9759662577357171,0.11305868358497055,0.11305868358496603,4.454769886308441e-15,4.524158825347513e-15,False,365,19
robust_1.25__calmar,2026,m126_own200_v20_cat3,0.10979838231268002,0.10248934346250416,1.0713151104617027,0.9539972017446565,0.07943769055375882,11.859554903577678,0.06012256845923352,0.5144382382046392,0.05547294001753578,0.023450036998003743,0.3173654835854239,0.27260034635005953,0.07644024865259409,0.0764402486525921,2.0261570199409107e-15,1.9984014443252818e-15,False,268,10
robust_1.25__defensive,2021,m21_own200_v20_combo50,0.22760897839563765,0.16142597217280508,1.40998982587501,1.394562873639038,0.2274366812771471,19.39311354417537,0.03826846217143167,0.3276020730281743,0.17232180084670135,-0.0058355934995192316,0.494241835738172,0.5923909899238352,0.204927995875127,0.20492799587512692,1.6653345369377348e-16,8.326672684688674e-17,False,365,66
robust_1.25__defensive,2022,m63_market200_v20_tp50,-0.033327912207327115,0.07955632089032094,-0.41892224067618855,-0.7849435105182171,-0.033305484662702556,2.843023839825511,0.0050322677420591615,0.3580344836786484,-0.047642460616836524,-0.04823157059365679,1000000.0,1000000.0,-0.03387274312103368,-0.03387274312103396,2.7755575615628914e-16,2.7755575615628914e-16,False,365,5
robust_1.25__defensive,2023,m21_market200_v20_combo50,-0.13043395288514514,0.2861480414299793,-0.45582682388221923,-0.7816797648498267,-0.13035076518962918,41.98935801534324,0.08315811181917263,0.8440869662461699,-0.1673664355681893,-0.2539371397707404,1000000.0,1000000.0,-0.1396653270106475,-0.1396653270106497,2.3037127760972e-15,2.220446049250313e-15,False,365,67
robust_1.25__defensive,2024,m126_own200_v20_combo50,0.11685692012194004,0.14257707331662017,0.8196052661456761,0.7914563336898669,0.11711040527141003,20.85333957732249,0.05859436888114183,1.0627599516120618,0.08010238284296922,-0.08523748679196685,0.647037387899678,0.7782834130156742,0.11074535609018887,0.11074535609019252,3.635980405647388e-15,3.649858193455202e-15,False,366,30
robust_1.25__defensive,2025,m126_own200_v20_combo25,-0.021888782832572784,0.16282523035752594,-0.13443114918069,-0.041179043119672645,-0.021873965844128707,22.2254644479627,0.05781566700092468,0.7831380562684666,-0.0836609764959294,-0.17330582126992733,1000000.0,1000000.0,-0.022116747970220466,-0.022116747970220757,2.7755575615628914e-16,2.914335439641036e-16,False,365,25
robust_1.25__defensive,2026,m126_own200_v20_cat3,0.10979838231268002,0.10248934346250416,1.0713151104617027,0.9539972017446565,0.07943769055375882,11.859554903577678,0.06012256845923352,0.5144382382046392,0.05547294001753578,0.023450036998003743,0.3173654835854239,0.27260034635005953,0.07644024865259409,0.0764402486525921,2.0261570199409107e-15,1.9984014443252818e-15,False,268,10
aggressive_1.25__growth,2021,m21_own200_v60_cat5,0.6299982485771116,0.41122904498633306,1.5319886964648843,1.1670194198364847,0.6294532453799457,54.610594742469424,0.11467416145281316,0.9460554660440914,0.3218030616031302,-0.1032568971511032,0.6946301380268612,0.8466485051134641,0.48824452626643833,0.4882445262664386,3.885780586188048e-16,2.7755575615628914e-16,False,365,63
aggressive_1.25__growth,2022,m126_market200_v60_rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,False,365,0
aggressive_1.25__growth,2023,m21_market200_v60_combo50,-0.41479935649248734,0.6597500231522088,-0.628722003692587,-0.9864580105289898,-0.41458470330597863,112.26310895826734,0.21938839407293684,1.1418390763589237,-0.4834854309633101,-0.6081121890023626,1000000.0,1000000.0,-0.5354337747377231,-0.5354337747377248,1.3322676295501878e-15,1.6653345369377348e-15,False,365,67
aggressive_1.25__growth,2024,m126_own100_v40_trail4,-0.04417548435564522,0.3438899286946103,-0.12845820906513095,0.025561820008566112,-0.04426415591741362,39.3093077267709,0.1168278851745443,1.1336167017303094,-0.12689289612785015,-0.39236897644674906,1000000.0,1000000.0,-0.04527371783355143,-0.045273717833552655,1.2073675392798577e-15,1.2281842209915794e-15,False,366,29
aggressive_1.25__growth,2025,m126_own200_v60_cat4,0.16632381423304943,0.34497775337940995,0.48212910138041526,0.552661295485372,0.16620099605478655,37.8899680210858,0.12877984863323147,1.1436866723290084,-0.001315647316337265,-0.2890899265234089,1.9930910085722704,1.986817078589239,0.15375145390844175,0.15375145390844444,2.609024107869118e-15,2.6922908347160046e-15,False,365,19
aggressive_1.25__growth,2026,m63_market200_v60_trail2,-0.06602811482784587,0.13219546053869546,-0.49947339007543695,-0.38609120401713803,-0.048885931350772904,11.09752130910504,0.024407732001444585,1.1287884638036443,-0.15002619683024332,-0.11122472430480679,1000000.0,1000000.0,-0.05012127762629984,-0.050121277626299886,4.85722573273506e-17,4.85722573273506e-17,False,268,5
aggressive_1.25__calmar,2021,m21_own200_v60_cat5,0.6299982485771116,0.41122904498633306,1.5319886964648843,1.1670194198364847,0.6294532453799457,54.610594742469424,0.11467416145281316,0.9460554660440914,0.3218030616031302,-0.1032568971511032,0.6946301380268612,0.8466485051134641,0.48824452626643833,0.4882445262664386,3.885780586188048e-16,2.7755575615628914e-16,False,365,63
aggressive_1.25__calmar,2022,m126_market200_v60_rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,False,365,0
aggressive_1.25__calmar,2023,m21_market200_v60_trail2,-0.28262507999209285,0.5983685038884731,-0.4723261303953424,-0.5142337612762286,-0.28246196708587945,116.9441138537327,0.23185306341442624,1.1418390763589235,-0.3666566334888196,-0.5719181022117771,1000000.0,1000000.0,-0.3319293252073968,-0.33192932520739904,1.7763568394002505e-15,2.220446049250313e-15,False,365,70
aggressive_1.25__calmar,2024,m126_own100_v40_trail4,-0.04417548435564522,0.3438899286946103,-0.12845820906513095,0.025561820008566112,-0.04426415591741362,39.3093077267709,0.1168278851745443,1.1336167017303094,-0.12689289612785015,-0.39236897644674906,1000000.0,1000000.0,-0.04527371783355143,-0.045273717833552655,1.2073675392798577e-15,1.2281842209915794e-15,False,366,29
aggressive_1.25__calmar,2025,m126_own200_v20_cat4,0.11978434878440036,0.1354609694140877,0.8842720475315232,0.7202676014778955,0.11969763889217,18.473687577462464,0.05707471357508985,0.7831380562684663,0.06593686088046935,-0.09020055266350513,0.9788135930391705,0.9759662577357171,0.11305868358497055,0.11305868358496603,4.454769886308441e-15,4.524158825347513e-15,False,365,19
aggressive_1.25__calmar,2026,m126_own200_v20_cat3,0.10979838231268002,0.10248934346250416,1.0713151104617027,0.9539972017446565,0.07943769055375882,11.859554903577678,0.06012256845923352,0.5144382382046392,0.05547294001753578,0.023450036998003743,0.3173654835854239,0.27260034635005953,0.07644024865259409,0.0764402486525921,2.0261570199409107e-15,1.9984014443252818e-15,False,268,10
aggressive_1.25__defensive,2021,m21_own200_v20_combo50,0.22760897839563765,0.16142597217280508,1.40998982587501,1.394562873639038,0.2274366812771471,19.39311354417537,0.03826846217143167,0.3276020730281743,0.17232180084670135,-0.0058355934995192316,0.494241835738172,0.5923909899238352,0.204927995875127,0.20492799587512692,1.6653345369377348e-16,8.326672684688674e-17,False,365,66
aggressive_1.25__defensive,2022,m63_market200_v20_tp50,-0.033327912207327115,0.07955632089032094,-0.41892224067618855,-0.7849435105182171,-0.033305484662702556,2.843023839825511,0.0050322677420591615,0.3580344836786484,-0.047642460616836524,-0.04823157059365679,1000000.0,1000000.0,-0.03387274312103368,-0.03387274312103396,2.7755575615628914e-16,2.7755575615628914e-16,False,365,5
aggressive_1.25__defensive,2023,m21_market200_v20_combo50,-0.13043395288514514,0.2861480414299793,-0.45582682388221923,-0.7816797648498267,-0.13035076518962918,41.98935801534324,0.08315811181917263,0.8440869662461699,-0.1673664355681893,-0.2539371397707404,1000000.0,1000000.0,-0.1396653270106475,-0.1396653270106497,2.3037127760972e-15,2.220446049250313e-15,False,365,67
aggressive_1.25__defensive,2024,m126_own200_v20_combo50,0.11685692012194004,0.14257707331662017,0.8196052661456761,0.7914563336898669,0.11711040527141003,20.85333957732249,0.05859436888114183,1.0627599516120618,0.08010238284296922,-0.08523748679196685,0.647037387899678,0.7782834130156742,0.11074535609018887,0.11074535609019252,3.635980405647388e-15,3.649858193455202e-15,False,366,30
aggressive_1.25__defensive,2025,m126_own200_v20_combo25,-0.021888782832572784,0.16282523035752594,-0.13443114918069,-0.041179043119672645,-0.021873965844128707,22.2254644479627,0.05781566700092468,0.7831380562684666,-0.0836609764959294,-0.17330582126992733,1000000.0,1000000.0,-0.022116747970220466,-0.022116747970220757,2.7755575615628914e-16,2.914335439641036e-16,False,365,25
aggressive_1.25__defensive,2026,m126_own200_v20_cat3,0.10979838231268002,0.10248934346250416,1.0713151104617027,0.9539972017446565,0.07943769055375882,11.859554903577678,0.06012256845923352,0.5144382382046392,0.05547294001753578,0.023450036998003743,0.3173654835854239,0.27260034635005953,0.07644024865259409,0.0764402486525921,2.0261570199409107e-15,1.9984014443252818e-15,False,268,10
