policy,trade_id,asset,first_day,last_day,log_growth
robust_1.25__growth,2021/38,BNB,2021-07-14,2021-07-21,-0.07743289490054366
robust_1.25__growth,2021/39,BNB,2021-07-26,2021-07-27,0.0007611299193582985
robust_1.25__growth,2021/4,DOGE,2021-01-17,2021-01-18,-0.0028461228073104433
robust_1.25__growth,2021/40,ETH,2021-07-28,2021-07-29,-0.001303685567762899
robust_1.25__growth,2021/41,BTC,2021-07-29,2021-08-03,-0.02482808656248949
robust_1.25__growth,2021/42,ETH,2021-08-03,2021-08-05,0.034877724602356774
robust_1.25__growth,2021/43,LINK,2021-08-05,2021-08-09,-0.02641991380572392
robust_1.25__growth,2021/44,ETH,2021-08-09,2021-08-13,0.006600846077424708
robust_1.25__growth,2021/45,XRP,2021-08-13,2021-08-17,0.10611027561073359
robust_1.25__growth,2021/46,SOL,2021-08-18,2021-08-21,0.09294979791035334
robust_1.25__growth,2021/47,AVAX,2021-08-21,2021-08-26,0.06727662733184812
robust_1.25__growth,2021/48,SOL,2021-09-01,2021-09-12,0.14201109942678514
robust_1.25__growth,2021/49,AVAX,2021-09-22,2021-10-05,0.02375216487577088
robust_1.25__growth,2021/5,ADA,2021-01-18,2021-01-21,-0.005510292458691477
robust_1.25__growth,2021/50,BTC,2021-10-08,2021-10-19,0.09400720158555884
robust_1.25__growth,2021/51,DOT,2021-10-19,2021-10-27,-0.021994468805627877
robust_1.25__growth,2021/52,SOL,2021-10-30,2021-10-31,-0.01583588531784251
robust_1.25__growth,2021/53,DOT,2021-10-31,2021-11-01,-0.0010833631205391008
robust_1.25__growth,2021/54,BNB,2021-11-01,2021-11-02,0.0356526854993898
robust_1.25__growth,2021/55,SOL,2021-11-02,2021-11-03,0.04854709904803662
robust_1.25__growth,2021/56,DOT,2021-11-03,2021-11-05,0.018028559708401677
robust_1.25__growth,2021/57,SOL,2021-11-05,2021-11-10,-0.021142163941735702
robust_1.25__growth,2021/58,AVAX,2021-11-10,2021-11-14,0.05349974594845561
robust_1.25__growth,2021/59,LTC,2021-11-14,2021-11-15,0.0452410224792917
robust_1.25__growth,2021/6,DOGE,2021-01-21,2021-01-22,-0.016067516689486402
robust_1.25__growth,2021/60,AVAX,2021-11-15,2021-11-23,0.11821329931159054
robust_1.25__growth,2021/61,AVAX,2021-12-02,2021-12-04,-0.1465070871934443
robust_1.25__growth,2021/62,ETH,2021-12-09,2021-12-10,-0.0512606115896473
robust_1.25__growth,2021/63,BNB,2021-12-10,2021-12-12,-0.01313494820838604
robust_1.25__growth,2021/64,AVAX,2021-12-19,2021-12-21,-0.009097111924373772
robust_1.25__growth,2021/65,AVAX,2021-12-23,2021-12-24,0.013602854217126795
robust_1.25__growth,2021/66,AVAX,2021-12-25,2021-12-31,-0.019992638746302853
robust_1.25__growth,2021/7,ADA,2021-01-22,2021-01-23,0.040031019928525605
robust_1.25__growth,2021/8,DOGE,2021-01-23,2021-01-24,0.0008358090267845197
robust_1.25__growth,2021/9,ADA,2021-01-24,2021-01-25,0.005353823047481937
robust_1.25__growth,2022/1,AVAX,2022-03-29,2022-03-31,0.04584365018809907
robust_1.25__growth,2022/2,XRP,2022-03-31,2022-04-01,-0.06249963970068649
robust_1.25__growth,2022/3,AVAX,2022-04-01,2022-04-03,-0.012667552228506903
robust_1.25__growth,2022/4,SOL,2022-04-03,2022-04-06,-0.03790040092107493
robust_1.25__growth,2022/5,AVAX,2022-04-06,2022-04-08,-0.03875884572270676
robust_1.25__growth,2023/1,ETH,2023-01-18,2023-01-20,-0.014452431055283864
robust_1.25__growth,2023/10,TRX,2023-02-15,2023-02-18,0.05411401195801625
robust_1.25__growth,2023/11,LTC,2023-02-18,2023-02-20,-0.0246056881585638
robust_1.25__growth,2023/12,DOT,2023-02-20,2023-02-25,-0.071267779820265
robust_1.25__growth,2023/13,LINK,2023-02-25,2023-02-26,-0.013512666816775896
robust_1.25__growth,2023/14,TRX,2023-02-26,2023-03-03,0.02215399951824129
robust_1.25__growth,2023/15,LINK,2023-03-03,2023-03-04,-0.0386160602032474
robust_1.25__growth,2023/16,TRX,2023-03-04,2023-03-08,-0.01886617316902732
robust_1.25__growth,2023/17,ETH,2023-03-08,2023-03-10,-0.09813918066745421
robust_1.25__growth,2023/18,ETH,2023-03-16,2023-03-18,0.07354828223920207
robust_1.25__growth,2023/19,BNB,2023-03-18,2023-03-19,-0.029892942065327898
robust_1.25__growth,2023/2,ETH,2023-01-21,2023-01-25,-0.07695194701729081
robust_1.25__growth,2023/20,BTC,2023-03-19,2023-03-23,0.006873684781780282
robust_1.25__growth,2023/21,XRP,2023-03-23,2023-03-24,0.024726942873746004
robust_1.25__growth,2023/22,BTC,2023-03-24,2023-03-29,-0.030662393407768482
robust_1.25__growth,2023/23,XRP,2023-03-29,2023-04-01,-0.0040351790107366085
robust_1.25__growth,2023/24,XRP,2023-04-12,2023-04-13,-0.018770163782416503
