policy,axis,factor,passed,cagr,max_drawdown
robust_1.25__growth,risk,0.8,False,-0.05881963165570492,0.7547623151038708
robust_1.25__growth,risk,1.2,True,0.07325036720882516,0.7468103185944
robust_1.25__growth,momentum,0.8,True,0.06104005012657732,0.6478589507060841
robust_1.25__growth,momentum,1.2,False,-0.007070020526838028,0.7479741520600308
robust_1.25__growth,vol_target,0.8,True,0.03405805627009162,0.6799801444202425
robust_1.25__growth,vol_target,1.2,True,0.03931468663732285,0.800881516973039
robust_1.25__calmar,risk,0.8,False,-0.011175452440437494,0.7124385744035617
robust_1.25__calmar,risk,1.2,True,0.09175167604840251,0.7243959376279152
robust_1.25__calmar,momentum,0.8,False,0.039441508634773026,0.6357049596243614
robust_1.25__calmar,momentum,1.2,False,0.008723754026468633,0.7334458033336078
robust_1.25__calmar,vol_target,0.8,True,0.05733164882638686,0.6317876274274139
robust_1.25__calmar,vol_target,1.2,True,0.08521557868858798,0.7633501742685849
robust_1.25__defensive,risk,0.8,False,-0.02153282233815157,0.355234448559103
robust_1.25__defensive,risk,1.2,True,0.05664512770478347,0.34970785006450456
robust_1.25__defensive,momentum,0.8,False,-0.0015157704701752595,0.31040840288996974
robust_1.25__defensive,momentum,1.2,False,-0.02763705271033723,0.3696795069271849
robust_1.25__defensive,vol_target,0.8,True,0.030216125448270237,0.2982785947214983
robust_1.25__defensive,vol_target,1.2,True,0.037287291623625096,0.415287446882148
aggressive_1.25__growth,risk,0.8,True,0.002235845948037385,0.7453754974757195
aggressive_1.25__growth,risk,1.2,True,0.03241825439670354,0.7297271203026304
aggressive_1.25__growth,momentum,0.8,False,-0.0013487667185312358,0.6400024807578244
aggressive_1.25__growth,momentum,1.2,True,0.011942569672009684,0.7096329129462251
aggressive_1.25__growth,vol_target,0.8,True,0.015664062377848786,0.6598930941896378
aggressive_1.25__growth,vol_target,1.2,True,0.0059392529836761465,0.7829866474338563
aggressive_1.25__calmar,risk,0.8,True,0.06766437572345518,0.701431756017928
aggressive_1.25__calmar,risk,1.2,True,0.07124616234806491,0.7058003976304652
aggressive_1.25__calmar,momentum,0.8,False,-0.011810741218709842,0.6432317800930047
aggressive_1.25__calmar,momentum,1.2,True,0.044073370780944865,0.6928943350032291
aggressive_1.25__calmar,vol_target,0.8,True,0.052636172451956176,0.6086756226738455
aggressive_1.25__calmar,vol_target,1.2,True,0.0665332949557711,0.7420823457196867
aggressive_1.25__defensive,risk,0.8,False,-0.02153282233815157,0.355234448559103
aggressive_1.25__defensive,risk,1.2,True,0.05664512770478347,0.34970785006450456
aggressive_1.25__defensive,momentum,0.8,False,-0.0015157704701752595,0.31040840288996974
aggressive_1.25__defensive,momentum,1.2,False,-0.02763705271033723,0.3696795069271849
aggressive_1.25__defensive,vol_target,0.8,True,0.030216125448270237,0.2982785947214983
aggressive_1.25__defensive,vol_target,1.2,True,0.037287291623625096,0.415287446882148
aggressive_1.5__growth,risk,0.8,False,0.0008377131330450371,0.7495108142336694
aggressive_1.5__growth,risk,1.2,True,0.05649030484550055,0.7350827722043719
aggressive_1.5__growth,momentum,0.8,True,0.01583683330377106,0.6442562816031496
aggressive_1.5__growth,momentum,1.2,True,0.0219097442907199,0.719460130203592
