asset,train_total_delta_pct,recent_total_delta_pct,train_dd_worsen_pct,train_triggers,score,passed_filters,profile,decision_date,next_date_exclusive,probation_delta_pct,suspended,suspended_until_rebalance_idx,incumbent_asset_before,selected_asset,keep_reason
AAVE,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ADA,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ALGO,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
APT,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ARB,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ATOM,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
AVAX,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
AXS,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
BCH,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
BFUSD,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
BONK,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
CAKE,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
CFX,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
CHZ,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
COMP,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
CRV,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
DASH,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
DCR,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
DEXE,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
DOGE,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
DOT,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ENA,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ENS,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ETC,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ETH,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ETHFI,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
FET,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
FF,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
FIL,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
FLOKI,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
GNO,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
GRT,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
HBAR,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
ICP,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
INJ,0.0,0.0,0.0,0,0.0,False,phase67_top100_production_soft_filters,2019-05-04,2019-05-11,0.0,False,-1,,,best_passed
