label,total_return_pct,cagr_pct,max_drawdown_pct,worst_day_pct,days
Predosly lider,967.56,57.65,-36.56,-12.57,1901
Hlavna strategia,913.78,56.09,-36.25,-12.57,1901
Starsia verzia,633.73,46.69,-36.56,-12.57,1901
BTC Buy & Hold,155.3,19.74,-76.63,-15.38,1901
