model,label,start_date,end_date,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,btc_days_pct,base_days_pct,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,btc_fast_ma,btc_slow_ma,btc_ret_lb_days,btc_ret_min,btc_risk_ma,btc_risk_buffer,btc_vol_lb,btc_vol_cap,cooldown_days,source
phase62_btcov_f20_s100_r20_m08_rm200_rb+00_v20_045_cd3,phase62_btcov_f20_s100_r20_m08_rm200_rb+00_v20_045_cd3,2017-08-17,2026-03-17,3135,1782.9503817170917,40.775759345228856,-50.073656075333126,1.1506393869156977,0.9971814833266998,152,51.61084529505582,19.4896331738437,28.89952153110048,124.90629893673399,16.84133901369318,-50.073656075333126,171.70921551294046,36.54858967880325,-32.39464132585969,83.09611869056148,65.02854934472086,-15.335313457207022,20.0,100.0,20.0,0.08,200.0,0.0,20.0,0.045,3.0,phase62_overlay
phase62_btcov_f50_s100_r20_m04_rm150_rb+00_v30_060_cd3,phase62_btcov_f50_s100_r20_m04_rm150_rb+00_v30_060_cd3,2017-08-17,2026-03-17,3135,3695.1515644756546,52.7536256750964,-47.93266848780211,1.2781205143001935,1.126244917584164,157,47.81499202551834,25.29505582137161,26.88995215311005,248.6257138272669,27.10183716552215,-40.524705331290555,171.48215873127722,36.51301795664252,-22.01336407743427,48.18085710844606,38.50178283700176,-15.335313457207034,50.0,100.0,20.0,0.04,150.0,0.0,30.0,0.06,3.0,phase62_overlay
phase62_btcov_f50_s100_r20_m04_rm150_rb+00_v30_045_cd3,phase62_btcov_f50_s100_r20_m04_rm150_rb+00_v30_045_cd3,2017-08-17,2026-03-17,3135,1911.3885406375232,41.86218213541078,-40.43535836884392,1.2090512004520582,1.0028042206434882,146,52.05741626794258,22.23285486443381,25.709728867623603,189.43108588361292,22.640154558269042,-40.43535836884392,171.4821587312772,36.51301795664252,-22.01336407743426,48.18085710844615,38.50178283700183,-15.335313457207045,50.0,100.0,20.0,0.04,150.0,0.0,30.0,0.045,3.0,phase62_overlay
phase62_btcov_f50_s100_r20_m04_rm150_rb+00_v20_060_cd3,phase62_btcov_f50_s100_r20_m04_rm150_rb+00_v20_060_cd3,2017-08-17,2026-03-17,3135,4404.1009382438415,55.83220408409395,-40.52470533129062,1.3519051757836282,1.2126887759213716,155,47.910685805422645,24.784688995215312,27.304625199362043,261.17442760045265,27.96789191750011,-40.52470533129062,171.48215873127674,36.51301795664246,-22.013364077434282,48.180857108446176,38.501782837001855,-15.335313457207,50.0,100.0,20.0,0.04,150.0,0.0,20.0,0.06,3.0,phase62_overlay
phase62_btcov_f50_s200_r60_m04_rm150_rb-03_v30_045_cd3,phase62_btcov_f50_s200_r60_m04_rm150_rb-03_v30_045_cd3,2017-08-17,2026-03-17,3135,1562.2353832224637,38.74567044079193,-39.529059621215765,1.1184852786742823,0.9936837794145453,127,49.059011164274324,26.60287081339713,24.338118022328548,214.88503236504806,24.6414444698696,-39.529059621215765,171.41251255212194,36.50210277335915,-26.13987746463674,18.604160844993523,15.17862158676233,-26.13987746463674,50.0,200.0,60.0,0.04,150.0,-0.03,30.0,0.045,3.0,phase62_overlay
phase62_btcov_f50_s200_r60_m04_rm200_rb-03_v30_060_cd3,phase62_btcov_f50_s200_r60_m04_rm200_rb-03_v30_060_cd3,2017-08-17,2026-03-17,3135,1675.7524760469014,39.81765689721723,-45.27347482619524,1.0632113750263592,0.9619899903164846,141,43.22169059011164,29.53748006379585,27.240829346092504,395.71859361461657,35.990723708512306,-36.23830288105838,171.41251255212163,36.5021027733591,-26.139877464636697,18.604160844993544,15.178621586762354,-26.139877464636697,50.0,200.0,60.0,0.04,200.0,-0.03,30.0,0.06,3.0,phase62_overlay
phase62_btcov_f50_s200_r60_m04_rm200_rb+00_v30_060_cd3,phase62_btcov_f50_s200_r60_m04_rm200_rb+00_v30_060_cd3,2017-08-17,2026-03-17,3135,1675.7524760469014,39.81765689721723,-45.27347482619524,1.0632113750263592,0.9619899903164846,126,46.60287081339713,29.53748006379585,23.859649122807017,395.71859361461657,35.990723708512306,-36.23830288105838,171.41251255212163,36.5021027733591,-26.139877464636697,18.604160844993544,15.178621586762354,-26.139877464636697,50.0,200.0,60.0,0.04,200.0,0.0,30.0,0.06,3.0,phase62_overlay
phase62_btcov_f50_s200_r60_m04_rm150_rb-03_v20_060_cd3,phase62_btcov_f50_s200_r60_m04_rm150_rb-03_v20_060_cd3,2017-08-17,2026-03-17,3135,2263.986500393565,44.55712434670107,-39.61976603178399,1.1595644541195813,1.072234217397141,128,44.91228070175438,29.15470494417863,25.933014354066984,386.32624709410675,35.492094627549605,-39.61976603178399,171.41251255212146,36.502102773359056,-26.139877464636683,18.604160844993544,15.178621586762354,-26.139877464636683,50.0,200.0,60.0,0.04,150.0,-0.03,20.0,0.06,3.0,phase62_overlay
phase62_btcov_f50_s200_r60_m04_rm200_rb-03_v20_060_cd3,phase62_btcov_f50_s200_r60_m04_rm200_rb-03_v20_060_cd3,2017-08-17,2026-03-17,3135,2072.1662141991806,43.138886934827745,-36.23830288105838,1.1386202307674165,1.0463967159307577,137,43.31738437001595,29.122807017543863,27.55980861244019,413.561886569188,36.91734613285471,-36.23830288105838,171.4125125521214,36.502102773359056,-26.13987746463673,18.60416084499348,15.178621586762286,-26.13987746463673,50.0,200.0,60.0,0.04,200.0,-0.03,20.0,0.06,3.0,phase62_overlay
phase62_btcov_f50_s200_r60_m04_rm200_rb+00_v20_060_cd3,phase62_btcov_f50_s200_r60_m04_rm200_rb+00_v20_060_cd3,2017-08-17,2026-03-17,3135,2072.1662141991806,43.138886934827745,-36.23830288105838,1.1386202307674165,1.0463967159307577,122,46.698564593301434,29.122807017543863,24.178628389154706,413.561886569188,36.91734613285471,-36.23830288105838,171.4125125521214,36.502102773359056,-26.13987746463673,18.60416084499348,15.178621586762286,-26.13987746463673,50.0,200.0,60.0,0.04,200.0,0.0,20.0,0.06,3.0,phase62_overlay
phase62_btcov_f50_s200_r60_m04_rm150_rb-03_v30_060_cd3,phase62_btcov_f50_s200_r60_m04_rm150_rb-03_v30_060_cd3,2017-08-17,2026-03-17,3135,1832.56614248692,41.20298716000175,-45.27347482619519,1.0843681724017045,0.9871947964545847,130,44.81658692185008,29.569377990430624,25.6140350877193,369.42923443538325,34.57511794965531,-39.619766031783975,171.41251255212146,36.502102773359056,-26.13987746463674,18.604160844993544,15.178621586762354,-26.13987746463674,50.0,200.0,60.0,0.04,150.0,-0.03,30.0,0.06,3.0,phase62_overlay
phase62_btcov_f50_s200_r60_m04_rm200_rb-03_v30_045_cd3,phase62_btcov_f50_s200_r60_m04_rm200_rb-03_v30_045_cd3,2017-08-17,2026-03-17,3135,1427.357088917868,37.38444869925639,-36.14251665604247,1.0959910886838475,0.9668250421437928,132,47.84688995215311,26.570972886762362,25.58213716108453,232.5194809863944,25.952557172366355,-36.14251665604247,171.41251255212146,36.502102773359056,-26.13987746463673,18.6041608449935,15.178621586762308,-26.13987746463673,50.0,200.0,60.0,0.04,200.0,-0.03,30.0,0.045,3.0,phase62_overlay
phase62_btcov_f50_s200_r60_m04_rm200_rb+00_v30_045_cd3,phase62_btcov_f50_s200_r60_m04_rm200_rb+00_v30_045_cd3,2017-08-17,2026-03-17,3135,1427.357088917868,37.38444869925639,-36.14251665604247,1.0959910886838475,0.9668250421437928,119,51.100478468899524,26.570972886762362,22.328548644338117,232.5194809863944,25.952557172366355,-36.14251665604247,171.41251255212146,36.502102773359056,-26.13987746463673,18.6041608449935,15.178621586762308,-26.13987746463673,50.0,200.0,60.0,0.04,200.0,0.0,30.0,0.045,3.0,phase62_overlay
phase62_btcov_f20_s150_r30_m08_rm200_rb+00_v20_060_cd3,phase62_btcov_f20_s150_r30_m08_rm200_rb+00_v20_060_cd3,2017-08-17,2026-03-17,3135,1569.4591475629625,38.81578543480357,-41.91919261619299,1.0862365951299513,0.9275643722317932,147,46.698564593301434,24.497607655502392,28.80382775119617,178.84931115147634,21.766104667067165,-41.91919261619299,171.39124849585997,36.49876981480795,-26.433006464302977,65.82751450962961,52.02900831411821,-15.335313457207022,20.0,150.0,30.0,0.08,200.0,0.0,20.0,0.06,3.0,phase62_overlay
phase62_btcov_f20_s150_r30_m08_rm200_rb+00_v30_060_cd3,phase62_btcov_f20_s150_r30_m08_rm200_rb+00_v30_060_cd3,2017-08-17,2026-03-17,3135,1847.080362516516,41.326132913645665,-41.91919261619306,1.1301691328553525,0.9689571407851767,150,46.60287081339713,24.688995215311003,28.708133971291865,169.16091705686088,20.942022063246824,-41.91919261619306,171.3912484958596,36.498769814807886,-26.4330064643029,65.82751450962951,52.029008314118144,-15.335313457207022,20.0,150.0,30.0,0.08,200.0,0.0,30.0,0.06,3.0,phase62_overlay
phase62_btcov_f20_s150_r30_m08_rm200_rb+00_v30_045_cd3,phase62_btcov_f20_s150_r30_m08_rm200_rb+00_v30_045_cd3,2017-08-17,2026-03-17,3135,2169.161235612937,43.86927167921637,-41.83194052698348,1.2350144654622957,1.0539517250772803,137,51.100478468899524,22.870813397129186,26.02870813397129,180.619888377772,21.914199609866735,-41.83194052698348,171.39124849585926,36.498769814807844,-26.43300646430302,65.8275145096295,52.029008314118116,-15.335313457207034,20.0,150.0,30.0,0.08,200.0,0.0,30.0,0.045,3.0,phase62_overlay
phase62_btcov_f50_s150_r30_m08_rm150_rb+00_v20_045_cd3,phase62_btcov_f50_s150_r30_m08_rm150_rb+00_v20_045_cd3,2017-08-17,2026-03-17,3135,2442.0349914913404,45.78529924262445,-36.200636128690356,1.2716115364088343,1.0894168011072378,133,52.121212121212125,21.180223285486445,26.698564593301437,231.90878583081079,25.908102589342484,-36.200636128690356,170.8177490166228,36.40881080502931,-24.323096643201836,35.6414687960297,28.721649996843833,-16.928645094552298,50.0,150.0,30.0,0.08,150.0,0.0,20.0,0.045,3.0,phase62_overlay
phase62_btcov_f20_s150_r30_m08_rm200_rb+00_v20_045_cd3,phase62_btcov_f20_s150_r30_m08_rm200_rb+00_v20_045_cd3,2017-08-17,2026-03-17,3135,1737.1052988148776,40.37206523044521,-42.76181643042721,1.1676521390579153,0.9877642390758121,145,51.61084529505582,22.137161084529506,26.25199362041467,176.1627549891926,21.53993759683739,-42.76181643042721,170.5711372672221,36.37008701665621,-26.43300646430301,65.82751450962971,52.0290083141183,-15.335313457207045,20.0,150.0,30.0,0.08,200.0,0.0,20.0,0.045,3.0,phase62_overlay
phase62_btcov_f20_s100_r20_m08_rm150_rb+00_v20_060_cd3,phase62_btcov_f20_s100_r20_m08_rm150_rb+00_v20_060_cd3,2017-08-17,2026-03-17,3135,3602.2530938537548,52.31320549663525,-53.32164018836668,1.2917572964069495,1.1784469125224162,150,47.910685805422645,22.105263157894736,29.98405103668261,157.01554850571253,19.874395467022342,-53.32164018836668,169.81127375561863,36.2506177787741,-31.576578076998274,79.64336982627225,62.44685634155369,-15.335313457207045,20.0,100.0,20.0,0.08,150.0,0.0,20.0,0.06,3.0,phase62_overlay
phase62_btcov_f20_s100_r20_m08_rm150_rb+00_v30_045_cd3,phase62_btcov_f20_s100_r20_m08_rm150_rb+00_v30_045_cd3,2017-08-17,2026-03-17,3135,1980.5956847075538,42.42240886875843,-49.964215339464445,1.2053547042743584,1.0319826539790458,145,52.05741626794258,20.22328548644338,27.719298245614034,139.77690481943807,18.286774822675312,-49.964215339464445,169.81127375561837,36.25061777877405,-31.57657807699833,79.64336982627216,62.44685634155363,-15.335313457207011,20.0,100.0,20.0,0.08,150.0,0.0,30.0,0.045,3.0,phase62_overlay
phase62_btcov_f20_s100_r20_m08_rm150_rb+00_v30_060_cd3,phase62_btcov_f20_s100_r20_m08_rm150_rb+00_v30_060_cd3,2017-08-17,2026-03-17,3135,3481.8878221663463,51.72781358576335,-53.32164018836663,1.2662301648679,1.1525475696359135,153,47.81499202551834,22.583732057416267,29.60127591706539,148.085750859505,19.063115478901228,-53.32164018836663,169.81127375561812,36.25061777877401,-31.576578076998295,79.6433698262722,62.44685634155365,-15.335313457207034,20.0,100.0,20.0,0.08,150.0,0.0,30.0,0.06,3.0,phase62_overlay
phase62_btcov_f20_s100_r20_m08_rm150_rb+00_v20_045_cd3,phase62_btcov_f20_s100_r20_m08_rm150_rb+00_v20_045_cd3,2017-08-17,2026-03-17,3135,2121.9646829115595,43.517395301401265,-50.48605598036674,1.1977328391072384,1.0559272098853256,154,52.121212121212125,19.840510366826155,28.038277511961724,120.82118081175209,16.430766904864313,-50.48605598036674,168.99593701780358,36.12216892337803,-31.783345306715105,79.64336982627214,62.446856341553605,-15.335313457207045,20.0,100.0,20.0,0.08,150.0,0.0,20.0,0.045,3.0,phase62_overlay
phase62_btcov_f30_s200_r20_m04_rm200_rb+00_v20_060_cd3,phase62_btcov_f30_s200_r20_m04_rm200_rb+00_v20_060_cd3,2017-08-17,2026-03-17,3135,1400.3686686765125,37.09938512543145,-37.43120424523943,1.0401031049188116,0.9140429978428845,167,46.698564593301434,26.156299840510368,27.1451355661882,306.52771359437037,30.908077782279975,-37.01906633075755,168.97610689543367,36.11904153248944,-22.595567106795254,37.99097522517505,30.565583131525152,-15.335313457207034,30.0,200.0,20.0,0.04,200.0,0.0,20.0,0.06,3.0,phase62_overlay
phase62_btcov_f30_s200_r20_m04_rm200_rb+00_v30_045_cd3,phase62_btcov_f30_s200_r20_m04_rm200_rb+00_v30_045_cd3,2017-08-17,2026-03-17,3135,1457.2484969737268,37.69502692892252,-37.06934104896787,1.1175960384979733,0.9501122221772009,157,51.100478468899524,23.987240829346092,24.912280701754387,226.87019785873272,25.53878224012276,-37.06934104896787,168.97610689543345,36.11904153248942,-22.595567106795244,37.990975225174914,30.56558313152504,-15.335313457207034,30.0,200.0,20.0,0.04,200.0,0.0,30.0,0.045,3.0,phase62_overlay
phase62_btcov_f30_s200_r20_m04_rm200_rb+00_v30_060_cd3,phase62_btcov_f30_s200_r20_m04_rm200_rb+00_v30_060_cd3,2017-08-17,2026-03-17,3135,1430.7024687628902,37.41947346780299,-47.00867882158003,1.0371116858178278,0.9006878784759044,169,46.60287081339713,26.411483253588518,26.98564593301435,292.40323653032,30.022124586233325,-37.01906633075751,168.97610689543328,36.11904153248939,-22.595567106795343,37.99097522517489,30.56558313152502,-15.335313457207022,30.0,200.0,20.0,0.04,200.0,0.0,30.0,0.06,3.0,phase62_overlay
phase62_btcov_f50_s150_r60_m08_rm150_rb+00_v20_060_cd0,phase62_btcov_f50_s150_r60_m08_rm150_rb+00_v20_060_cd0,2017-08-17,2026-03-17,3135,2423.615721487974,45.66183206358727,-42.59272261430215,1.1967729494750223,1.0821401898974328,159,47.910685805422645,26.698564593301437,25.39074960127592,357.26670158024064,33.89842446979103,-42.59272261430215,168.96008600196916,36.116514775779684,-39.66180668307444,14.78221554296617,12.095975337077046,-39.66180668307444,50.0,150.0,60.0,0.08,150.0,0.0,20.0,0.06,0.0,phase62_overlay
phase62_btcov_f50_s150_r60_m08_rm150_rb+00_v30_060_cd0,phase62_btcov_f50_s150_r60_m08_rm150_rb+00_v30_060_cd0,2017-08-17,2026-03-17,3135,1963.0635154572146,42.28206251009598,-42.59272261430217,1.1188515748391252,0.9952355615534405,161,47.81499202551834,27.11323763955343,25.071770334928228,341.3793393595468,32.992233353747615,-42.59272261430217,168.96008600196862,36.11651477577959,-39.66180668307444,14.782215542966126,12.095975337077025,-39.66180668307444,50.0,150.0,60.0,0.08,150.0,0.0,30.0,0.06,0.0,phase62_overlay
phase62_btcov_f50_s150_r60_m08_rm150_rb+00_v30_045_cd0,phase62_btcov_f50_s150_r60_m08_rm150_rb+00_v30_045_cd0,2017-08-17,2026-03-17,3135,1576.9342080262209,38.88805792234229,-42.50648233780887,1.1388359578471452,0.9837635841186056,159,52.05741626794258,24.210526315789473,23.732057416267942,196.06964663515237,23.175400631536448,-42.50648233780887,168.96008600196842,36.11651477577957,-39.66180668307443,14.78221554296615,12.095975337077025,-39.66180668307443,50.0,150.0,60.0,0.08,150.0,0.0,30.0,0.045,0.0,phase62_overlay
phase62_btcov_f30_s100_r60_m12_rm200_rb+00_v20_045_cd3,phase62_btcov_f30_s100_r60_m12_rm200_rb+00_v20_045_cd3,2017-08-17,2026-03-17,3135,2394.4467221458253,45.464669382464386,-40.33663949275509,1.2256218942667012,1.1027121185312385,155,51.61084529505582,25.454545454545453,22.934609250398726,211.76192947223322,24.40308986630275,-40.33663949275509,168.83586203395998,36.09691910900066,-21.475104883943384,44.86829271656896,35.932454546565616,-21.475104883943384,30.0,100.0,60.0,0.12,200.0,0.0,20.0,0.045,3.0,phase62_overlay
phase62_btcov_f50_s100_r60_m04_rm150_rb+00_v20_060_cd0,phase62_btcov_f50_s100_r60_m04_rm150_rb+00_v20_060_cd0,2017-08-17,2026-03-17,3135,5702.677909967159,60.500124553686895,-49.37925435280766,1.4040287442376236,1.3300859091547228,143,47.910685805422645,29.15470494417863,22.934609250398726,302.83817334103406,30.67908257661429,-49.37925435280766,168.71214043008007,36.07739649136386,-28.93995698690075,34.686571629915086,27.970666178435,-28.93995698690075,50.0,100.0,60.0,0.04,150.0,0.0,20.0,0.06,0.0,phase62_overlay
phase62_btcov_f50_s100_r60_m04_rm150_rb+00_v30_060_cd0,phase62_btcov_f50_s100_r60_m04_rm150_rb+00_v30_060_cd0,2017-08-17,2026-03-17,3135,4789.3314004518215,57.329327984411904,-49.37925435280764,1.3315051209431321,1.238645042483722,145,47.81499202551834,29.665071770334926,22.51993620414673,288.8418863731144,29.7946791629629,-49.37925435280764,168.71214043007984,36.077396491363814,-28.939956986900693,34.686571629915086,27.970666178435,-28.939956986900693,50.0,100.0,60.0,0.04,150.0,0.0,30.0,0.06,0.0,phase62_overlay
