model,label,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,source,start_date,end_date,days,btc_days_pct,base_days_pct,btc_fast_ma,btc_slow_ma,btc_ret_lb_days,btc_ret_min,btc_risk_ma,btc_risk_buffer,btc_vol_lb,btc_vol_cap,cooldown_days,delta_vs_phase61_restore_trx_sol_base_cagr_pct,delta_vs_phase61_restore_trx_sol_base_max_drawdown_pct,delta_vs_phase61_restore_trx_sol_base_since2021_cagr_pct,delta_vs_phase61_restore_trx_sol_base_since2023_cagr_pct,delta_vs_phase61_restore_trx_sol_base_since2025_cagr_pct
phase61_phase42_core,Phase42 core,15300.6,89.72,-36.56,1.418,1.864,213,69.38,1071.17,60.48,-36.56,675.47,89.54,-36.25,120.5,93.07,-19.53,phase61_compare_summary,,,,,,,,,,,,,,,-5.494092472981933,-0.31248584947201863,-0.9447194436947655,2.193913384389262,3.426753798429388
phase61_restore_trx_sol_base,phase61_restore_trx_sol_base,20083.677554895763,95.21409247298193,-36.247514150527984,1.4769747546414569,1.9146757570009114,880,0.0,1149.2430658283704,61.42471944369476,-36.247514150527984,681.207713268292,87.34608661561074,-36.247514150527984,125.86152211645367,89.6432462015706,-22.562989993436855,phase62_rebuilt_base,2018-05-05,2026-04-10,2898.0,0.0,100.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
phase62_btcov_default,phase62_btcov_default,4639.472159977429,62.63011053849014,-32.22909232493273,1.4308423135024004,1.3940957497889395,536,39.130434782608695,404.69928235014356,35.93282582410926,-32.22909232493273,200.20685043095426,39.89458284189118,-32.22909232493273,76.7836272692329,56.445015943637266,-17.332108747892583,phase62_overlay,2018-05-05,2026-04-10,2898.0,23.119392684610077,37.75017253278123,30.0,200.0,30.0,0.08,200.0,0.0,20.0,0.06,0.0,-32.58398193449179,4.018421825595254,-25.491893619585504,-47.451503773719566,-33.19823025793334
