ts,phase48_current_main,phase48_bnb_trend_loose,phase48_bnb_trend_base,phase48_bnb_trend_strict,phase48_bnb_trend_plus_gap
2018-10-31,1.0,1.0,1.0,1.0,1.0
2018-11-01,1.0,1.0,1.0,1.0,1.0
2018-11-02,1.0,1.0,1.0,1.0,1.0
2018-11-03,1.0,1.0,1.0,1.0,1.0
2018-11-04,1.0,1.0,1.0,1.0,1.0
2018-11-05,1.0,1.0,1.0,1.0,1.0
2018-11-06,1.0,1.0,1.0,1.0,1.0
2018-11-07,1.0,1.0,1.0,1.0,1.0
2018-11-08,1.0,1.0,1.0,1.0,1.0
2018-11-09,1.0,1.0,1.0,1.0,1.0
2018-11-10,1.0,1.0,1.0,1.0,1.0
2018-11-11,1.0,1.0,1.0,1.0,1.0
2018-11-12,1.0,1.0,1.0,1.0,1.0
2018-11-13,1.0,1.0,1.0,1.0,1.0
2018-11-14,1.0,1.0,1.0,1.0,1.0
2018-11-15,1.0,1.0,1.0,1.0,1.0
2018-11-16,1.0,1.0,1.0,1.0,1.0
2018-11-17,1.0,1.0,1.0,1.0,1.0
2018-11-18,1.0,1.0,1.0,1.0,1.0
2018-11-19,1.0,1.0,1.0,1.0,1.0
2018-11-20,1.0,1.0,1.0,1.0,1.0
2018-11-21,1.0,1.0,1.0,1.0,1.0
2018-11-22,1.0,1.0,1.0,1.0,1.0
2018-11-23,1.0,1.0,1.0,1.0,1.0
2018-11-24,1.0,1.0,1.0,1.0,1.0
2018-11-25,1.0,1.0,1.0,1.0,1.0
2018-11-26,1.0,1.0,1.0,1.0,1.0
2018-11-27,1.0,1.0,1.0,1.0,1.0
2018-11-28,1.0,1.0,1.0,1.0,1.0
2018-11-29,1.0,1.0,1.0,1.0,1.0
2018-11-30,1.0,1.0,1.0,1.0,1.0
2018-12-01,1.0,1.0,1.0,1.0,1.0
2018-12-02,1.0,1.0,1.0,1.0,1.0
2018-12-03,1.0,1.0,1.0,1.0,1.0
2018-12-04,1.0,1.0,1.0,1.0,1.0
2018-12-05,1.0,1.0,1.0,1.0,1.0
2018-12-06,1.0,1.0,1.0,1.0,1.0
2018-12-07,1.0,1.0,1.0,1.0,1.0
2018-12-08,1.0,1.0,1.0,1.0,1.0
2018-12-09,1.0,1.0,1.0,1.0,1.0
2018-12-10,1.0,1.0,1.0,1.0,1.0
2018-12-11,1.0,1.0,1.0,1.0,1.0
2018-12-12,1.0,1.0,1.0,1.0,1.0
2018-12-13,1.0,1.0,1.0,1.0,1.0
2018-12-14,1.0,1.0,1.0,1.0,1.0
2018-12-15,1.0,1.0,1.0,1.0,1.0
2018-12-16,1.0,1.0,1.0,1.0,1.0
2018-12-17,1.0,1.0,1.0,1.0,1.0
2018-12-18,1.0,1.0,1.0,1.0,1.0
2018-12-19,1.0,1.0,1.0,1.0,1.0
2018-12-20,1.0,1.0,1.0,1.0,1.0
2018-12-21,1.0,1.0,1.0,1.0,1.0
2018-12-22,1.0,1.0,1.0,1.0,1.0
2018-12-23,1.0,1.0,1.0,1.0,1.0
2018-12-24,1.0,1.0,1.0,1.0,1.0
2018-12-25,1.0,1.0,1.0,1.0,1.0
2018-12-26,1.0,1.0,1.0,1.0,1.0
2018-12-27,1.0,1.0,1.0,1.0,1.0
2018-12-28,1.0,1.0,1.0,1.0,1.0
2018-12-29,1.0,1.0,1.0,1.0,1.0
2018-12-30,1.0,1.0,1.0,1.0,1.0
2018-12-31,1.0,1.0,1.0,1.0,1.0
2019-01-01,1.0,1.0,1.0,1.0,1.0
2019-01-02,1.0,1.0,1.0,1.0,1.0
2019-01-03,1.0,1.0,1.0,1.0,1.0
2019-01-04,1.0,1.0,1.0,1.0,1.0
2019-01-05,1.0,1.0,1.0,1.0,1.0
2019-01-06,1.0,1.0,1.0,1.0,1.0
2019-01-07,1.0,1.0,1.0,1.0,1.0
2019-01-08,1.0,1.0,1.0,1.0,1.0
2019-01-09,1.0,1.0,1.0,1.0,1.0
2019-01-10,1.0,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0,1.0
2019-01-12,1.0,1.0,1.0,1.0,1.0
2019-01-13,1.0,1.0,1.0,1.0,1.0
2019-01-14,1.0,1.0,1.0,1.0,1.0
2019-01-15,1.0,1.0,1.0,1.0,1.0
2019-01-16,1.0,1.0,1.0,1.0,1.0
2019-01-17,1.0,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0,1.0
2019-01-19,1.0,1.0,1.0,1.0,1.0
2019-01-20,1.0,1.0,1.0,1.0,1.0
2019-01-21,1.0,1.0,1.0,1.0,1.0
2019-01-22,1.0,1.0,1.0,1.0,1.0
2019-01-23,1.0,1.0,1.0,1.0,1.0
2019-01-24,1.0,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0,1.0
2019-01-26,1.0,1.0,1.0,1.0,1.0
2019-01-27,1.0,1.0,1.0,1.0,1.0
2019-01-28,1.0,1.0,1.0,1.0,1.0
2019-01-29,1.0,1.0,1.0,1.0,1.0
2019-01-30,1.0,1.0,1.0,1.0,1.0
2019-01-31,1.0,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0,1.0
2019-02-02,1.0,1.0,1.0,1.0,1.0
2019-02-03,1.0,1.0,1.0,1.0,1.0
2019-02-04,1.0,1.0,1.0,1.0,1.0
2019-02-05,1.0,1.0,1.0,1.0,1.0
2019-02-06,1.0,1.0,1.0,1.0,1.0
2019-02-07,1.0,1.0,1.0,1.0,1.0
2019-02-08,1.0,1.0,1.0,1.0,1.0
2019-02-09,1.0,1.0,1.0,1.0,1.0
2019-02-10,1.0,1.0,1.0,1.0,1.0
2019-02-11,1.0,1.0,1.0,1.0,1.0
2019-02-12,1.0,1.0,1.0,1.0,1.0
2019-02-13,1.0,1.0,1.0,1.0,1.0
2019-02-14,1.0,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0,1.0
2019-02-16,1.0,1.0,1.0,1.0,1.0
2019-02-17,1.0,1.0,1.0,1.0,1.0
2019-02-18,1.0,1.0,1.0,1.0,1.0
2019-02-19,1.0,1.0,1.0,1.0,1.0
2019-02-20,1.0,1.0,1.0,1.0,1.0
2019-02-21,1.0,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0,1.0
2019-02-23,1.0,1.0,1.0,1.0,1.0
2019-02-24,1.0,1.0,1.0,1.0,1.0
2019-02-25,1.0,1.0,1.0,1.0,1.0
2019-02-26,1.0,1.0,1.0,1.0,1.0
2019-02-27,1.0,1.0,1.0,1.0,1.0
2019-02-28,1.0,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0,1.0
2019-03-02,1.0,1.0,1.0,1.0,1.0
2019-03-03,1.0,1.0,1.0,1.0,1.0
2019-03-04,1.0,1.0,1.0,1.0,1.0
2019-03-05,1.0,1.0,1.0,1.0,1.0
2019-03-06,1.0,1.0,1.0,1.0,1.0
2019-03-07,1.0,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0,1.0
2019-03-09,1.0,1.0,1.0,1.0,1.0
2019-03-10,1.0,1.0,1.0,1.0,1.0
2019-03-11,1.0,1.0,1.0,1.0,1.0
2019-03-12,1.0,1.0,1.0,1.0,1.0
2019-03-13,1.0,1.0,1.0,1.0,1.0
2019-03-14,1.0,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0,1.0
2019-03-16,1.0,1.0,1.0,1.0,1.0
2019-03-17,1.0,1.0,1.0,1.0,1.0
2019-03-18,1.0,1.0,1.0,1.0,1.0
2019-03-19,1.0,1.0,1.0,1.0,1.0
2019-03-20,1.0,1.0,1.0,1.0,1.0
2019-03-21,1.0,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0,1.0
2019-03-23,1.0,1.0,1.0,1.0,1.0
2019-03-24,1.0,1.0,1.0,1.0,1.0
2019-03-25,0.9942655826558267,0.9942655826558267,0.9942655826558267,0.9942655826558267,0.9942655826558267
2019-03-26,1.0390827929643474,1.0390827929643474,1.0390827929643474,1.0390827929643474,1.0390827929643474
2019-03-27,1.0231853674209475,1.0231853674209475,1.0231853674209475,1.0231853674209475,1.0231853674209475
2019-03-28,1.0392519145126813,1.0083777114026324,1.0392519145126813,1.0392519145126813,1.0392519145126813
2019-03-29,1.0223397596792771,1.0384479358970033,1.0223397596792771,1.0223397596792771,1.0223397596792771
2019-03-30,1.0228471243242792,1.0733962326327777,1.053678926835758,1.0228471243242792,1.053678926835758
2019-03-31,1.0223397596792771,1.0948915773150965,1.074779421721302,1.0402616541846956,1.074779421721302
2019-04-01,1.2985152481087658,1.2066955241578967,1.1845296324485894,1.1464871116608362,1.1845296324485894
2019-04-02,1.4407464702576942,1.3352493026305898,1.310721995737915,1.268626663207693,1.310721995737915
2019-04-03,1.4385853505523076,1.3332464286766441,1.3087559127443082,1.2667237232128816,1.3087559127443082
2019-04-04,1.4385853505523076,1.3332464286766441,1.3087559127443082,1.2667237232128816,1.3087559127443082
2019-04-05,1.4385853505523076,1.3332464286766441,1.3087559127443082,1.2667237232128816,1.3087559127443082
2019-04-06,1.4385853505523076,1.3332464286766441,1.3087559127443082,1.2667237232128816,1.3087559127443082
2019-04-07,1.4385853505523076,1.3332464286766441,1.3087559127443082,1.2667237232128816,1.3087559127443082
2019-04-08,1.4032640233082858,1.300511469026088,1.2766222643244614,1.2356220835790634,1.2766222643244614
2019-04-09,1.423517318490055,1.3192817376512067,1.295047740304402,1.253455804372988,1.295047740304402
2019-04-10,1.3186341827273222,1.2220785608425557,1.199630096836852,1.1611026074044497,1.199630096836852
2019-04-11,1.3166562314532313,1.220245443001292,1.1978306516915969,1.1593609534933431,1.1978306516915969
2019-04-12,1.3166562314532313,1.220245443001292,1.1978306516915969,1.1593609534933431,1.1978306516915969
2019-04-13,1.3166562314532313,1.220245443001292,1.1978306516915969,1.1593609534933431,1.1978306516915969
2019-04-14,1.3166562314532313,1.220245443001292,1.1978306516915969,1.1593609534933431,1.1978306516915969
2019-04-15,1.3166562314532313,1.220245443001292,1.1978306516915969,1.1593609534933431,1.1978306516915969
2019-04-16,1.3220868848938112,1.2252784424700087,1.2027711995692014,1.1641428300383039,1.2027711995692014
2019-04-17,1.3362204648634803,1.238377105689221,1.2156292523405907,1.1765879317728885,1.2156292523405907
2019-04-18,1.3362814511848167,1.238433626350361,1.2156847347689463,1.1766416323197475,1.2156847347689463
2019-04-19,1.3446797758521585,1.2462169923948585,1.2233251275070693,1.1840366451267954,1.2233251275070693
2019-04-20,1.3356360126173417,1.2378354493532953,1.2150975457355173,1.1760733015321558,1.2150975457355173
2019-04-21,1.361301089513001,1.2616212275830767,1.238446401001794,1.198672281668672,1.238446401001794
2019-04-22,1.3959032035811392,1.2936896376974265,1.2699257437900007,1.2291406294428244,1.2699257437900007
2019-04-23,1.3760038751484749,1.2752474169729298,1.2518222897711677,1.211618588507274,1.2518222897711677
2019-04-24,1.3264270780955723,1.2293008295211443,1.2067196990538354,1.1679645189564396,1.2067196990538354
2019-04-25,1.350364209220039,1.2514851890186236,1.2284965521833726,1.1890419835986161,1.2284965521833726
2019-04-26,1.3456860501542063,1.2471495833036703,1.2242405875749354,1.18492270414997,1.2242405875749354
2019-04-27,1.3486921675767376,1.2499355808923667,1.2269754089392924,1.187569693605564,1.2269754089392924
2019-04-28,1.331062038517125,1.2335963997677901,1.210936363608854,1.1720457605177275,1.210936363608854
2019-04-29,1.3520692851207305,1.2530654125029983,1.2300477484094785,1.1905433613878837,1.2300477484094785
2019-04-30,1.3679231875714255,1.26775842937187,1.2444708680140626,1.2045032660484505,1.2444708680140626
2019-05-01,1.3957913953253558,1.2935860164853366,1.269824026004682,1.2290421784402497,1.269824026004682
2019-05-02,1.4668963638099441,1.3594843973195685,1.3345119139315091,1.2916525410323283,1.3345119139315091
2019-05-03,1.4813196288059602,1.372851533679196,1.347633508237587,1.3043527203644931,1.347633508237587
2019-05-04,1.4676409051495904,1.360174420390987,1.335189261911016,1.292308135208566,1.335189261911016
2019-05-05,1.4605690329713112,1.3536203787262857,1.328755611989625,1.286081109295702,1.328755611989625
2019-05-06,1.4856115411699966,1.3768291752069286,1.351538084133106,1.3081318963496986,1.351538084133106
2019-05-07,1.5214282994714143,1.4100232884889847,1.3841224519527264,1.3396697800154602,1.3841224519527264
2019-05-08,1.5778126946434727,1.4622789947405312,1.4354182687352426,1.3893181731094362,1.4354182687352426
2019-05-09,1.6195247973407252,1.5009367719327946,1.4733659379625625,1.4260471096382394,1.4733659379625625
2019-05-10,1.7981359448574588,1.6664693032192404,1.6358577882409109,1.5833203487288912,1.6358577882409109
2019-05-11,1.7704608604544263,1.640820698199384,1.6106803246067505,1.5589514880688122,1.6106803246067505
2019-05-12,1.9796947645721092,1.8347336664607894,1.8010312892231084,1.7431891142510632,1.8010312892231084
2019-05-13,2.0195518666620518,1.8716722735433755,1.8372913679212814,1.778284659146237,1.8372913679212814
2019-05-14,2.076042987896448,1.9240268909519167,1.8886842789534193,1.8280270281972157,1.8886842789534193
2019-05-15,1.9989766065012442,1.8526036154912426,1.8185729836548414,1.7601674371496654,1.8185729836548414
2019-05-16,1.869042707797704,1.7321839919047666,1.7003653582755818,1.6457561845436774,1.7003653582755818
2019-05-17,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-18,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-19,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-20,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-21,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-22,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-23,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-24,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-25,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-26,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-27,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-28,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-29,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-30,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-05-31,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-06-01,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-06-02,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-06-03,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-06-04,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-06-05,1.8662391437360077,1.7295857159169095,1.6978148102381685,1.643287550266862,1.6978148102381685
2019-06-06,1.909895039907628,1.7700449543202097,1.7375308494838233,1.6817280635930116,1.7375308494838233
2019-06-07,1.8890957975116502,1.7507687149000246,1.7186086969289631,1.663413617559118,1.7186086969289631
2019-06-08,1.8255589103443723,1.6918842504694076,1.6608058861846315,1.6074672100394034,1.6608058861846315
2019-06-09,1.822820571978856,1.6893464240937035,1.6583146773553548,1.6050560092243444,1.6583146773553548
2019-06-10,1.797742788714996,1.6661049355279873,1.635500113650465,1.5829741612660524,1.635500113650465
2019-06-11,1.8530870650574578,1.7173966845736395,1.685849680238185,1.631706694069984,1.685849680238185
2019-06-12,1.8738120989189135,1.7366041493023607,1.704704321429681,1.6499557969449836,1.704704321429681
2019-06-13,1.9721841903365562,1.8277730462424493,1.794198529223772,1.736575796135823,1.794198529223772
2019-06-14,2.008367500279494,1.8613068708018339,1.827116368135658,1.768436441089205,1.827116368135658
2019-06-15,2.005354949029075,1.8585149104956313,1.8243756935834545,1.7657837864275714,1.8243756935834545
2019-06-16,2.005354949029075,1.8585149104956313,1.8243756935834545,1.7657837864275714,1.8243756935834545
2019-06-17,2.005354949029075,1.8585149104956313,1.8243756935834545,1.7657837864275714,1.8243756935834545
2019-06-18,2.005354949029075,1.8585149104956313,1.8243756935834545,1.7657837864275714,1.8243756935834545
2019-06-19,2.005354949029075,1.8585149104956313,1.8243756935834545,1.7657837864275714,1.8243756935834545
2019-06-20,2.1377788371801323,1.9484810983761065,1.9126892849819386,1.882387560111651,1.9126892849819386
2019-06-21,2.2576391833671163,2.0518825121123707,2.0141913094409722,1.987928704353993,2.0141913094409722
2019-06-22,2.2947920190637596,2.0856493134697205,2.0473378455804006,2.020643049973806,2.0473378455804006
2019-06-23,2.3264635647909992,2.114434378544808,2.0755941553708896,2.0485309318489504,2.0755941553708896
2019-06-24,2.4872768271678094,2.2605914452797093,2.2190664506378126,2.190132522871517,2.2190664506378126
2019-06-25,2.75512148181857,2.5040252795654,2.4580286283198842,2.4259789243739514,2.4580286283198842
2019-06-26,2.3839908076944494,2.1667187048239005,2.126918066457255,2.0991856415530727,2.126918066457255
2019-06-27,2.380414821482908,2.1634686267666647,2.1237276893575694,2.096036863090743,2.1237276893575694
2019-06-28,2.380414821482908,2.1634686267666647,2.1237276893575694,2.096036863090743,2.1237276893575694
2019-06-29,2.380414821482908,2.1634686267666647,2.1237276893575694,2.096036863090743,2.1237276893575694
2019-06-30,2.380414821482908,2.1634686267666647,2.1237276893575694,2.096036863090743,2.1237276893575694
2019-07-01,2.380414821482908,2.1634686267666647,2.1237276893575694,2.096036863090743,2.1237276893575694
2019-07-02,2.380414821482908,2.1634686267666647,2.1237276893575694,2.096036863090743,2.1237276893575694
