date,strategy_return,base_return,btc_return,equity,executed_regime,executed_position,base_strength_lb,baseline_is_weak,DOGE_close,DOGE_return,DOGE_fast_ma,DOGE_slow_ma,DOGE_risk_ma,DOGE_ret_lb,DOGE_vol,DOGE_trend_ok,DOGE_risk_off,DOGE_signal_raw,DOGE_signal,XRP_close,XRP_return,XRP_fast_ma,XRP_slow_ma,XRP_risk_ma,XRP_ret_lb,XRP_vol,XRP_trend_ok,XRP_risk_off,XRP_signal_raw,XRP_signal,DOGE_score,XRP_score,combo_signal_asset,combo_execute_asset,combo_execute,combo_candidate_return
2018-05-04,0.0,0.0,-0.0036933333333333,1.0,CASH,CASH,,False,,0.0,,,,,,False,False,False,False,0.8899,0.0,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-05,0.0,0.0,0.0154426759755774,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.9028,0.014496010787728997,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-06,0.0,0.0,-0.0207816301703163,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.86483,-0.04205804164820559,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-07,0.0,0.0,-0.0304389373238044,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.8249,-0.04617092376536436,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-08,0.0,0.0,-0.0189471436198612,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.80667,-0.02209964844223533,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-09,0.0,0.0,0.0133267156894758,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.79481,-0.014702418585047172,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-10,0.0,0.0,-0.0330612244897958,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.74558,-0.06193933141253882,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-11,0.0,0.0,-0.0668947590588967,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.6761,-0.09318919498913592,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-12,0.0,0.0,0.0078500000000001,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.68522,0.01348912882709663,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-13,0.0,0.0,0.0252505923736761,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.72999,0.0653366801903037,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-14,0.0,0.0,-0.0018860077122391,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.72694,-0.004178139426567529,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-15,0.0,0.0,-0.0232404592224245,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.689,-0.05219137755523162,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-16,0.0,0.0,-0.0155991491373197,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.70585,0.024455732946299102,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-17,0.0,0.0,-0.0346386554621849,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.65849,-0.06709640858539345,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-18,0.0,0.0,0.0246659188754281,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.67766,0.02911205940864714,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-19,0.0,0.0,-0.0007670079771256,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.67339,-0.006301094944367369,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-20,0.0,0.0,0.0356458804225181,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.6994,0.03862546221357599,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-21,0.0,0.0,-0.017091631503768,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.67612,-0.033285673434372276,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-22,0.0,0.0,-0.0482184020502932,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.63782,-0.056646749097793325,,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
2018-05-23,0.0,0.0,-0.0595654315911401,1.0,BASE,0.0,,False,,0.0,,,,,,False,False,False,False,0.59198,-0.07186980652848785,0.7328725,,,,,False,False,False,False,-999.0,-999.0,,,False,0.0
