asset,total_return_pct,cagr_pct,max_drawdown_pct,worst_day_pct,worst_30d_pct,days
Main strategy,573.04,81.34,-36.25,-12.18,-18.29,1171
BTC Buy & Hold,350.66,60.0,-49.53,-14.02,-32.89,1171
