model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,delta_vs_phase66g_core_cagr_pct,delta_vs_phase66g_core_max_drawdown_pct,delta_vs_phase66g_core_since2021_cagr_pct,delta_vs_phase66g_core_since2023_cagr_pct,delta_vs_phase66g_core_since2025_cagr_pct,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,shortlist_size,selection_count,switch_count,unique_selected_assets,final_shortlist,promotion_margin_pct,persistence_weeks,reentry_cooldown_days,downside_lookback_days,bnb_shield_margin_pct,anti_flip_lookback_periods,anti_flip_max_switches,anti_flip_block_periods
phase67k_no_neo_stricter_entry,2874,58896.48885570918,124.97687317609878,-26.163554706001925,1.579706903996479,2.310358259359025,41.8580375782881,8.211551844119693,48.816979819067505,1.1134307585247043,841,3133.71415084127,95.01481536213959,-23.600032995556862,2351.1663834838646,171.24596703781188,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,11.254363902571328,-2.5635217104450057,15.807259588852872,34.7813168493837,0.0,23.385850604610823,7.294600323952494,26.79516976447536,45.5674377825075,0.0,6,62,24,5,"APT,BCH,DOGE,ICP,STX,XTZ",2.5,3,14,42,1.0,8,3,1
phase67k_no_neo_2025_combined_guard,2874,58896.48885570918,124.97687317609878,-26.163554706001925,1.579706903996479,2.310358259359025,41.8580375782881,8.211551844119693,48.816979819067505,1.1134307585247043,841,3133.71415084127,95.01481536213959,-23.600032995556862,2351.1663834838646,171.24596703781188,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,11.254363902571328,-2.5635217104450057,15.807259588852872,34.7813168493837,0.0,23.385850604610823,7.294600323952494,26.79516976447536,45.5674377825075,0.0,6,60,21,5,"APT,BCH,DOGE,ICP,STX,XTZ",2.5,3,14,63,2.0,8,2,2
phase67k_no_neo_control_67j,2874,103793.75764729097,141.7527167740253,-26.163554706001946,1.6800657746254797,2.45860389584036,41.8580375782881,7.8636047320807245,48.43423799582464,1.8441196938065414,841,4537.16682280088,109.00018127621851,-23.600032995556898,3414.988307701588,203.52438951045437,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,28.030207500497838,-2.563521710445027,29.7926255029318,67.05973932202619,0.0,40.16169420253733,7.294600323952473,40.78053567855429,77.84586025514999,0.0,6,58,21,4,"APT,BCH,DOGE,ICP,STX,XTZ",2.0,2,7,42,1.0,8,99,0
phase67k_no_neo_anti_flip_guard,2874,103793.75764729097,141.7527167740253,-26.163554706001946,1.6800657746254797,2.45860389584036,41.8580375782881,7.8636047320807245,48.43423799582464,1.8441196938065414,841,4537.16682280088,109.00018127621851,-23.600032995556898,3414.988307701588,203.52438951045437,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,28.030207500497838,-2.563521710445027,29.7926255029318,67.05973932202619,0.0,40.16169420253733,7.294600323952473,40.78053567855429,77.84586025514999,0.0,6,58,21,4,"APT,BCH,DOGE,ICP,STX,XTZ",2.0,2,14,42,1.0,8,2,2
