date,net_return,event_low_ratio,event_high_ratio,internal_drawdown,turnover,cost_fraction,max_exposure,bankrupt,activity,equity
2021-01-01,0.0026677509566606084,0.9977002020655737,1.014130184666542,0.016201058650444078,0.18419967858233538,0.00032762305001251624,0.19588951510830166,0.0,1.0,1.0026677509566606
2021-01-02,0.015792543915154056,0.9953688649695994,1.0232462254419896,0.02724403939076203,0.0,6.132200759644064e-05,0.20523361238664237,0.0,1.0,1.0185024254459525
2021-01-03,0.03528405325518502,0.9975176829348208,1.0403215105145704,0.04114480681897825,0.0,6.550421804465555e-05,0.23049488717978622,0.0,1.0,1.0544393192659225
2021-01-04,-0.008371619991381807,0.9690855065381911,1.0173916639748206,0.04748039437231433,0.0,7.449356078088055e-05,0.24004207530410737,0.0,1.0,1.0456119539810569
2021-01-05,0.0008387788304629051,0.9935656804704088,1.0028663360302208,0.009274072950367307,0.28377199130658937,0.00043232889354233485,0.22028671405891853,0.0,1.0,1.0464889911529351
2021-01-06,0.0028987684960624094,0.9972669872103387,1.0066623739180232,0.009333205403433187,0.0,2.126921348047763e-05,0.070906319108892,0.0,1.0,1.0495225204719654
2021-01-07,-0.004396662640425708,0.9894954504367792,1.0009710312061324,0.011464448432164542,0.0,2.2147627031493022e-05,0.0683464961081934,0.0,1.0,1.0449081240159208
2021-01-08,-4.616640556620588e-05,0.9938755132547059,1.0037101354829858,0.009798269321597886,0.0,2.082006062574428e-05,0.06680667604589159,0.0,1.0,1.044859884363688
2021-01-09,0.002831638472361453,0.9993851698604302,1.0068032337368367,0.00394475815272699,0.0,2.0812094892633176e-05,0.0696513507902524,0.0,1.0,1.0478185498104795
2021-01-10,-0.0023476323681566047,0.9920361573784873,1.004752019527241,0.012655721911100759,0.0,2.1692960777225334e-05,0.07040595918690215,0.0,1.0,1.0453586570669895
2021-01-11,-0.006435091626208145,0.9797726196072968,1.0001446979798503,0.02036913100044635,0.0,2.09503159138461e-05,0.0639470295159255,0.0,1.0,1.0386316783265135
2021-01-12,-0.004934895591109267,0.9933717457393199,1.001986953148176,0.00859812334061627,0.0,1.8927745132130965e-05,0.059635492493912305,0.0,1.0,1.0335061394363536
2021-01-13,0.0038795136012024223,0.9979411056080555,1.0040516604140155,0.006085896818735614,0.0,1.7443459091874755e-05,0.056932583143010904,0.0,1.0,1.0375156405612231
2021-01-14,0.004673517414368167,0.9976035033704447,1.0093159548901642,0.011604345956261253,0.0,1.8662165331412743e-05,0.06549533062768291,0.0,1.0,1.0423644879750653
2021-01-15,-0.00026896406476650814,0.9929544960582296,1.002934941252971,0.009951238893195491,0.0,2.0104085658363912e-05,0.06394450459287476,0.0,1.0,1.0420841293854113
2021-01-16,-0.0007700701467384663,0.9981566781821857,1.001380994677925,0.0032198698725818264,0.0,2.0031532372992134e-05,0.06225971100631841,0.0,1.0,1.0412816515069816
2021-01-17,-0.0009243134326164526,0.9969907868209896,1.00101254995393,0.004017695016036993,0.0,1.9791709673751274e-05,0.06121137840470056,0.0,1.0,1.0403191808893566
2021-01-18,0.0004994204155284176,0.9989119423959877,1.0014250140963297,0.002509495633689296,0.0,1.9512571944768268e-05,0.06074934884671353,0.0,1.0,1.0408387375269585
2021-01-19,0.01386481246534177,0.9986769750893062,1.0235934579225126,0.024342166941724086,0.22775480895719546,0.0003854117055765456,0.1874168337470256,0.0,1.0,1.055269771429433
2021-01-20,0.0014709692584042866,0.9828467618658235,1.00554127353704,0.02256944818524198,0.0,5.901260198784911e-05,0.1841991953130115,0.0,1.0,1.056822040822529
2021-01-21,-0.03500552438466309,0.9617156917925282,1.0016495973267365,0.03986813915843068,0.0,5.9418303715340745e-05,0.18229182049413992,0.0,1.0,1.0198274311022666
