policy,neighbor,passed,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes,profitable_fold_fraction,worst_fold_return
robust_1.25__cross_sectional,vol_low,True,0.03432853924931445,0.47050144185521636,0.07296160265514785,0.273706391621489,0.21349530063977862,2.1666037026879934,0.02997040467343302,1.112842017166959,0.022269513653004447,-0.08023500160399766,2.996398214959859,1.613096583739045,0.1935048736098835,0.19350487360988503,1.9984014443252818e-15,1.5265566588595902e-15,False,2094,17,0.5,-0.40501723734062567
robust_1.25__cross_sectional,vol_high,True,0.04722932697676474,0.6072794498280122,0.07777198288224733,0.3073618150739119,0.30286917487448695,2.6465057348321435,0.03726598014011258,1.1662487278225784,0.02936839349245557,-0.11510679585624506,3.184644278839143,1.7555839316711976,0.2645688900893144,0.26456889008931983,4.884981308350689e-15,5.440092820663267e-15,False,2094,17,0.5,-0.5308156850535598
robust_1.25__cross_sectional,structure,True,0.06602079165590746,0.4286817150126562,0.15400888198359078,0.37009586330061406,0.44272072173034327,6.678698519220013,0.04549008210075931,1.1345585416854507,0.04183329462128449,-0.09683187025836126,0.7548395204825953,1.0774485143111974,0.3665307210260318,0.36653072102602446,7.216449660063518e-15,7.327471962526033e-15,False,2094,42,0.5,-0.2992334632087529
robust_1.25__dual_momentum,vol_low,True,0.0003357608866607631,0.37858327875739484,0.0008868877879731361,0.08577208618204571,0.0019264673286205625,3.2595478138366927,0.022119027260736494,1.112842017166959,-0.0102384512983823,-0.07984619754268851,132.997006240861,109.74909870947747,0.0019246140702144365,0.0019246140702169762,2.6506574712925612e-15,2.5396351688300456e-15,False,2094,27,0.6666666666666666,-0.2752779143807492
robust_1.25__dual_momentum,vol_high,True,0.0007890531997363226,0.4895756673182876,0.0016117083678983902,0.1186243932610788,0.004532144444607811,4.182407754680566,0.028428331783574585,1.1662487278225784,-0.015035056391505153,-0.10224845569151297,79.15383873475157,65.14428536415595,0.0045219052034634055,0.004521905203467569,4.121702978920894e-15,4.163336342344337e-15,False,2094,27,0.5,-0.35467114471495775
robust_1.25__dual_momentum,structure,True,0.13975795950043035,0.5002375408878919,0.2793831891392403,0.6620574617325019,1.1169481085517363,5.733959519810766,0.029923539492965473,1.1345585416854505,0.1138974017314005,-0.05273800424080444,0.7771688976316246,0.5265745231875105,0.7499754800675846,0.7499754800675925,7.549516567451064e-15,7.882583474838611e-15,False,2094,35,0.6666666666666666,-0.421564672925997
robust_1.25__relative_strength,vol_low,True,0.08571237542591037,0.3550413163637095,0.2414152141608932,0.5468079831472897,0.6023412278788343,4.185060525815193,0.02679180374112016,1.112842017166959,0.07305427615796045,-0.045257316272085846,1.1112985748798476,0.6620671798254452,0.47146582713744456,0.4714658271374464,2.1649348980190553e-15,1.8318679906315083e-15,False,2094,31,0.6666666666666666,-0.2752779143807492
robust_1.25__relative_strength,vol_high,True,0.13035086535010953,0.45984148443169703,0.2834691296093172,0.613463952245576,1.018714265868998,5.1800448534110854,0.03423735641704494,1.1662487278225784,0.11107225931810194,-0.06264631462760017,1.0817795964821588,0.6612082664557349,0.702460806714639,0.7024608067146414,1.2212453270876722e-15,2.4424906541753444e-15,False,2094,31,0.6666666666666666,-0.35467114471495775
robust_1.25__relative_strength,structure,False,0.00658775799716671,0.5189549989372289,0.0126942760174925,0.1441346532085727,0.03836166541151198,5.244322630967987,0.03337937038805887,1.1345585416854505,-0.016251232200974575,-0.1263707258349398,5.945887094252181,10.490819637612185,0.037644149309652986,0.0376441493096569,3.635980405647388e-15,3.913536161803677e-15,False,2094,33,0.5,-0.421564672925997
robust_1.25__breakout,vol_low,True,0.07024724717748243,0.23367557366268443,0.30061870000535784,0.5476622086276588,0.47582278985203197,10.01838374757824,0.026634556189919594,0.9532158730949893,0.041642592951906865,-0.012733785038807066,0.7959301243366461,0.4102891945588325,0.38921565789451124,0.3892156578945116,3.3306690738754696e-16,3.885780586188048e-16,False,2094,110,0.5,-0.07431239883271168
