date,net_return
2021-01-01,0.002339519213420349
2021-01-02,0.015732175071524912
2021-01-03,0.035222770034759376
2021-01-04,-0.00844762438044866
2021-01-05,0.00040589090499532077
2021-01-06,0.0028775582512856612
2021-01-07,-0.004418995597902264
2021-01-08,-6.699183667069342e-05
2021-01-09,0.002811064970729582
2021-01-10,-0.0023695773340384196
2021-01-11,-0.006456866259177296
2021-01-12,-0.004954562079547586
2021-01-13,0.0038627245733167115
2021-01-14,0.004655721232263543
2021-01-15,-0.0002891274035572433
2021-01-16,-0.0007902792750356102
2021-01-17,-0.0009443357825633658
2021-01-18,0.0004800347030398111
2021-01-19,0.013474882306214298
2021-01-20,0.0014120334637519605
2021-01-21,-0.035068911815000714
2021-01-22,0.016464659479723753
2021-01-23,2.2780341880634936e-05
2021-01-24,0.021176268829888656
2021-01-25,-0.00990883716319313
2021-01-26,0.005835620083942006
2021-01-27,-0.01579604815903768
2021-01-28,0.011279814625182683
2021-01-29,0.006075257573768589
2021-01-30,-0.00029078155949935347
2021-01-31,-0.008196568621582467
2021-02-01,0.007561416818374189
2021-02-02,-0.00202398152637262
2021-02-03,0.0024963280654530795
2021-02-04,0.006605096497774854
2021-02-05,-0.0026137532179385525
2021-02-06,0.00459226498577725
2021-02-07,0.008479923133958511
2021-02-08,9.89606512467045e-05
2021-02-09,-0.0016484820372505427
2021-02-10,0.0004713109628118328
2021-02-11,-0.0005698120907543514
2021-02-12,2.6222038061129993e-05
2021-02-13,-0.0006750774474398868
2021-02-14,-0.0006817489934423104
2021-02-15,-0.0011767470842177774
2021-02-16,-0.0005798523266354882
2021-02-17,-0.0007567163258705989
2021-02-18,0.001754131926320568
2021-02-19,-0.0007204165378589256
2021-02-20,-0.00017022493553753293
2021-02-21,0.00034338693586333235
2021-02-22,-0.0004735122924455215
2021-02-23,-0.0011248725465620169
2021-02-24,0.0017274394329078735
2021-02-25,-0.0013098150378271223
2021-02-26,0.00010056614413778142
2021-02-27,-8.296798839291242e-05
2021-02-28,-0.0003693296271424229
2021-03-01,0.0004560386751912837
2021-03-02,-0.00806804425746288
2021-03-03,-0.0010817837559227161
2021-03-04,-0.01047683218660167
2021-03-05,0.0047932984285017355
2021-03-06,-0.003201289148550557
2021-03-07,7.061602207425466e-05
2021-03-08,-0.0013205998606437008
2021-03-09,0.013746319595522305
2021-03-10,-0.0040312037270745504
2021-03-11,0.003086103218769898
2021-03-12,-0.007288542751645144
2021-03-13,0.0035048698023247837
2021-03-14,-0.0035838342905873954
2021-03-15,-0.002419430614132967
2021-03-16,0.001050535412804976
2021-03-17,0.003018556203997713
2021-03-18,-0.0023037865559356607
2021-03-19,0.0003487509547357437
2021-03-20,0.0003249225061541239
2021-03-21,4.769513353308774e-05
2021-03-22,-0.002726849892403793
2021-03-23,-0.006559753167485027
2021-03-24,-0.007029838875437511
2021-03-25,-0.0010024691544456843
2021-03-26,0.009873101394727968
2021-03-27,0.0017446740780016068
2021-03-28,-0.0029900485761659157
2021-03-29,0.0015741288102624207
2021-03-30,0.02420837056757663
2021-03-31,-0.006309699825986059
2021-04-01,0.02241807254587269
2021-04-02,0.0022276207721618757
2021-04-03,-0.011245600726729532
2021-04-04,0.018331612175923162
2021-04-05,0.012766344445377165
2021-04-06,0.023364077658863946
2021-04-07,-0.018263683246065976
2021-04-08,0.028428814578606687
2021-04-09,0.022559182276848944
2021-04-10,0.007637749133836191
2021-04-11,0.024915051759305973
2021-04-12,0.031522049837093835
2021-04-13,-0.015782591811975166
2021-04-14,-0.0006947811950466232
2021-04-15,-0.0029712646655947195
2021-04-16,-0.011911814212397731
2021-04-17,0.0021572983152189362
2021-04-18,-0.011896132406058801
2021-04-19,0.007985846762745386
2021-04-20,-0.011755674567546559
2021-04-21,-0.0014303214717618085
2021-04-22,-0.0055518915113329514
2021-04-23,-0.0013558653918320784
2021-04-24,0.0024671787199317396
2021-04-25,-0.002284975657108834
2021-04-26,0.002446345963651897
2021-04-27,6.533125725560751e-05
2021-04-28,0.006220297008823206
2021-04-29,-0.002263619446285614
2021-04-30,0.0039749817780632135
2021-05-01,0.00648558859341386
2021-05-02,-0.002078562294603903
2021-05-03,0.008158755785216965
2021-05-04,0.011660320231516863
2021-05-05,0.010051259240702493
2021-05-06,-0.006373847243322461
2021-05-07,0.009475536191724032
2021-05-08,-0.004607046406003068
2021-05-09,-0.005818267262619581
2021-05-10,-0.010525557091654258
2021-05-11,0.0037347383473493867
2021-05-12,-0.008987011595206651
2021-05-13,0.0086780165135385
2021-05-14,0.006165474213120525
2021-05-15,-0.00451464040893701
2021-05-16,0.00042386537390326495
2021-05-17,-0.002334654532716418
2021-05-18,0.04443479028051556
2021-05-19,-0.09897992201709305
2021-05-20,0.04915917159069161
2021-05-21,-0.014994271669690584
2021-05-22,-0.020692643981023995
2021-05-23,-0.018335567754413695
2021-05-24,0.019116314470652984
2021-05-25,-0.004871923508182441
2021-05-26,0.0014560607457838604
2021-05-27,-0.004174162819505556
2021-05-28,-0.005067242051176368
2021-05-29,-0.00191037777643277
2021-05-30,-0.0002679846230855265
2021-05-31,0.005228825163569706
2021-06-01,0.00976636912609119
2021-06-02,0.011594397922332522
2021-06-03,-0.004940368182438815
2021-06-04,-0.005373991893716568
2021-06-05,-0.0011405148426155698
2021-06-06,-2.4896278787434056e-05
2021-06-07,-0.008784402176174155
2021-06-08,0.0055739804512435764
2021-06-09,0.0015006668173014326
2021-06-10,-0.0018823799516244355
2021-06-11,-0.009828535212311085
2021-06-12,0.0005890989780157341
2021-06-13,0.004398851436767437
2021-06-14,0.001910962471441291
2021-06-15,-0.0008393161162907337
2021-06-16,0.0005876480608475454
2021-06-17,-0.0017300601547588501
2021-06-18,-0.008754820209139313
2021-06-19,-0.005913062444915074
2021-06-20,0.00015776521833266166
2021-06-21,-0.031243818831163228
2021-06-22,-0.009187189769643167
2021-06-23,0.02468552852287087
2021-06-24,0.008687092140792885
2021-06-25,-0.019814868088501858
2021-06-26,-0.0009703084572292298
2021-06-27,0.007972081432269018
2021-06-28,-0.0007604530233471518
2021-06-29,0.003450951703980909
2021-06-30,0.007347240849416403
2021-07-01,-0.010872326538453492
2021-07-02,0.003435723977155858
2021-07-03,0.0023031343815682614
2021-07-04,-0.0011626319998937484
2021-07-05,-0.006744597100713956
2021-07-06,0.006312486119383065
2021-07-07,0.011731702710799485
2021-07-08,-0.01700286128049866
2021-07-09,0.0007357858951999585
2021-07-10,-0.00799230922210692
2021-07-11,0.0022944495512577934
2021-07-12,-0.007007735302686946
2021-07-13,-0.012318748809023283
2021-07-14,-0.0008670939917616582
2021-07-15,0.0
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,0.0
2021-07-27,0.008367892008502187
2021-07-28,-1.3139108576032399e-05
2021-07-29,0.01047912013605834
2021-07-30,0.0099603209595851
2021-07-31,0.008624703007662937
2021-08-01,0.0029054571407394203
2021-08-02,0.006248883176035891
2021-08-03,-0.012480465087972847
2021-08-04,0.02716518266040535
2021-08-05,0.012404852700732993
2021-08-06,0.007654385168389233
2021-08-07,0.03231032871915751
2021-08-08,-0.01765789048832178
2021-08-09,0.017516084658858233
2021-08-10,-0.002294779212257403
2021-08-11,0.0017413470524112462
2021-08-12,-0.01208374926220912
2021-08-13,0.028776591905296467
2021-08-14,-0.00625410709013785
2021-08-15,0.004287001366268806
2021-08-16,-0.01662428364590285
2021-08-17,0.004987337680151915
2021-08-18,0.026671594107169794
2021-08-19,0.00016281109904991986
2021-08-20,0.01782348136197487
2021-08-21,-0.011421295541176768
