policy,partition,selector,overlay,feasible,pareto,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes,profitable_fold_fraction,worst_fold_return,double_cost_cagr,delayed_entry_cagr,parameter_stability
robust_1.25__cross_sectional,robust_1.25,cross_sectional,,False,False,0.03984777115743077,0.5435190282588911,0.07331439947020645,0.2866504446730963,0.25109035162692805,2.4210944135518027,0.03385933984698271,1.166248727822579,0.024883708552902783,-0.09824031646855402,3.183656977946267,1.7268405006495609,0.22401545239950565,0.22401545239950155,5.051514762044462e-15,4.107825191113079e-15,False,2094,17,0.5,-0.4716595546987711,0.004596656317516379,0.03134459678412149,1.0
robust_1.25__dual_momentum,robust_1.25,dual_momentum,,False,False,-0.000974046099173731,0.4433958710538327,-0.002196786580034418,0.09453611570424662,-0.00557140754253771,3.7605199208134326,0.02537030907345874,1.166248727822579,-0.014808263089115759,-0.09283491475230743,1000000.0,1000000.0,-0.005586985722073168,-0.005586985722068158,5.037636974236648e-15,5.009881398621019e-15,False,2094,27,0.6666666666666666,-0.3239858564587459,-0.02613422154515843,-0.021085493692811874,1.0
robust_1.25__relative_strength,robust_1.25,relative_strength,,False,False,0.10535069330329305,0.41593039885767646,0.25328923683537274,0.5735128918786918,0.7757776871910183,4.709133364618412,0.030541256708871367,1.166248727822579,0.0894440025036023,-0.05680835705304832,1.1211915655193607,0.673655602183413,0.5742384606036088,0.5742384606036106,7.771561172376096e-16,1.7763568394002505e-15,False,2094,31,0.6666666666666666,-0.3239858564587459,0.07199734814958747,0.08939006469791311,0.6666666666666666
robust_1.25__breakout,robust_1.25,breakout,,False,False,0.0848831706016906,0.2852073242856228,0.29761918216617667,0.5472402682154986,0.59533791424328,12.34534992661336,0.032304244896831556,1.1357780485122277,0.0493235148977782,-0.018369629681169286,0.8125356877006165,0.42538297468415254,0.4670855722577062,0.4670855722577055,7.216449660063518e-16,7.216449660063518e-16,False,2094,110,0.5,-0.1004047006618165,0.050320088708453836,0.14715725733240848,0.6666666666666666
robust_1.25__vol_adjusted,robust_1.25,vol_adjusted,,False,False,0.25798600380588876,0.3955486659453552,0.6522231675065979,0.9364873384062965,2.727754900797522,4.3209751966423395,0.0341185905098787,1.1590681517888215,0.22926962900514503,0.06630837686956492,0.5040602589425487,0.353819772799677,1.3158061491677846,1.3158061491677915,5.995204332975845e-15,6.8833827526759706e-15,False,2094,25,0.6666666666666666,-0.13201441389990531,0.2163852044078567,0.21091803574584844,0.6666666666666666
robust_1.25__ensemble,robust_1.25,ensemble,,False,False,0.13041200429577904,0.30270484567212164,0.43082232134809084,0.770119679276997,1.019340333960062,9.506595551618037,0.03414705984168531,0.8835579554920139,0.11655053990754172,0.022599334758415024,0.32879502054909476,0.3393507954886034,0.7027708907318798,0.7027708907318819,2.3314683517128287e-15,2.1094237467877974e-15,False,2094,82,0.6666666666666666,-0.1472066165635323,0.08982685306684912,0.1228974697373959,0.6666666666666666
robust_1.25__regime_allocation,robust_1.25,regime_allocation,,False,False,0.09105207096432144,0.2628336901115602,0.3464246570737345,0.6755402469713042,0.6480499824106576,6.444020498315057,0.023576051984155844,1.1284374440695724,0.07995282140473758,0.011266316047409797,0.640746668723586,0.32289515406939523,0.499592760160038,0.4995927601600392,1.0547118733938987e-15,1.1657341758564144e-15,False,2094,51,0.6666666666666666,0.0,0.0656038433034003,0.11725706381133394,1.0
robust_1.25__slow_hysteresis,robust_1.25,slow_hysteresis,,False,False,0.20026762689393496,0.46413174940045476,0.4314887467893157,0.7768001358191122,1.8477773141587952,3.5625516395468133,0.03322353191511429,1.166248727822578,0.17286880454550824,-0.009350856897566096,0.7891907029144399,0.3696365159956557,1.0465388002394793,1.0465388002394849,5.773159728050814e-15,5.551115123125783e-15,False,2094,20,0.5,-0.18265086365865335,0.1612912370782289,0.1612892842974416,0.6666666666666666
robust_1.25__all_growth,robust_1.25,all_growth,,False,False,0.08837400344247115,0.5679346750926513,0.1556059302560705,0.44282759613705514,0.6249925725759489,6.581107585583819,0.041072004128447574,1.166248727822579,0.052699927294679094,-0.026729962577856203,0.8358301833264886,0.5278579463395751,0.4855032450487596,0.4855032450487532,6.106226635438361e-15,6.38378239159465e-15,False,2094,55,0.6666666666666666,-0.4716595546987711,0.043742388896382156,0.1119873364826427,0.6666666666666666
robust_1.25__all_calmar,robust_1.25,all_calmar,,False,False,0.023359903088155276,0.5679346750926513,0.04113132040114368,0.21379818833198833,0.14154594292716793,5.656597126914001,0.032737759720919614,1.166248727822579,-0.010183179523054697,-0.0832918744645299,3.149790568184645,1.9358671856782566,0.13238343403338787,0.1323834340333839,4.135580766728708e-15,3.969047313034935e-15,False,2094,58,0.6666666666666666,-0.4716595546987711,-0.01016589428260084,0.08029256884886937,1.0
