date,net_return
2021-01-01,0.0
2021-01-02,0.00690209414807863
2021-01-03,0.028101540475165665
2021-01-04,-0.0017346636159339957
2021-01-05,0.017269270112474144
2021-01-06,0.03951964379494233
2021-01-07,-0.017919687976293952
2021-01-08,-0.00815082597145611
2021-01-09,0.02576583833095114
2021-01-10,-0.014697395341614072
2021-01-11,-0.017371559610937504
2021-01-12,-0.007631485564065121
2021-01-13,0.022273772259312263
2021-01-14,0.02260933246170027
2021-01-15,0.023286790358808762
2021-01-16,-0.005294343244946265
2021-01-17,0.026407060312944486
2021-01-18,-0.007853341047964868
2021-01-19,-0.009249060399788345
2021-01-20,0.008082074466543077
2021-01-21,-0.021471743480117378
2021-01-22,0.01997050780215437
2021-01-23,0.020277156957150044
2021-01-24,-0.00012389182934047227
2021-01-25,-0.007008131235305304
2021-01-26,-0.0012152373540279537
2021-01-27,-0.010392677087303626
2021-01-28,0.010022128443486045
2021-01-29,-0.0013271418361074927
2021-01-30,0.004288668889891101
2021-01-31,-0.0052454161404914545
2021-02-01,0.001490067264668049
2021-02-02,-0.0001631813164192364
2021-02-03,0.0027523068855173083
2021-02-04,0.0073299884194808484
2021-02-05,-0.0028881757272962716
2021-02-06,0.005097171979684623
2021-02-07,0.005140264815843176
2021-02-08,0.00018995693682977155
2021-02-09,-0.0022075145981429456
2021-02-10,0.0006392102219499041
2021-02-11,-0.0007595639731055037
2021-02-12,4.104441549390714e-05
2021-02-13,-0.0009013867206253412
2021-02-14,-0.000910850249177142
2021-02-15,-0.0015768620413828538
2021-02-16,-0.0007751800610019677
2021-02-17,-0.0010135053642558178
2021-02-18,0.0023645413200990006
2021-02-19,-0.0009638957301617568
2021-02-20,-0.00022436555877036746
2021-02-21,0.00046645966024394525
2021-02-22,-0.0006322021563134328
2021-02-23,-0.0015087401779346754
2021-02-24,0.002328726882190102
2021-02-25,-0.0017568908065638267
2021-02-26,0.0001395031230499999
2021-02-27,-0.00010740240932516354
2021-02-28,-0.0004927492842881076
2021-03-01,0.0006177326020848639
2021-03-02,-2.328112923555281e-05
2021-03-03,-0.001288053245754095
2021-03-04,-0.010982405965089481
2021-03-05,0.00508713105145886
2021-03-06,-0.00332812931535742
2021-03-07,0.00011500380794826626
2021-03-08,-0.0013494829384490536
2021-03-09,0.008599959793247347
2021-03-10,-0.007071743385316909
2021-03-11,-0.0009515374464462711
2021-03-12,-0.01015845523653236
