model,label,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2023_trade_count,since2023_cash_days_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,since2025_trade_count,since2025_cash_days_pct
phase56_profit_lock_strict,Profit lock strict,17326.18,92.72,-36.56,1.451,1.96,214,69.45,87.02,69.36,49.6682,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77
phase56_phase42_core,Phase42 core,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77
phase56_profit_lock_light,Profit lock light,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77
phase56_profit_lock_medium,Profit lock medium,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,675.47,89.54,-36.25,118,56.96,120.5,93.07,-19.53,30,64.77
