model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,delta_vs_phase66g_core_cagr_pct,delta_vs_phase66g_core_max_drawdown_pct,delta_vs_phase66g_core_since2021_cagr_pct,delta_vs_phase66g_core_since2023_cagr_pct,delta_vs_phase66g_core_since2025_cagr_pct,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,shortlist_size,selection_count,switch_count,unique_selected_assets,promotion_margin_pct,persistence_weeks,reentry_cooldown_days,downside_lookback_days,downside_max_worsen_pct,bnb_shield_margin_pct,min_hold_periods,dropped_assets,asset_suspensions_total,asset_reentry_blocks_total
phase67i_keep_drop_neo_baseline,2874,103793.75764729097,141.7527167740253,-26.163554706001946,1.6800657746254797,2.45860389584036,41.8580375782881,7.8636047320807245,48.43423799582464,1.8441196938065414,841,4537.16682280088,109.00018127621851,-23.600032995556898,3414.988307701588,203.52438951045437,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,28.030207500497838,-2.563521710445027,29.7926255029318,67.05973932202619,0.0,40.16169420253733,7.294600323952473,40.78053567855429,77.84586025514999,0.0,6,58,21,4,2.0,2,7,42,2.5,1.0,2,NEO,244,0
phase67i_drop_neo_bch,2874,103793.75764729097,141.7527167740253,-26.163554706001946,1.6800657746254797,2.45860389584036,41.8580375782881,7.8636047320807245,48.43423799582464,1.8441196938065414,841,4537.16682280088,109.00018127621851,-23.600032995556898,3414.988307701588,203.52438951045437,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,28.030207500497838,-2.563521710445027,29.7926255029318,67.05973932202619,0.0,40.16169420253733,7.294600323952473,40.78053567855429,77.84586025514999,0.0,5,58,21,4,2.0,2,7,42,2.5,1.0,2,"NEO,BCH",156,0
phase67i_drop_neo_apt,2874,103793.75764729097,141.7527167740253,-26.163554706001946,1.6800657746254797,2.45860389584036,41.8580375782881,7.8636047320807245,48.43423799582464,1.8441196938065414,841,4537.16682280088,109.00018127621851,-23.600032995556898,3414.988307701588,203.52438951045437,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,28.030207500497838,-2.563521710445027,29.7926255029318,67.05973932202619,0.0,40.16169420253733,7.294600323952473,40.78053567855429,77.84586025514999,0.0,5,58,21,4,2.0,2,7,42,2.5,1.0,2,"NEO,APT",228,0
phase67i_drop_neo_xtz,2874,80030.75225454537,133.9037118787377,-30.060540409288137,1.630892967336037,2.382798321447399,41.8580375782881,8.037578288100208,48.22546972860125,1.8789144050104383,838,4537.16682280088,109.00018127621851,-23.600032995556898,3414.988307701588,203.52438951045437,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,20.18120260521026,-6.460507413731218,29.7926255029318,67.05973932202619,0.0,32.312689307249755,3.397614620666282,40.78053567855429,77.84586025514999,0.0,5,42,17,3,2.0,2,7,42,2.5,1.0,2,"NEO,XTZ",204,0
phase67i_drop_neo_bch_xtz,2874,80030.75225454537,133.9037118787377,-30.060540409288137,1.630892967336037,2.382798321447399,41.8580375782881,8.037578288100208,48.22546972860125,1.8789144050104383,838,4537.16682280088,109.00018127621851,-23.600032995556898,3414.988307701588,203.52438951045437,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,20.18120260521026,-6.460507413731218,29.7926255029318,67.05973932202619,0.0,32.312689307249755,3.397614620666282,40.78053567855429,77.84586025514999,0.0,4,42,17,3,2.0,2,7,42,2.5,1.0,2,"NEO,BCH,XTZ",116,0
phase67i_drop_neo_xtz_apt,2874,80030.75225454537,133.9037118787377,-30.060540409288137,1.630892967336037,2.382798321447399,41.8580375782881,8.037578288100208,48.22546972860125,1.8789144050104383,838,4537.16682280088,109.00018127621851,-23.600032995556898,3414.988307701588,203.52438951045437,-23.600032995556887,149.9093451554409,113.89699075216568,-20.80923724935961,20.18120260521026,-6.460507413731218,29.7926255029318,67.05973932202619,0.0,32.312689307249755,3.397614620666282,40.78053567855429,77.84586025514999,0.0,4,42,17,3,2.0,2,7,42,2.5,1.0,2,"NEO,XTZ,APT",188,0
