asset_concentration,cagr,calmar,cancelled_orders,costs,ending_nav,entry_fill_ratio,fee,fee_usd,fill_count,fold_count,fold_returns,funding,funding_usd,liquidations,mdd,median_holding,partial_fills,positive_profit_asset_share,positive_profit_trade_share,profitable_folds,sharpe,slippage,slippage_usd,status,total_log_growth,trade_concentration,trades,turnover,turnover_usd,without_best_day,without_three_trades,worst_fold,label,capital,double_cost_cagr,delayed_cagr,benchmark_pass,decision
1.0,0.2999946453785288,0.9090491916957438,0.0,0.017982017977526465,285.60529438772636,0.9999999999999998,0.008991004495504495,8.925907673732452,36.0,4.0,"{'2022': 0.0, '2023': 0.8610886304967467, '2024': 0.7983450576855824, '2025': -0.14665200547015433}",0.0,0.0,0.0,0.3300092537554735,4.5,0.0,1.0,0.285495599081183,2.0,0.9141328543503034,0.00899101348202197,8.926111131045147,VALID,1.04944058207766,0.3861123925232027,18.0,8.991004495504495,8925.907673732452,0.26852153920812094,0.0021672515151992346,-0.14665200547015433,BTC_SMA200,100,0.2768040293393241,0.27867417135277567,False,BENCHMARK
1.0,0.29999464537852927,0.9090491916957467,0.0,0.017982017977526472,2856.0529438772433,1.0,0.008991004495504499,89.25907673732424,36.0,4.0,"{'2022': 0.0, '2023': 0.8610886304967416, '2024': 0.7983450576855888, '2025': -0.14665200547015025}",0.0,0.0,0.0,0.33000925375547296,4.5,0.0,1.0,0.2854955990811834,2.0,0.9141328543503041,0.008991013482021975,89.2611113104512,VALID,1.0494405820776613,0.38611239252320295,18.0,8.991004495504498,89259.07673732421,0.2685215392081214,0.002167251515199457,-0.14665200547015025,BTC_SMA200,1000,0.2768040293393283,0.27867417135277883,False,BENCHMARK
1.0,0.29999464537853104,0.9090491916957564,0.0,0.01798201797752645,28560.529438772817,0.9999999999999993,0.008991004495504488,892.5907673732484,36.0,4.0,"{'2022': 0.0, '2023': 0.8610886304967469, '2024': 0.7983450576855939, '2025': -0.14665200547014776}",0.0,0.0,0.0,0.3300092537554714,4.5,0.0,1.0,0.28549559908118327,2.0,0.9141328543503089,0.008991013482021963,892.611113104518,VALID,1.0494405820776667,0.38611239252320273,18.0,8.991004495504487,892590.7673732484,0.2685215392081231,0.002167251515200792,-0.14665200547014776,BTC_SMA200,10000,0.27680402933933074,0.2786741713527753,False,BENCHMARK
1.0,0.29863072740081814,0.902849266363279,5.0,0.01798022577750897,284408.5830613699,0.999561466828313,0.00899010823711129,8931.528207264731,36.0,4.0,"{'2022': 0.0, '2023': 0.8622236675756643, '2024': 0.8008905727858573, '2025': -0.15194595087175097}",0.0,0.0,0.0,0.3307647671949907,4.666666666666667,28.0,1.0,0.2859633860612629,2.0,0.9112616224714807,0.00899011754039768,8931.730479106016,VALID,1.0452416910262863,0.3876634633269354,18.0,8.99010823711129,8931528.207264733,0.2671906419320515,0.0013349419171710182,-0.15194595087175097,BTC_SMA200,100000,0.2756214797695131,0.2780989114572436,False,BENCHMARK
1.0,0.2813849203554452,1.1846182655961783,19.0,0.013159673432853472,2695990.982327276,0.7090619443351848,0.006579833849319432,56760.586172227966,36.0,4.0,"{'2022': 0.0, '2023': 0.7742182481324187, '2024': 0.5229056205049536, '2025': -0.002211707205952221}",0.0,0.0,0.0,0.2375321472979599,9.5,206.0,1.0,0.3051894952469274,2.0,0.987621028959525,0.006579839583534041,56762.39568618924,VALID,0.991765848210366,0.38306587541707027,16.0,6.5798338493194315,56760586.17222798,0.25036235900346093,0.009999601641862197,-0.002211707205952221,BTC_SMA200,1000000,0.26337885913179165,0.27787010428837733,False,BENCHMARK
,,,,,,,,,,,,,,,,,,,,,,,,UNSAFE_EXECUTION,,,,,,,,,B_deterministic,100,,,False,REJECT
,,,,,,,,,,,,,,,,,,,,,,,,UNSAFE_EXECUTION,,,,,,,,,B_deterministic,1000,,,False,REJECT
,-0.3608182741055905,-0.374422070765508,26.0,0.035425345897589014,1669.1578155070124,0.9993512132266996,0.017712710376793356,136.43459014026627,276.0,4.0,"{'2022': -0.7510260701656701, '2023': -0.6238501551676563, '2024': 0.876453589257586, '2025': -0.050172342104669844}",0.0,0.0,0.0,0.9636672148302997,17.5,25.0,0.1864451935909921,0.17828150634072948,1.0,-0.23934052960468563,0.017712635520795657,136.4265321591961,VALID,-1.7902658958600566,,72.0,17.712710376793353,136434.5901402663,-0.40226229920867396,-0.516806626182408,-0.7510260701656701,B_deterministic,10000,-0.38277153375733247,-0.3766666711174253,False,REJECT
,-0.35557111069044345,-0.36955594069385495,25.0,0.03523725294182704,17246.46157888381,0.9956199626956725,0.017618675592043245,1384.166583337945,301.0,4.0,"{'2022': -0.7521725325730886, '2023': -0.6103342823331749, '2024': 0.8818797829457481, '2025': -0.05099939121320223}",0.0,0.0,0.0,0.9621577453817832,17.666666666666668,99.0,0.1862942055728928,0.17421947588598288,1.0,-0.23440500796113653,0.017618577349783792,1384.0865980526191,VALID,-1.7575631894137151,,72.0,17.618675592043246,1384166.5833379452,-0.39735535761697316,-0.5115252616052202,-0.7521725325730886,B_deterministic,100000,-0.37817373355149403,-0.3687592733503862,False,REJECT
,,,,,,,,,,,,,,,,,,,,,,,,UNSAFE_EXECUTION,,,,,,,,,B_deterministic,1000000,,,False,REJECT
