asset_concentration,asset_dollar_pnl,asset_log_growth,cagr,calmar,cancelled_orders,candidate,candidate_id,capital_basis,capital_start,costs,ending_nav,entry_fill_ratio,fee,fee_usd,fill_count,fold_count,fold_returns,funding,funding_usd,initial_capital,label,liquidations,mdd,median_holding,partial_fills,positive_profit_asset_share,positive_profit_trade_share,profitable_folds,residual_positions,scope,sharpe,slippage,slippage_usd,stage,status,total_log_growth,trade_concentration,trades,turnover,turnover_usd,unfilled_quantity_by_asset,without_best_day,without_three_trades,worst_fold,year,reason
,{},{},0.0,0.0,0.0,,BTC_SMA200,chronological compounded NAV,100.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,{'2022': 0.0},0.0,0.0,100,BTC_SMA200,0.0,0.0,0.0,0.0,,,0.0,{},outer_oos,0.0,0.0,0.0,nominal,VALID,0.0,,0.0,0.0,0.0,{},0.0,0.0,0.0,2022,
1.0,{'BTCUSDT': 86.10886304967462},{'BTCUSDT': 0.6211616017258261},0.8618806049825767,3.8173704331080516,0.0,,BTC_SMA200,chronological compounded NAV,100.0,0.011996222952130669,186.10886304967488,0.9999999999999987,0.005998108478507787,0.7852033640954752,6.0,1.0,{'2023': 0.8610886304967467},0.0,0.0,100,BTC_SMA200,0.0,0.22577861386138653,72.83333333333333,0.0,1.0,0.6416204538857397,1.0,{},outer_oos,1.7152188824917864,0.005998114473622884,0.7852910434528905,nominal,VALID,0.62116160172583,0.6523294627857615,3.0,5.998108478507786,785.2033640954752,{'BTCUSDT': 1.6479873021779667e-17},0.6884989563667923,-0.010321009168892125,0.8610886304967467,2023,
1.0,{'BTCUSDT': 148.57909100719309},{'BTCUSDT': 0.5868668295864059},0.7961836750759357,2.683342146909133,0.0,,BTC_SMA200,chronological compounded NAV,186.10886304967488,0.023926892773375483,334.6879540568672,0.9999999999999999,0.011963440407952709,2.9179377141449243,12.0,1.0,{'2024': 0.7983450576855824},0.0,0.0,100,BTC_SMA200,0.0,0.2967134384979707,12.5,0.0,1.0,0.5707253853821814,1.0,{},outer_oos,1.4720240200542185,0.011963452365422777,2.9180921292656476,nominal,VALID,0.5868668295863984,0.6347397484219792,6.0,11.963440407952708,2917.937714144925,{'BTCUSDT': 1.734723475976807e-18},0.6287825879833606,-0.06357884471379378,0.7983450576855824,2024,
,{'BTCUSDT': -49.08265966914075},{'BTCUSDT': -0.1585878492345628},-0.14674469264374185,-0.4446684175482997,0.0,,BTC_SMA200,chronological compounded NAV,334.6879540568672,0.0359886688563919,285.60529438772636,1.0,0.01799432543552338,5.222766595492052,18.0,1.0,{'2025': -0.14665200547015433},0.0,0.0,100,BTC_SMA200,0.0,0.33000925375547385,3.0,0.0,1.0,1.0,0.0,{},outer_oos,-0.30708610597025304,0.017994343420868524,5.22272795832661,nominal,VALID,-0.1585878492345685,,9.0,17.994325435523383,5222.766595492052,{'BTCUSDT': 1.3010426069826053e-18},-0.2210625148535931,-0.25462032404021506,-0.14665200547015433,2025,
,{},{},0.0,0.0,0.0,,BTC_SMA200,chronological compounded NAV,100.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,{'2022': 0.0},0.0,0.0,100,BTC_SMA200,0.0,0.0,0.0,0.0,,,0.0,{},outer_oos,0.0,0.0,0.0,double,VALID,0.0,,0.0,0.0,0.0,{},0.0,0.0,0.0,2022,
1.0,{'BTCUSDT': 83.88889794337541},{'BTCUSDT': 0.6091615737257511},0.8396563864377229,3.718936758789817,0.0,,BTC_SMA200,chronological compounded NAV,100.0,0.02396850130561624,183.8888979433752,1.0,0.011984226708227384,1.560176898476006,6.0,1.0,{'2023': 0.8388889794337486},0.0,0.0,100,BTC_SMA200,0.0,0.22577861386138665,72.83333333333333,0.0,1.0,0.64343747611369,1.0,{},outer_oos,1.6853470728971398,0.011984274597388858,1.560524936875134,double,VALID,0.609161573725751,0.6586134482675329,3.0,5.992113354113691,780.088449238003,{'BTCUSDT': 8.673617379884035e-19},0.6683442967615361,-0.01427452807420815,0.8388889794337486,2023,
1.0,{'BTCUSDT': 138.9645611635425},{'BTCUSDT': 0.5628667735862557},0.7536746002481434,2.4288205816803305,0.0,,BTC_SMA200,chronological compounded NAV,183.8888979433752,0.04780602719426187,322.8534591069165,1.0,0.023902965838814183,5.694927329260685,12.0,1.0,{'2024': 0.7556984827128237},0.0,0.0,100,BTC_SMA200,0.0,0.3103047651740207,12.5,0.0,1.0,0.5751716916762266,1.0,{},outer_oos,1.4214589638481434,0.02390306135544769,5.695528749329693,double,VALID,0.5628667735862515,0.6546978996248212,6.0,11.951482919407093,2847.4636646303425,{'BTCUSDT': 8.673617379884035e-19},0.5902352824535622,-0.07472601863108004,0.7556984827128237,2024,
,{'BTCUSDT': -57.08895332044338},{'BTCUSDT': -0.19458793323478715},-0.17693591406355721,-0.5154334098272344,0.0,,BTC_SMA200,chronological compounded NAV,322.8534591069165,0.07190550391684852,265.76450578647086,1.0,0.03595268012468216,9.89739962611671,18.0,1.0,{'2025': -0.17682620926028322},0.0,0.0,100,BTC_SMA200,0.0,0.3432759900505159,3.0,0.0,1.0,1.0,0.0,{},outer_oos,-0.4147879643908387,0.03595282379216637,9.897250448903746,double,VALID,-0.19458793323479529,,9.0,17.97634006234108,4948.699813058355,{'BTCUSDT': 0.0},-0.2486241061891511,-0.2781107540276452,-0.17682620926028322,2025,
,{},{},0.0,0.0,0.0,,BTC_SMA200,chronological compounded NAV,100.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,{'2022': 0.0},0.0,0.0,100,BTC_SMA200,0.0,0.0,0.0,0.0,,,0.0,{},outer_oos,0.0,0.0,0.0,delayed,VALID,0.0,,0.0,0.0,0.0,{},0.0,0.0,0.0,2022,
1.0,{'BTCUSDT': 86.47774776520173},{'BTCUSDT': 0.6231417310452928},0.8655735520913272,3.8337269296140435,0.0,,BTC_SMA200,chronological compounded NAV,100.0,0.011996222952130623,186.4777477652013,1.0,0.005998108478507798,0.787838340523865,6.0,1.0,{'2023': 0.8647774776520072},0.0,0.0,100,BTC_SMA200,0.0,0.2257786138613863,72.83333333333333,0.0,1.0,0.6355814339806398,1.0,{},outer_oos,1.7201613282877937,0.005998114473622827,0.7879263940363127,delayed,VALID,0.6231417310452905,0.6461961093188072,3.0,5.998108478507798,787.838340523865,{'BTCUSDT': 0.0},0.6918480096424731,-0.010360012737811859,0.8647774776520072,2023,
