model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,candidate_asset,candidate_file,already_in_baseline,selected_days_in_baseline_pct,trigger_days,signal_days_pct,source,history_days,daily_rows,data_start,data_end,non_na_close_ratio,max_gap_days,median_gap_days,raw_rows,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,,C:\Users\benda\Desktop\market_regime_v1\outputs\phase63_btc_participation_overlay\phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3_paper.csv,True,,0,0.0,current_phase63_winner,,,,,,,,,,,,,
add_DOGE,2874,38689.57104275464,113.30144006585398,-33.45815502995445,1.620023110191789,2.1780978548359835,41.8580375782881,8.1419624217119,48.67780097425191,1.3221990257480862,845,1965.0360178505484,78.91409852152115,-33.45815502995444,1773.3346077471087,149.42796298337674,-28.456440894775536,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOGEUSDT_1d.csv,False,0.0,22,1.3221990257480862,phase64_add_one_prescan,2448.0,2448.0,2019-07-05,2026-03-17,100.0,1.0,1.0,2448.0,11.710417494366027,-2.842170943040401e-14,10.694452923856929,23.74943372807236,0.0
add_SOL,2874,23585.64949596237,100.34007595469419,-37.734147515128136,1.5059336903895488,1.9944129723680541,41.8580375782881,8.037578288100208,48.816979819067505,1.2874043145441894,841,1326.7196932946918,66.64400190827891,-37.734147515128114,1194.2744600577282,122.25695899578338,-35.96673030648434,149.9093451554409,113.89699075216568,-20.80923724935961,SOL,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\SOLUSDT_1d.csv,False,0.0,19,1.2874043145441894,phase64_add_one_prescan,2045.0,2045.0,2020-08-11,2026-03-17,100.0,1.0,1.0,2045.0,-1.2509466167937688,-4.275992485173717,-1.5756436893853163,-3.4215702595210047,0.0
add_LTC,2874,19140.859931199266,95.11775734548225,-44.856711841371265,1.4475689873667015,1.8158234832791047,41.78844815588031,8.1419624217119,49.373695198329855,0.6958942240779402,841,1058.9850548301922,60.12065538186005,-44.85671184137128,1085.0753877886007,116.22963570417149,-35.01059682312534,149.9093451554409,113.89699075216568,-20.80923724935961,LTC,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\LTCUSDT_1d.csv,False,0.0,10,0.6958942240779402,phase64_add_one_prescan,3017.0,3017.0,2017-12-13,2026-03-17,100.0,1.0,1.0,3017.0,-6.473265226005708,-11.398556811416846,-8.098990215804179,-9.448893551132898,0.0
add_ADA,2874,34847.57702213097,110.49267223735603,-33.875222600314146,1.5821142367701926,2.1275972356397554,41.8580375782881,8.176757132915796,49.16492693110647,0.8002783576896312,835,1202.7528834028085,63.75886483442515,-33.87522260031408,1081.8157362509676,116.04394713585803,-30.172777076227142,149.9093451554409,113.89699075216568,-20.80923724935961,ADA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ADAUSDT_1d.csv,False,0.0,12,0.8002783576896312,phase64_add_one_prescan,2892.0,2892.0,2018-04-17,2026-03-17,100.0,1.0,1.0,2892.0,8.901649665868078,-0.41706757035972686,-4.460780763239079,-9.63458211944635,0.0
add_DOT,2874,20946.114500818803,97.35427434508688,-33.81966896842199,1.4853711216495074,1.9544373762020204,41.8580375782881,8.350730688935283,49.40848990953375,0.3827418232428671,839,1167.7256762906873,62.903552579439406,-33.81966896842206,1050.0401746004002,114.21509276119308,-25.866176348777437,149.9093451554409,113.89699075216568,-20.80923724935961,DOT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOTUSDT_1d.csv,False,0.0,5,0.3827418232428671,phase64_add_one_prescan,2038.0,2038.0,2020-08-18,2026-03-17,100.0,1.0,1.0,2038.0,-4.236748226401076,-0.3615139384675743,-5.316093018224819,-11.463436494111306,0.0
add_TRX,2874,17028.086450610233,92.25466252937889,-41.49539489445353,1.4301358097401107,1.8513541005741159,41.544885177453025,8.24634655532359,46.972860125260965,3.2359081419624216,831,943.2905566277428,56.91773437679461,-41.49539489445356,1023.4094442557131,112.65537823252578,-27.12846256869732,125.58395650310375,96.46534830139488,-20.80923724935961,TRX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\TRXUSDT_1d.csv,False,0.0,52,3.2359081419624216,phase64_add_one_prescan,2837.0,2837.0,2018-06-11,2026-03-17,100.0,1.0,1.0,2837.0,-9.336360042109064,-8.037239864499114,-11.301911220869613,-13.023151022778606,-17.431642450770795
add_LINK,2874,18314.698092708113,94.03251827976837,-43.92421274083828,1.436039338488665,1.8759917799228967,41.8580375782881,8.037578288100208,48.95615866388309,1.1482254697286012,840,1083.809705757183,60.773989198536626,-43.924212740838264,973.914290894634,109.68758568827135,-35.76251929151887,149.9093451554409,113.89699075216568,-20.80923724935961,LINK,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\LINKUSDT_1d.csv,False,0.0,15,1.1482254697286012,phase64_add_one_prescan,2618.0,2618.0,2019-01-16,2026-03-17,100.0,1.0,1.0,2618.0,-7.558504291719586,-10.46605771088386,-7.4456563991276,-15.990943567033028,0.0
add_BNB,2874,8966.583380396647,77.32377924067863,-50.54859545105002,1.2763601994966929,1.5401111845139346,41.684064022268615,8.1419624217119,48.50382741823243,1.6701461377870561,825,651.2562424315881,47.32287117879179,-50.548595451049984,893.4770713734764,104.65689989576123,-27.94102354499559,121.48436621681955,93.4968934502,-21.49335922523752,BNB,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\BNBUSDT_1d.csv,False,0.0,21,1.6701461377870561,phase64_add_one_prescan,3054.0,3054.0,2017-11-06,2026-03-17,100.0,1.0,1.0,3054.0,-24.267243330809322,-17.0904404210956,-20.896774418872432,-21.021629359543155,-20.400097301965673
add_XRP,2874,16005.333513311882,90.75620237106385,-41.49223752442764,1.4138823899818194,1.8406148821919992,41.75365344467641,8.350730688935283,48.643006263048015,1.2526096033402923,846,870.1146888303786,54.74048764246597,-41.492237524427665,848.8655576348787,101.74498210316459,-41.49223752442764,149.9093451554409,113.89699075216568,-20.80923724935961,XRP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\XRPUSDT_1d.csv,False,0.0,25,1.2526096033402923,phase64_add_one_prescan,2875.0,2875.0,2018-05-04,2026-03-17,100.0,1.0,1.0,2875.0,-10.834820200424105,-8.034082494473218,-13.479157955198254,-23.933547152139795,0.0
add_AVAX,2874,15810.39085068627,90.46120032997477,-43.100890090940446,1.4127392098850615,1.8248463376532424,41.78844815588031,8.24634655532359,49.199721642310365,0.7654836464857342,839,858.3721974168062,54.37884219583151,-43.10089009094051,844.2083564985533,101.43560287280829,-36.45123413673153,149.9093451554409,113.89699075216568,-20.80923724935961,AVAX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\AVAXUSDT_1d.csv,False,0.0,13,0.7654836464857342,phase64_add_one_prescan,2003.0,2003.0,2020-09-22,2026-03-17,100.0,1.0,1.0,2003.0,-11.129822241513182,-9.642735060986027,-13.840803401832716,-24.242926382496094,0.0
add_ETH,2874,16362.341903272858,91.28846549764664,-39.61908059516082,1.4075039570897434,1.7663270012419992,41.8580375782881,7.620041753653445,48.12108559498956,2.4008350730688934,829,1127.5367980985588,61.89835254573928,-32.18065614743909,761.0234744461915,95.72361699648452,-31.747014955959706,116.18447914280279,89.64543457539469,-20.80923724935961,ETH,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ETHUSDT_1d.csv,False,0.0,34,2.4008350730688934,phase64_add_one_prescan,3135.0,3135.0,2017-08-17,2026-03-17,100.0,1.0,1.0,3135.0,-10.302557073841314,-6.160925565206398,-6.321293051924947,-29.95491225881986,-24.25155617677099
