model,label,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret,recent_total_return_pct,recent_cagr_pct,recent_max_drawdown_pct,recent_trade_count,recent_cash_days_pct
phase54_phase42_bnb_trend_strict,Phase42 + BNB trend strict,17869.05,93.47,-36.25,1.456,1.864,194,69.66,87.96,69.04,49.4687,100.08,78.07,-22.56,32,64.77
phase54_phase42_bnb_trend_base,Phase42 + BNB trend base,16920.34,92.14,-36.25,1.444,1.881,196,69.62,87.97,69.3,49.5274,100.08,78.07,-22.56,32,64.77
phase54_phase42_bnb_trend_gap,Phase42 + BNB trend+gap,15356.11,89.8,-36.25,1.422,1.852,196,69.62,88.09,69.42,49.6272,100.08,78.07,-22.56,32,64.77
phase54_phase42_core,Phase42 core,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,120.5,93.07,-19.53,30,64.77
