model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,delta_vs_phase66g_core_cagr_pct,delta_vs_phase66g_core_max_drawdown_pct,delta_vs_phase66g_core_since2021_cagr_pct,delta_vs_phase66g_core_since2023_cagr_pct,delta_vs_phase66g_core_since2025_cagr_pct,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,shortlist_size,selection_count,switch_count,unique_selected_assets,asset_suspensions_total
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,,,,,,,,,,,,,,,
phase66g_production_soft_filters,2874,39296.19127427025,113.72250927352745,-23.60003299555692,1.6083883573961415,2.1563792516361047,41.8580375782881,8.350730688935283,48.8517745302714,0.9394572025052191,839,1982.7255932256917,79.20755577328671,-23.600032995556873,1478.7131211978665,136.46465018842818,-23.600032995556862,149.9093451554409,113.89699075216568,-20.80923724935961,,,,,,,,,,,,,,,
phase67d_weekly_challenger_base,2874,128664.38843009414,148.43726408286852,-25.850564409316735,1.6856064311038508,2.409984832376676,41.8580375782881,7.237299930410577,47.73834377174669,3.1663187195546274,842,4388.492543058671,107.69570579359717,-25.850564409316767,3024.5948994122564,192.58053951947093,-25.85056440931679,146.0654291281522,111.16232598901465,-21.665679110011926,34.71475480934107,-2.2505314137598162,28.488150020310457,56.11588933104275,-2.734664763151031,46.84624151138057,7.6075906206376835,39.476060195932945,66.90201026416655,-2.734664763151031,7.0,274.0,21.0,5.0,280.0
phase67d_weekly_challenger_strict,2874,33227.89681825909,109.22703993408564,-27.46155676724498,1.5644653523505687,2.096872812078778,41.8580375782881,8.24634655532359,48.364648573416844,1.5309672929714684,837,1778.3260780777211,75.68589824106309,-27.46155676724511,1323.7775898056532,128.96730956361048,-26.597569857082338,149.9093451554409,113.89699075216568,-20.80923724935961,-4.4954693394418115,-3.8615237716880593,-3.521657532223628,-7.497340624817696,0.0,7.636017362597684,5.9965982627094405,7.46625264339886,3.2887803083061016,0.0,7.0,44.0,13.0,3.0,204.0
