date,live_strategy_index,live_strategy_exposure_x,live_strategy_return_net,live_strategy_vs_btc_return,live_strategy_source,strategy_execution_index,model_index,btc_index,strategy_execution_exposure_x,strategy_execution_return_net,strategy_execution_vs_btc_return,strategy_execution_source,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day,real_account_index,real_account_exposure_x,real_account_return_net,real_account_vs_btc_return,real_account_source,chart_scope
2018-05-28,1.0,0.0,0.0,0.032700685,pre_live,1.0,1.0,0.7196877534,0.0,0.0,0.032700685,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.032700685,real_account_flat_no_history,real_account_flat_no_history
2018-05-29,1.0,0.0,0.0,-0.0510339484,pre_live,1.0,1.0,0.7564162612,0.0,0.0,-0.0510339484,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0510339484,real_account_flat_no_history,real_account_flat_no_history
2018-05-30,1.0,0.0,0.0,0.0114363602,pre_live,1.0,1.0,0.7477656123,0.0,0.0,0.0114363602,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0114363602,real_account_flat_no_history,real_account_flat_no_history
2018-05-31,1.0,0.0,0.0,-0.0147845162,pre_live,1.0,1.0,0.7588209651,0.0,0.0,-0.0147845162,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0147845162,real_account_flat_no_history,real_account_flat_no_history
2018-06-01,1.0,0.0,0.0,-0.0048096128,pre_live,1.0,1.0,0.7624706002,0.0,0.0,-0.0048096128,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0048096128,real_account_flat_no_history,real_account_flat_no_history
2018-06-02,1.0,0.0,0.0,-0.0158250022,pre_live,1.0,1.0,0.7745366991,0.0,0.0,-0.0158250022,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0158250022,real_account_flat_no_history,real_account_flat_no_history
2018-06-03,1.0,0.0,0.0,-0.0097159304,pre_live,1.0,1.0,0.7820620438,0.0,0.0,-0.0097159304,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0097159304,real_account_flat_no_history,real_account_flat_no_history
2018-06-04,1.0,0.0,0.0,0.0294597278,pre_live,1.0,1.0,0.7590227088,0.0,0.0,0.0294597278,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0294597278,real_account_flat_no_history,real_account_flat_no_history
2018-06-05,1.0,0.0,0.0,-0.0184319487,pre_live,1.0,1.0,0.7730129765,0.0,0.0,-0.0184319487,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0184319487,real_account_flat_no_history,real_account_flat_no_history
2018-06-06,1.0,0.0,0.0,-0.0044380328,pre_live,1.0,1.0,0.7764436334,0.0,0.0,-0.0044380328,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0044380328,real_account_flat_no_history,real_account_flat_no_history
2018-06-07,1.0,0.0,0.0,-0.0042095148,pre_live,1.0,1.0,0.7797120843,0.0,0.0,-0.0042095148,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0042095148,real_account_flat_no_history,real_account_flat_no_history
2018-06-08,1.0,0.0,0.0,0.0113950186,pre_live,1.0,1.0,0.7708272506,0.0,0.0,0.0113950186,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0113950186,real_account_flat_no_history,real_account_flat_no_history
2018-06-09,1.0,0.0,0.0,0.0146920341,pre_live,1.0,1.0,0.7595022303,0.0,0.0,0.0146920341,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0146920341,real_account_flat_no_history,real_account_flat_no_history
2018-06-10,1.0,0.0,0.0,0.0970056315,pre_live,1.0,1.0,0.6858262368,0.0,0.0,0.0970056315,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0970056315,real_account_flat_no_history,real_account_flat_no_history
2018-06-11,1.0,0.0,0.0,-0.0158182052,pre_live,1.0,1.0,0.696674777,0.0,0.0,-0.0158182052,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0158182052,real_account_flat_no_history,real_account_flat_no_history
2018-06-12,1.0,0.0,0.0,0.0497671711,pre_live,1.0,1.0,0.6620032441,0.0,0.0,0.0497671711,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0497671711,real_account_flat_no_history,real_account_flat_no_history
2018-06-13,1.0,0.0,0.0,0.0363277182,pre_live,1.0,1.0,0.6379541768,0.0,0.0,0.0363277182,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0363277182,real_account_flat_no_history,real_account_flat_no_history
2018-06-14,1.0,0.0,0.0,-0.0545386936,pre_live,1.0,1.0,0.6727473642,0.0,0.0,-0.0545386936,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0545386936,real_account_flat_no_history,real_account_flat_no_history
2018-06-15,1.0,0.0,0.0,0.0372333853,pre_live,1.0,1.0,0.6476987024,0.0,0.0,0.0372333853,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0372333853,real_account_flat_no_history,real_account_flat_no_history
2018-06-16,1.0,0.0,0.0,-0.0148820611,pre_live,1.0,1.0,0.657337794,0.0,0.0,-0.0148820611,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0148820611,real_account_flat_no_history,real_account_flat_no_history
2018-06-17,1.0,0.0,0.0,0.0053007566,pre_live,1.0,1.0,0.6538534063,0.0,0.0,0.0053007566,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0053007566,real_account_flat_no_history,real_account_flat_no_history
2018-06-18,1.0,0.0,0.0,-0.0407544022,pre_live,1.0,1.0,0.680500811,0.0,0.0,-0.0407544022,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0407544022,real_account_flat_no_history,real_account_flat_no_history
2018-06-19,1.0,0.0,0.0,-0.0042830795,pre_live,1.0,1.0,0.6834154501,0.0,0.0,-0.0042830795,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0042830795,real_account_flat_no_history,real_account_flat_no_history
