model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,doge_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,signal_days_pct,trigger_days,passes_2025_guardrail,source,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,score_lb,doge_fast_ma,doge_slow_ma,doge_min_score,doge_edge_vs_base,rel_btc_lb,rel_btc_min_edge,doge_risk_ma,doge_risk_buffer,doge_vol_lb,doge_vol_cap,cooldown_days,doge_data_start,doge_data_end,btc_data_start,btc_data_end
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,,0.0,0,True,current_phase63_winner,,,,,,,,,,,,,,,,,,,,,
phase65c_fast_d,2874,20946.84247630927,97.35514188261402,-33.45815502995442,1.4793915948292655,1.9485276488155974,41.8580375782881,8.455114822546973,48.7473903966597,0.9394572025052191,830,1167.7695263429603,62.904635202875546,-33.45815502995444,1050.0799539649086,114.21740388417656,-31.443127619540768,117.84566622874225,90.85433703120185,-20.80923724935961,DOGE,0.9394572025052191,17,False,phase65c_fast_exact_doge_relbtc_guardrail,-4.235880688873934,0.0,-5.315010394788679,-11.461125371127821,-23.042653720963827,45.0,30.0,150.0,0.2,0.06,45.0,0.06,200.0,0.0,20.0,0.035,3.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_l,2874,20915.495361786467,97.31776139058015,-33.45815502995442,1.4789893522779836,1.9559457158601485,41.8580375782881,8.455114822546973,48.57341684064022,1.1134307585247043,832,1165.8813135825185,62.85798928925872,-33.45815502995444,1048.3670277590913,114.11783552026287,-27.99099998268507,109.76207291077262,84.95664619767211,-20.80923724935961,DOGE,1.1134307585247043,17,False,phase65c_fast_exact_doge_relbtc_guardrail,-4.273261180907809,0.0,-5.361656308405507,-11.56069373504151,-28.940344554493564,30.0,20.0,100.0,0.16,0.06,45.0,0.1,150.0,-0.03,20.0,0.035,3.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_e,2874,17166.848998849844,92.45191077714057,-42.64946153306411,1.4299812986923908,1.8709684272777793,41.8580375782881,8.455114822546973,48.46903270702853,1.2178148921363952,825,940.079289867233,56.82481808390916,-42.649461533064134,843.526656032563,101.39022927475882,-41.021565590643995,109.76207291077262,84.95664619767211,-20.80923724935961,DOGE,1.2178148921363952,15,False,phase65c_fast_exact_doge_relbtc_guardrail,-9.139111794347386,-9.191306503109693,-11.394827513755068,-24.28829998054556,-28.940344554493564,45.0,30.0,150.0,0.2,0.09,45.0,0.06,200.0,0.0,20.0,0.035,5.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_h,2874,16119.241227696773,90.92713648679269,-42.64946153306411,1.4155050740966681,1.8535616723238157,41.8580375782881,8.455114822546973,48.53862212943633,1.1482254697286012,828,876.9759902001748,54.95016824621468,-42.649461533064134,786.281361467489,97.49668301369438,-41.021565590643995,109.76207291077262,84.95664619767211,-20.80923724935961,DOGE,1.1482254697286012,12,False,phase65c_fast_exact_doge_relbtc_guardrail,-10.663886084695264,-9.191306503109693,-13.269477351449545,-28.181846241610003,-28.940344554493564,45.0,30.0,150.0,0.16,0.06,60.0,0.1,200.0,0.0,20.0,0.035,5.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_k,2874,15706.028849007887,90.30197279035661,-42.64946153306411,1.4093051250022843,1.8470430998616072,41.8580375782881,8.455114822546973,48.43423799582464,1.2526096033402923,826,852.0858879342837,54.18376291137905,-42.649461533064134,763.7018570123615,95.91331814285992,-41.021565590643995,109.76207291077262,84.95664619767211,-20.80923724935961,DOGE,1.2526096033402923,14,False,phase65c_fast_exact_doge_relbtc_guardrail,-11.28904978113134,-9.191306503109693,-14.035882686285177,-29.76521111244446,-28.940344554493564,45.0,20.0,100.0,0.2,0.09,60.0,0.1,200.0,0.0,20.0,0.035,5.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_i,2874,29653.487183615893,106.23206782771781,-33.45815502995442,1.5455514294205581,2.0338583052267962,41.8580375782881,8.38552540013918,48.12108559498956,1.6353514265831592,825,1630.495664156163,72.9405281904563,-33.45815502995444,1469.850301978936,136.0497831904132,-26.345351375352944,100.55661852732021,78.1931700414668,-21.665679110011926,DOGE,1.6353514265831592,33,False,phase65c_fast_exact_doge_relbtc_guardrail,4.641045256229859,0.0,4.72088259279208,10.371253935108811,-35.70382071069888,20.0,20.0,100.0,0.16,0.03,30.0,0.06,150.0,-0.03,30.0,0.045,3.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_g,2874,20729.496682818677,97.09495709688008,-33.45815502995442,1.4763225848490775,1.9240068234436516,41.8580375782881,8.455114822546973,48.67780097425191,1.0090466249130132,829,1154.6775685361602,62.58005281058829,-33.45815502995444,1038.203348699603,113.52493283965308,-25.866176348777348,100.3898367509838,78.07015141174467,-20.80923724935961,DOGE,1.0090466249130132,18,False,phase65c_fast_exact_doge_relbtc_guardrail,-4.4960654746078745,0.0,-5.639592787075934,-12.153596415651307,-35.826839340421,30.0,20.0,100.0,0.12,0.06,60.0,0.1,150.0,-0.03,20.0,0.045,3.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_f,2874,17102.11038110875,92.36005895295558,-33.45815502995442,1.4286975251890615,1.853010564631686,41.8580375782881,8.455114822546973,48.50382741823243,1.1830201809324983,829,936.1797193334553,56.711673975439616,-33.45815502995444,839.9890904050724,101.15440794393176,-26.93109289832706,89.87399646237837,70.27778875851631,-21.665679110011958,DOGE,1.1830201809324983,19,False,phase65c_fast_exact_doge_relbtc_guardrail,-9.230963618532371,0.0,-11.50797162222461,-24.524121311372625,-43.61920199364937,30.0,20.0,100.0,0.16,0.09,60.0,0.06,150.0,-0.03,20.0,0.045,3.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_j,2874,18394.451110407637,94.13911430489364,-33.45815502995442,1.448056090971184,1.9029386364680676,41.8580375782881,8.455114822546973,48.67780097425191,1.0090466249130132,826,1014.0246595472247,58.9080450915078,-33.45815502995444,910.6075296380346,105.75113757549079,-25.866176348777348,86.4903822476553,67.75504926640252,-24.594669052747797,DOGE,1.0090466249130132,11,False,phase65c_fast_exact_doge_relbtc_guardrail,-7.451908266594316,0.0,-9.311600506156424,-19.927391679813596,-46.141941485763155,30.0,30.0,150.0,0.16,0.06,30.0,0.1,200.0,0.0,20.0,0.035,5.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_a,2874,16499.259706947025,91.48992573990866,-33.458155029954426,1.4136778747662768,1.8455158635324382,41.8580375782881,8.24634655532359,47.529575504523315,2.3660403618649966,818,971.5610736156543,57.72591016087658,-33.45815502995444,872.0859230379441,103.27212066004896,-27.726106481696476,83.28867156011441,65.3607636838412,-24.731522851256127,DOGE,2.3660403618649966,38,False,phase65c_fast_exact_doge_relbtc_guardrail,-10.101096831579298,-7.105427357601002e-15,-10.493735436787645,-22.406408595255428,-48.53622706832448,30.0,20.0,100.0,0.16,0.06,30.0,0.03,150.0,-0.03,20.0,0.045,3.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_b,2874,16091.365571548007,90.8854023255639,-33.458155029954426,1.4081955553470624,1.8372250601858096,41.8580375782881,8.350730688935283,47.6687543493389,2.1224773834377175,821,945.229569357859,56.973726859605755,-33.45815502995444,848.1988248111965,101.70075502562975,-27.726106481696476,83.28867156011441,65.3607636838412,-24.731522851256127,DOGE,2.1224773834377175,35,False,phase65c_fast_exact_doge_relbtc_guardrail,-10.705620245924052,-7.105427357601002e-15,-11.24591873805847,-23.977774229674637,-48.53622706832448,30.0,20.0,100.0,0.16,0.06,45.0,0.03,150.0,-0.03,20.0,0.045,3.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
phase65c_fast_c,2874,15354.6658794536,89.7590573918376,-33.458155029954405,1.397753863067294,1.8228026313645236,41.8580375782881,8.350730688935283,47.7035490605428,2.0876826722338206,821,945.229569357859,56.973726859605755,-33.45815502995444,848.1988248111965,101.70075502562975,-27.726106481696476,83.28867156011441,65.3607636838412,-24.731522851256127,DOGE,2.0876826722338206,33,False,phase65c_fast_exact_doge_relbtc_guardrail,-11.831965179650354,1.4210854715202004e-14,-11.24591873805847,-23.977774229674637,-48.53622706832448,30.0,20.0,100.0,0.16,0.06,45.0,0.06,150.0,-0.03,20.0,0.045,3.0,2019-07-05,2026-03-17,2017-08-17,2026-03-17
