model,paper_file,error,rows,start_date,end_date,lag1_total_return_pct,lag1_cagr_pct,lag1_max_drawdown_pct,lag1_sharpe,lag1_sortino,lag1_cash_days_pct,lag1_btc_days_pct,lag1_base_days_pct,lag1_since2021_cagr_pct,lag1_since2023_cagr_pct,lag1_since2025_cagr_pct,lag_penalty_cagr_pct,lag_penalty_since2023_cagr_pct,lag_penalty_since2025_cagr_pct,max_abs_strategy_return_pct,max_abs_base_return_pct,max_abs_btc_return_pct,missing_strategy_return,missing_base_return,missing_btc_return,switch_days,avg_same_day_return_on_switch_pct,avg_next_day_return_after_switch_pct,same_day_cagr_pct,same_day_max_drawdown_pct,same_day_since2021_cagr_pct,same_day_since2023_cagr_pct,same_day_since2025_cagr_pct,same_day_cash_days_pct,same_day_btc_days_pct,same_day_base_days_pct,same_day_sharpe,same_day_sortino,same_day_total_return_pct,same_day_trade_count,median_same_day_return_on_switch_pct,median_next_day_return_after_switch_pct,delta_vs_phase42_core_same_day_cagr_pct,delta_vs_phase42_core_lag1_cagr_pct,delta_vs_phase42_core_same_day_since2023_cagr_pct,delta_vs_phase42_core_lag1_since2023_cagr_pct,delta_vs_phase42_core_same_day_since2025_cagr_pct,delta_vs_phase42_core_lag1_since2025_cagr_pct,delta_vs_phase61_same_day_cagr_pct,delta_vs_phase61_lag1_cagr_pct,delta_vs_phase61_same_day_since2023_cagr_pct,delta_vs_phase61_lag1_since2023_cagr_pct,delta_vs_phase61_same_day_since2025_cagr_pct,delta_vs_phase61_lag1_since2025_cagr_pct
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,C:\Users\benda\Desktop\market_regime_v1\outputs\phase63_btc_participation_overlay\phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3_paper.csv,,2874,2018-05-04,2026-03-16,20623.19443653859,96.96683854801907,-33.80291758466871,1.4913318206087676,1.9489206941324135,41.8580375782881,8.455114822546973,49.68684759916493,65.40443985406526,118.05067790869259,118.6737689079954,-4.6241840234683735,-7.6278513466108535,4.7767781558302005,96.10859728506787,96.10859728506787,39.50484717412017,0,0,0,111,0.2872962643986251,0.3477951646442579,101.59102257148744,-33.45815502995456,68.21964559766369,125.67852925530345,113.8969907521652,41.8580375782881,8.455114822546973,49.68684759916493,1.525751300213114,2.012554224312255,24774.643308327173,844,0.0,0.0,,,,,,,,,,,,
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v20_045_wb30_wt+02_cd3,C:\Users\benda\Desktop\market_regime_v1\outputs\phase63_btc_participation_overlay\phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v20_045_wb30_wt+02_cd3_paper.csv,,2874,2018-05-04,2026-03-16,20858.683427588763,97.2498906533723,-33.8029175846687,1.495283634058683,1.954680808677132,42.34516353514266,8.107167710508003,49.54766875434934,67.17041098578625,118.05067790869259,118.6737689079954,0.0839086511961824,-7.6278513466108535,4.776778155830229,96.10859728506787,96.10859728506787,39.50484717412017,0,0,0,121,0.10670008078924097,0.30269373592957655,97.16598200217612,-39.323683560058576,65.36287439504274,125.67852925530345,113.89699075216517,42.34516353514266,8.107167710508003,49.54766875434934,1.485096560456569,1.962841986153478,20788.63214360098,859,0.0,0.0,,,,,,,,,,,,
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v20_060_wb30_wt+02_cd3,C:\Users\benda\Desktop\market_regime_v1\outputs\phase63_btc_participation_overlay\phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v20_060_wb30_wt+02_cd3_paper.csv,,2874,2018-05-04,2026-03-16,23536.49186676018,100.28718630938486,-33.8029175846687,1.5140743265058254,1.9837149133752672,38.72651356993737,9.359777313848296,51.913709116214335,69.86867838295635,118.05067790869259,118.6737689079954,-3.7232437815049337,-7.627851346610811,4.7767781558304705,96.10859728506787,96.10859728506787,39.50484717412017,0,0,0,113,0.26056848551068884,0.4337116774558245,104.0104300908898,-33.458155029954526,72.51626492015,125.6785292553034,113.89699075216492,38.72651356993737,9.359777313848296,51.913709116214335,1.5385690968699333,2.0345609359604224,27222.81464394623,853,0.0,0.0,,,,,,,,,,,,
phase61_restore_trx_sol_base,C:\Users\benda\Desktop\market_regime_v1\outputs\phase63_btc_participation_overlay\phase61_restore_trx_sol_base_paper.csv,,2874,2018-05-04,2026-03-16,20083.677554896145,96.30761495753974,-36.247514150527806,1.483165829469364,1.9306646986042584,0.03479471120389701,0.0,99.9652052887961,59.57913902407521,89.87395234742462,92.6201598490341,4.547473508864641e-13,4.973799150320701e-13,5.542233338928781e-13,96.10859728506787,96.10859728506787,39.50484717412017,0,0,0,1,0.0,0.0,96.30761495753929,-36.247514150527984,59.57913902407479,89.87395234742412,92.62015984903354,0.0,0.0,100.0,1.483165829469364,1.9306646986042597,20083.677554895763,880,0.0,0.0,,,,,,,,,,,,
