model,label,start_date,end_date,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,btc_days_pct,base_days_pct,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,btc_fast_ma,btc_slow_ma,btc_ret_lb_days,btc_ret_min,btc_risk_ma,btc_risk_buffer,btc_vol_lb,btc_vol_cap,weak_base_lb,weak_base_threshold,cooldown_days,source
phase63_btcpref_f30_s200_r60_m12_rm200_rb+00_v30_060_wb20_wt+02_cd3,phase63_btcpref_f30_s200_r60_m12_rm200_rb+00_v30_060_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,18313.334238161307,94.03069188155729,-34.58757506136203,1.4296240769259017,1.9154272095846205,793,38.30897703549061,13.50034794711204,48.19067501739735,2000.6745120085654,79.50326443153659,-34.58757506136203,790.5920877229617,97.79580380792719,-34.58757506136203,122.21056017060312,94.0233957594436,-23.888058563352132,30.0,200.0,60.0,0.12,200.0,0.0,30.0,0.06,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f30_s200_r60_m12_rm200_rb+00_v20_060_wb20_wt+02_cd3,phase63_btcpref_f30_s200_r60_m12_rm200_rb+00_v20_060_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,18976.118570470127,94.90464576937272,-34.587575061362074,1.4380136533242904,1.9250214167001525,793,38.62212943632568,13.465553235908143,47.91231732776618,2076.287876531882,80.72702102375287,-34.587575061362074,790.592087722961,97.79580380792714,-34.587575061362074,122.21056017060299,94.0233957594435,-23.888058563352153,30.0,200.0,60.0,0.12,200.0,0.0,20.0,0.06,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f30_s200_r60_m12_rm200_rb+00_v30_045_wb20_wt+02_cd3,phase63_btcpref_f30_s200_r60_m12_rm200_rb+00_v30_045_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,11716.355526351283,83.39484822598375,-34.58757506136209,1.3480433279013873,1.7673405922853938,792,41.823242867084204,11.691022964509393,46.4857341684064,1235.2566013886405,64.536095952651,-34.58757506136209,790.5920877229609,97.79580380792711,-34.58757506136209,122.21056017060307,94.02339575944356,-23.888058563352168,30.0,200.0,60.0,0.12,200.0,0.0,30.0,0.045,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f30_s200_r60_m08_rm150_rb+00_v20_060_wb20_wt+02_cd3,phase63_btcpref_f30_s200_r60_m08_rm150_rb+00_v20_060_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,22002.395774304743,98.58633661745253,-34.84840799566745,1.4703304451755415,1.9890995896472548,780,41.718858733472516,14.683368128044538,43.59777313848295,1961.3757152358162,78.8531233264429,-34.84840799566745,789.6009316480322,97.727115949099,-34.50089998015301,91.76725212407666,71.68601603647289,-23.8880585633521,30.0,200.0,60.0,0.08,150.0,0.0,20.0,0.06,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f30_s200_r60_m08_rm150_rb+00_v30_045_wb20_wt+02_cd3,phase63_btcpref_f30_s200_r60_m08_rm150_rb+00_v30_045_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,13590.928030694891,86.85912241828568,-34.84840799566744,1.381248962312402,1.831450041298965,779,44.85038274182324,12.90883785664579,42.240779401530965,1164.75249960826,62.83007651193031,-34.84840799566744,789.6009316480313,97.72711594909893,-34.50089998015303,91.76725212407686,71.68601603647305,-23.88805856335211,30.0,200.0,60.0,0.08,150.0,0.0,30.0,0.045,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f30_s200_r60_m08_rm150_rb+00_v20_045_wb20_wt+02_cd3,phase63_btcpref_f30_s200_r60_m08_rm150_rb+00_v20_045_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,11546.547871082483,83.0577904995379,-34.84840799566745,1.340558976190121,1.784402980277051,790,45.3027139874739,13.013221990257481,41.684064022268615,1089.7881704538484,60.92967446824271,-34.84840799566745,789.6009316480299,97.72711594909885,-34.50089998015303,91.76725212407646,71.68601603647275,-23.88805856335222,30.0,200.0,60.0,0.08,150.0,0.0,20.0,0.045,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f30_s200_r60_m08_rm150_rb+00_v30_060_wb20_wt+02_cd3,phase63_btcpref_f30_s200_r60_m08_rm150_rb+00_v30_060_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,21234.46588481575,97.69587400036724,-34.84840799566745,1.4619447739674356,1.9793675733719045,780,41.405706332637436,14.718162839248434,43.87613082811413,1889.7548809443292,77.64205545474663,-34.84840799566745,789.6009316480292,97.7271159490988,-34.50089998015295,91.76725212407639,71.6860160364727,-23.888058563352168,30.0,200.0,60.0,0.08,150.0,0.0,30.0,0.06,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f50_s200_r60_m04_rm200_rb-03_v20_060_wb20_wt+02_cd3,phase63_btcpref_f50_s200_r60_m04_rm200_rb-03_v20_060_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,13869.879515940172,87.33872670525034,-33.712400230326736,1.3659904474419138,1.8176389205383785,732,35.177453027139876,16.318719554627698,48.50382741823243,1959.9922026431304,78.83005328537203,-33.712400230326736,789.48992139696,97.7194195768815,-30.628163295419775,76.47426038545349,60.24097154051151,-29.20166040411658,50.0,200.0,60.0,0.04,200.0,-0.03,20.0,0.06,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f50_s200_r60_m04_rm200_rb-03_v20_045_wb20_wt+02_cd3,phase63_btcpref_f50_s200_r60_m04_rm200_rb-03_v20_045_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,7782.549074689959,74.19792342491596,-33.7124002303267,1.2514072352336991,1.6360303377092715,738,39.38761308281141,14.439805149617257,46.17258176757133,1113.3971534853713,61.53836740375815,-33.7124002303267,789.4899213969596,97.71941957688148,-30.628163295419796,76.4742603854533,60.24097154051138,-29.201660404116602,50.0,200.0,60.0,0.04,200.0,-0.03,20.0,0.045,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f50_s200_r60_m04_rm200_rb-03_v30_060_wb20_wt+02_cd3,phase63_btcpref_f50_s200_r60_m04_rm200_rb-03_v30_060_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,12410.907080262356,84.73091157050847,-33.712400230326764,1.337108451689434,1.7486797762945203,733,34.864300626304804,16.423103688239387,48.71259568545581,1888.4194373792432,77.61914162780852,-33.712400230326764,789.4899213969593,97.71941957688146,-30.628163295419807,76.47426038545338,60.240971540511445,-29.201660404116623,50.0,200.0,60.0,0.04,200.0,-0.03,30.0,0.06,20.0,0.02,3.0,phase63_overlay
phase63_btcpref_f50_s200_r60_m04_rm200_rb-03_v30_045_wb20_wt+02_cd3,phase63_btcpref_f50_s200_r60_m04_rm200_rb-03_v30_045_wb20_wt+02_cd3,2018-05-04,2026-03-16,2874,8405.846319493574,75.89088307637135,-33.71240023032672,1.2744948131905027,1.6631819101306489,731,38.3785664578984,14.09185803757829,47.529575504523315,1074.0607564901452,60.51874888510618,-33.71240023032672,789.4899213969574,97.71941957688131,-30.628163295419817,76.47426038545342,60.24097154051147,-29.201660404116602,50.0,200.0,60.0,0.04,200.0,-0.03,30.0,0.045,20.0,0.02,3.0,phase63_overlay
