model,asset,file,raw_rows,daily_rows,start_date,end_date,history_days,non_na_close_ratio,max_gap_days
phase66i_core_permission_A,ADA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ADAUSDT_1d.csv,2892,2892,2018-04-17,2026-03-17,2892,100.0,1
phase66i_core_permission_A,AVAX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\AVAXUSDT_1d.csv,2003,2003,2020-09-22,2026-03-17,2003,100.0,1
phase66i_core_permission_A,BNB,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\BNBUSDT_1d.csv,3054,3054,2017-11-06,2026-03-17,3054,100.0,1
phase66i_core_permission_A,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOGEUSDT_1d.csv,2448,2448,2019-07-05,2026-03-17,2448,100.0,1
phase66i_core_permission_A,DOT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOTUSDT_1d.csv,2038,2038,2020-08-18,2026-03-17,2038,100.0,1
phase66i_core_permission_A,ETH,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ETHUSDT_1d.csv,3135,3135,2017-08-17,2026-03-17,3135,100.0,1
phase66i_core_permission_A,LINK,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\LINKUSDT_1d.csv,2618,2618,2019-01-16,2026-03-17,2618,100.0,1
phase66i_core_permission_A,TRX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\TRXUSDT_1d.csv,2837,2837,2018-06-11,2026-03-17,2837,100.0,1
phase66i_core_permission_A,XRP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\XRPUSDT_1d.csv,2875,2875,2018-05-04,2026-03-17,2875,100.0,1
phase66i_core_permission_B,ADA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ADAUSDT_1d.csv,2892,2892,2018-04-17,2026-03-17,2892,100.0,1
phase66i_core_permission_B,AVAX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\AVAXUSDT_1d.csv,2003,2003,2020-09-22,2026-03-17,2003,100.0,1
phase66i_core_permission_B,BNB,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\BNBUSDT_1d.csv,3054,3054,2017-11-06,2026-03-17,3054,100.0,1
phase66i_core_permission_B,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOGEUSDT_1d.csv,2448,2448,2019-07-05,2026-03-17,2448,100.0,1
phase66i_core_permission_B,DOT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOTUSDT_1d.csv,2038,2038,2020-08-18,2026-03-17,2038,100.0,1
phase66i_core_permission_B,ETH,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ETHUSDT_1d.csv,3135,3135,2017-08-17,2026-03-17,3135,100.0,1
phase66i_core_permission_B,LINK,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\LINKUSDT_1d.csv,2618,2618,2019-01-16,2026-03-17,2618,100.0,1
phase66i_core_permission_B,TRX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\TRXUSDT_1d.csv,2837,2837,2018-06-11,2026-03-17,2837,100.0,1
phase66i_core_permission_B,XRP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\XRPUSDT_1d.csv,2875,2875,2018-05-04,2026-03-17,2875,100.0,1
phase66i_core_permission_C,ADA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ADAUSDT_1d.csv,2892,2892,2018-04-17,2026-03-17,2892,100.0,1
phase66i_core_permission_C,AVAX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\AVAXUSDT_1d.csv,2003,2003,2020-09-22,2026-03-17,2003,100.0,1
phase66i_core_permission_C,BNB,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\BNBUSDT_1d.csv,3054,3054,2017-11-06,2026-03-17,3054,100.0,1
