asset,selected_days,selected_days_pct,profile
DOGE,60,2.0876826722338206,phase66i_core_permission_A
ADA,54,1.8789144050104383,phase66i_core_permission_A
ETH,12,0.41753653444676403,phase66i_core_permission_A
TRX,6,0.20876826722338201,phase66i_core_permission_A
DOGE,108,3.7578288100208765,phase66i_core_permission_B
ADA,54,1.8789144050104383,phase66i_core_permission_B
ETH,48,1.6701461377870561,phase66i_core_permission_B
TRX,6,0.20876826722338201,phase66i_core_permission_B
DOGE,54,1.8789144050104383,phase66i_core_permission_C
ETH,48,1.6701461377870561,phase66i_core_permission_C
TRX,18,0.6263048016701461,phase66i_core_permission_C
ETH,48,1.6701461377870561,phase66i_core_permission_D
TRX,24,0.8350730688935281,phase66i_core_permission_D
DOGE,108,3.7578288100208765,phase66i_core_permission_E
TRX,18,0.6263048016701461,phase66i_core_permission_E
ETH,12,0.41753653444676403,phase66i_core_permission_E
DOGE,102,3.549060542797495,phase66i_core_permission_F
ETH,90,3.1315240083507305,phase66i_core_permission_F
ADA,78,2.7139874739039667,phase66i_core_permission_F
TRX,36,1.2526096033402923,phase66i_core_permission_F
