profile,decision_date,period_start,period_end,incumbent_asset_before,incumbent_hold_periods_before,core_asset_today,core_is_bnb,selected_asset,selected,keep_reason,best_passed_asset,best_passed_score,required_recent_delta_pct,dropped_assets
phase67h_keep_all_67f_main,2019-05-04,2019-05-05,2019-05-10,,0,BTC,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-05-11,2019-05-12,2019-05-17,,0,0.0601288053556083,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-05-18,2019-05-19,2019-05-24,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-05-25,2019-05-26,2019-05-31,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-06-01,2019-06-02,2019-06-07,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-06-08,2019-06-09,2019-06-14,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-06-15,2019-06-16,2019-06-21,,0,0.0236228761604484,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-06-22,2019-06-23,2019-06-28,,0,0.0776286080195676,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-06-29,2019-06-30,2019-07-05,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-07-06,2019-07-07,2019-07-12,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-07-13,2019-07-14,2019-07-19,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-07-20,2019-07-21,2019-07-26,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-07-27,2019-07-28,2019-08-02,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-08-03,2019-08-04,2019-08-09,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-08-10,2019-08-11,2019-08-16,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-08-17,2019-08-18,2019-08-23,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-08-24,2019-08-25,2019-08-30,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-08-31,2019-09-01,2019-09-06,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-09-07,2019-09-08,2019-09-13,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-09-14,2019-09-15,2019-09-20,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-09-21,2019-09-22,2019-09-27,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-09-28,2019-09-29,2019-10-04,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-10-05,2019-10-06,2019-10-11,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-10-12,2019-10-13,2019-10-18,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-10-19,2019-10-20,2019-10-25,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-10-26,2019-10-27,2019-11-01,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-11-02,2019-11-03,2019-11-08,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-11-09,2019-11-10,2019-11-15,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-11-16,2019-11-17,2019-11-22,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-11-23,2019-11-24,2019-11-29,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-11-30,2019-12-01,2019-12-06,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-12-07,2019-12-08,2019-12-13,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-12-14,2019-12-15,2019-12-20,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-12-21,2019-12-22,2019-12-27,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2019-12-28,2019-12-29,2020-01-03,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-01-04,2020-01-05,2020-01-10,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-01-11,2020-01-12,2020-01-17,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-01-18,2020-01-19,2020-01-24,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-01-25,2020-01-26,2020-01-31,,0,BTC,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-02-01,2020-02-02,2020-02-07,,0,BTC,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-02-08,2020-02-09,2020-02-14,,0,BTC,False,XTZ,True,best_passed,XTZ,254.26516208739437,2.0,
phase67h_keep_all_67f_main,2020-02-15,2020-02-16,2020-02-21,XTZ,1,0.0480623480130599,False,XTZ,True,min_hold,XTZ,503.2392653705109,2.0,
phase67h_keep_all_67f_main,2020-02-22,2020-02-23,2020-02-28,XTZ,2,0.0,False,XTZ,True,incumbent_best,XTZ,502.48755647245525,2.0,
phase67h_keep_all_67f_main,2020-02-29,2020-03-01,2020-03-06,XTZ,3,0.0,False,XTZ,True,incumbent_best,XTZ,502.48755647245525,2.0,
phase67h_keep_all_67f_main,2020-03-07,2020-03-08,2020-03-13,XTZ,4,0.0,False,XTZ,True,incumbent_best,XTZ,505.27262890011116,2.0,
phase67h_keep_all_67f_main,2020-03-14,2020-03-15,2020-03-20,XTZ,5,CASH,False,XTZ,True,incumbent_best,XTZ,364.616572913444,2.0,
phase67h_keep_all_67f_main,2020-03-21,2020-03-22,2020-03-27,XTZ,6,CASH,False,XTZ,True,incumbent_best,XTZ,262.6497552082512,2.0,
phase67h_keep_all_67f_main,2020-03-28,2020-03-29,2020-04-03,XTZ,7,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-04-04,2020-04-05,2020-04-10,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-04-11,2020-04-12,2020-04-17,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-04-18,2020-04-19,2020-04-24,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-04-25,2020-04-26,2020-05-01,,0,CASH,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-05-02,2020-05-03,2020-05-08,,0,0.0,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-05-09,2020-05-10,2020-05-15,,0,BTC,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-05-16,2020-05-17,2020-05-22,,0,BTC,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-05-23,2020-05-24,2020-05-29,,0,BTC,False,,False,best_passed,,,2.0,
phase67h_keep_all_67f_main,2020-05-30,2020-05-31,2020-06-05,,0,BTC,False,XTZ,True,best_passed,XTZ,169.4112795607943,2.0,
phase67h_keep_all_67f_main,2020-06-06,2020-06-07,2020-06-12,XTZ,1,0.0034316480664173,False,XTZ,True,min_hold,XTZ,173.63565547015307,2.0,
phase67h_keep_all_67f_main,2020-06-13,2020-06-14,2020-06-19,XTZ,2,BTC,False,XTZ,True,incumbent_best,XTZ,125.26449373295164,2.0,
