model,reason,days,scope,days_pct_of_scope
phase68m_early_zone_plus,no_selected_asset,2545,all_days,87.97096439681991
phase68m_early_zone_plus,full_risk_override,3,all_days,0.10369858278603526
phase68m_early_zone_plus,leader_not_stable,48,eligible_non_full_days,16.271186440677965
phase68m_early_zone_plus,trend_not_improving,265,eligible_non_full_days,89.83050847457628
phase68m_early_zone_plus,below_early_zone_floor,39,eligible_non_full_days,13.220338983050848
phase68m_early_zone_plus,above_early_zone_ceiling,165,eligible_non_full_days,55.932203389830505
phase68m_early_zone_plus,early_trend_not_ready,122,eligible_non_full_days,41.35593220338983
phase68m_early_zone_plus,early_edge_not_ready,68,eligible_non_full_days,23.050847457627118
phase68m_early_zone_plus,early_risk_off_block,188,eligible_non_full_days,63.72881355932203
phase68m_early_zone_plus,no_soft_or_strict_early_signal,246,eligible_non_full_days,83.38983050847457
phase68m_zone_score_plus,no_selected_asset,2545,all_days,87.97096439681991
phase68m_zone_score_plus,full_risk_override,3,all_days,0.10369858278603526
phase68m_zone_score_plus,leader_not_stable,48,eligible_non_full_days,16.271186440677965
phase68m_zone_score_plus,trend_not_improving,265,eligible_non_full_days,89.83050847457628
phase68m_zone_score_plus,below_early_zone_floor,39,eligible_non_full_days,13.220338983050848
phase68m_zone_score_plus,above_early_zone_ceiling,165,eligible_non_full_days,55.932203389830505
phase68m_zone_score_plus,early_trend_not_ready,120,eligible_non_full_days,40.67796610169492
phase68m_zone_score_plus,early_edge_not_ready,65,eligible_non_full_days,22.033898305084744
phase68m_zone_score_plus,early_risk_off_block,188,eligible_non_full_days,63.72881355932203
phase68m_zone_score_plus,no_soft_or_strict_early_signal,243,eligible_non_full_days,82.37288135593221
phase68m_zone_score_risk_plus,no_selected_asset,2545,all_days,87.97096439681991
phase68m_zone_score_risk_plus,full_risk_override,3,all_days,0.10369858278603526
phase68m_zone_score_risk_plus,leader_not_stable,48,eligible_non_full_days,16.271186440677965
phase68m_zone_score_risk_plus,trend_not_improving,265,eligible_non_full_days,89.83050847457628
phase68m_zone_score_risk_plus,below_early_zone_floor,39,eligible_non_full_days,13.220338983050848
phase68m_zone_score_risk_plus,above_early_zone_ceiling,165,eligible_non_full_days,55.932203389830505
phase68m_zone_score_risk_plus,early_trend_not_ready,120,eligible_non_full_days,40.67796610169492
phase68m_zone_score_risk_plus,early_edge_not_ready,65,eligible_non_full_days,22.033898305084744
phase68m_zone_score_risk_plus,early_risk_off_block,166,eligible_non_full_days,56.271186440677965
phase68m_zone_score_risk_plus,no_soft_or_strict_early_signal,233,eligible_non_full_days,78.98305084745762
