model,cagr_pct,max_drawdown_pct,calmar,since2023_cagr_pct,since2025_cagr_pct,early_setup_ready_days,early_entry_days,avg_lead_days_vs_full_entry,false_start_count,captured_pre_breakout_return_pct,cash_days,early_risk_days,full_risk_days,cash_days_pct,early_risk_days_pct,full_risk_days_pct,risk_state_transition_count,cash_to_early_transition_count,early_to_full_transition_count,early_to_cash_transition_count,variant_note,phase68l_reference_early_entry_days
phase67j_no_neo_main,140.35521107916287,-26.163554706001946,5.364531412352972,198.1911191350214,107.26982063318093,0,0,0.0,0,0.0,2840,0,53,98.16799170411338,0.0,1.8320082958866228,26,0,0,0,Official baseline reference row.,1
phase68m_early_zone_plus,140.35710454051005,-26.163554706001946,5.364603782539992,198.19682999519372,107.26982063318093,4,1,0.0,1,0.0,2839,1,53,98.13342550985136,0.034566194262011754,1.8320082958866228,27,0,0,1,Small expansion of the EARLY_RISK upper trend zone only.,1
phase68m_zone_score_plus,140.35710454051005,-26.163554706001946,5.364603782539992,198.19682999519372,107.26982063318093,4,1,0.0,1,0.0,2839,1,53,98.13342550985136,0.034566194262011754,1.8320082958866228,27,0,0,1,Zone plus a slightly easier early score and relative edge requirement.,1
phase68m_zone_score_risk_plus,140.35710454051005,-26.163554706001946,5.364603782539992,198.19682999519372,107.26982063318093,4,1,0.0,1,0.0,2839,1,53,98.13342550985136,0.034566194262011754,1.8320082958866228,27,0,0,1,Zone/score relaxation plus a small early-only risk-off relaxation.,1
