asset,selected_days,selected_days_pct,profile
DOGE,96,3.3402922755741122,phase66j_core_reaction_A
ETH,48,1.6701461377870561,phase66j_core_reaction_A
LINK,36,1.2526096033402923,phase66j_core_reaction_A
BNB,30,1.0438413361169103,phase66j_core_reaction_A
TRX,12,0.41753653444676403,phase66j_core_reaction_A
AVAX,6,0.20876826722338201,phase66j_core_reaction_A
DOGE,102,3.549060542797495,phase66j_core_reaction_B
ETH,48,1.6701461377870561,phase66j_core_reaction_B
LINK,36,1.2526096033402923,phase66j_core_reaction_B
BNB,30,1.0438413361169103,phase66j_core_reaction_B
AVAX,6,0.20876826722338201,phase66j_core_reaction_B
DOGE,54,1.8789144050104383,phase66j_core_reaction_C
TRX,54,1.8789144050104383,phase66j_core_reaction_C
ETH,48,1.6701461377870561,phase66j_core_reaction_C
XRP,6,0.20876826722338201,phase66j_core_reaction_C
DOGE,54,1.8789144050104383,phase66j_core_reaction_D
TRX,54,1.8789144050104383,phase66j_core_reaction_D
BNB,54,1.8789144050104383,phase66j_core_reaction_D
ETH,48,1.6701461377870561,phase66j_core_reaction_D
XRP,6,0.20876826722338201,phase66j_core_reaction_D
ETH,84,2.9227557411273484,phase66j_core_reaction_E
DOGE,54,1.8789144050104383,phase66j_core_reaction_E
TRX,54,1.8789144050104383,phase66j_core_reaction_E
XRP,6,0.20876826722338201,phase66j_core_reaction_E
DOGE,48,1.6701461377870561,phase66j_core_reaction_F
TRX,48,1.6701461377870561,phase66j_core_reaction_F
ETH,18,0.6263048016701461,phase66j_core_reaction_F
XRP,6,0.20876826722338201,phase66j_core_reaction_F
LINK,6,0.20876826722338201,phase66j_core_reaction_F
AVAX,6,0.20876826722338201,phase66j_core_reaction_F
