model,asset,file,raw_rows,daily_rows,start_date,end_date,history_days,non_na_close_ratio,max_gap_days
phase66j_core_reaction_D,TRX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\TRXUSDT_1d.csv,2837,2837,2018-06-11,2026-03-17,2837,100.0,1
phase66j_core_reaction_D,XRP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\XRPUSDT_1d.csv,2875,2875,2018-05-04,2026-03-17,2875,100.0,1
phase66j_core_reaction_E,ADA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ADAUSDT_1d.csv,2892,2892,2018-04-17,2026-03-17,2892,100.0,1
phase66j_core_reaction_E,AVAX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\AVAXUSDT_1d.csv,2003,2003,2020-09-22,2026-03-17,2003,100.0,1
phase66j_core_reaction_E,BNB,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\BNBUSDT_1d.csv,3054,3054,2017-11-06,2026-03-17,3054,100.0,1
phase66j_core_reaction_E,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOGEUSDT_1d.csv,2448,2448,2019-07-05,2026-03-17,2448,100.0,1
phase66j_core_reaction_E,DOT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOTUSDT_1d.csv,2038,2038,2020-08-18,2026-03-17,2038,100.0,1
phase66j_core_reaction_E,ETH,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ETHUSDT_1d.csv,3135,3135,2017-08-17,2026-03-17,3135,100.0,1
phase66j_core_reaction_E,LINK,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\LINKUSDT_1d.csv,2618,2618,2019-01-16,2026-03-17,2618,100.0,1
phase66j_core_reaction_E,TRX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\TRXUSDT_1d.csv,2837,2837,2018-06-11,2026-03-17,2837,100.0,1
phase66j_core_reaction_E,XRP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\XRPUSDT_1d.csv,2875,2875,2018-05-04,2026-03-17,2875,100.0,1
phase66j_core_reaction_F,ADA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ADAUSDT_1d.csv,2892,2892,2018-04-17,2026-03-17,2892,100.0,1
phase66j_core_reaction_F,AVAX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\AVAXUSDT_1d.csv,2003,2003,2020-09-22,2026-03-17,2003,100.0,1
phase66j_core_reaction_F,BNB,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\BNBUSDT_1d.csv,3054,3054,2017-11-06,2026-03-17,3054,100.0,1
phase66j_core_reaction_F,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOGEUSDT_1d.csv,2448,2448,2019-07-05,2026-03-17,2448,100.0,1
phase66j_core_reaction_F,DOT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOTUSDT_1d.csv,2038,2038,2020-08-18,2026-03-17,2038,100.0,1
phase66j_core_reaction_F,ETH,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ETHUSDT_1d.csv,3135,3135,2017-08-17,2026-03-17,3135,100.0,1
phase66j_core_reaction_F,LINK,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\LINKUSDT_1d.csv,2618,2618,2019-01-16,2026-03-17,2618,100.0,1
phase66j_core_reaction_F,TRX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\TRXUSDT_1d.csv,2837,2837,2018-06-11,2026-03-17,2837,100.0,1
phase66j_core_reaction_F,XRP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\XRPUSDT_1d.csv,2875,2875,2018-05-04,2026-03-17,2875,100.0,1
