period,metric,baseline_value,candidate_value,delta_candidate_minus_baseline,return_basis_status,net_costs_included
full_available,net_total_return_pct,311417.914917,376175.468158,64757.553241,gross_and_net_reported,True
full_available,net_cagr_pct,173.14087,179.661405,6.520535,gross_and_net_reported,True
full_available,net_max_drawdown_pct,-12.93062,-14.426484,-1.495864,gross_and_net_reported,True
full_available,switch_count,124.0,143,19,gross_and_net_reported,True
full_available,turnover_total,240.5,254.75,14.25,gross_and_net_reported,True
full_available,exposure_days,537.0,593,56,gross_and_net_reported,True
full_available,total_cost_pct,30.936463,33.477713,2.54125,gross_and_net_reported,True
full_available,gross_total_return_pct,423137.885746,524179.531609,101041.645863,gross_and_net_reported,True
full_available,early_risk_days,0.0,56,56,gross_and_net_reported,True
full_available,activation_window_count,0.0,11,11,gross_and_net_reported,True
full_available,successful_handoff_count,0.0,3,3,gross_and_net_reported,True
full_available,false_start_count,0.0,8,8,gross_and_net_reported,True
full_available,lead_days_total,0.0,6,6,gross_and_net_reported,True
full_available,lead_days_max,0.0,4,4,gross_and_net_reported,True
full_available,strategy_delta_vs_baseline_pct,0.0,64757.553241,64757.553241,gross_and_net_reported,True
full_available,missed_btc_move_captured_pct,0.0,,,gross_and_net_reported,True
full_available,strict_pass_through_ok,0.0,True,True,gross_and_net_reported,True
since2023,net_total_return_pct,3755.455153,4086.232204,330.777051,gross_and_net_reported,True
since2023,net_cagr_pct,197.899988,205.320026,7.420038,gross_and_net_reported,True
since2023,net_max_drawdown_pct,-11.334402,-11.334402,0.0,gross_and_net_reported,True
since2023,switch_count,56.0,68,12,gross_and_net_reported,True
since2023,turnover_total,110.0,119.0,9.0,gross_and_net_reported,True
since2023,exposure_days,232.0,258,26,gross_and_net_reported,True
since2023,total_cost_pct,14.002361,15.607361,1.605,gross_and_net_reported,True
since2023,gross_total_return_pct,4329.376533,4786.821931,457.445398,gross_and_net_reported,True
since2023,early_risk_days,0.0,26,26,gross_and_net_reported,True
since2023,activation_window_count,0.0,7,7,gross_and_net_reported,True
since2023,successful_handoff_count,0.0,2,2,gross_and_net_reported,True
since2023,false_start_count,0.0,5,5,gross_and_net_reported,True
since2023,lead_days_total,0.0,2,2,gross_and_net_reported,True
since2023,lead_days_max,0.0,1,1,gross_and_net_reported,True
since2023,strategy_delta_vs_baseline_pct,0.0,330.777051,330.777051,gross_and_net_reported,True
since2023,missed_btc_move_captured_pct,0.0,,,gross_and_net_reported,True
since2023,strict_pass_through_ok,0.0,True,True,gross_and_net_reported,True
since2025,net_total_return_pct,381.538372,411.251738,29.713366,gross_and_net_reported,True
since2025,net_cagr_pct,221.960293,236.62499,14.664697,gross_and_net_reported,True
since2025,net_max_drawdown_pct,-8.598574,-8.598574,0.0,gross_and_net_reported,True
since2025,switch_count,18.0,20,2,gross_and_net_reported,True
since2025,turnover_total,21.5,23.0,1.5,gross_and_net_reported,True
since2025,exposure_days,78.0,88,10,gross_and_net_reported,True
since2025,total_cost_pct,3.383516,3.651016,0.2675,gross_and_net_reported,True
since2025,gross_total_return_pct,397.643228,429.759793,32.116566,gross_and_net_reported,True
since2025,early_risk_days,0.0,10,10,gross_and_net_reported,True
since2025,activation_window_count,0.0,1,1,gross_and_net_reported,True
since2025,successful_handoff_count,0.0,0,0,gross_and_net_reported,True
since2025,false_start_count,0.0,1,1,gross_and_net_reported,True
since2025,lead_days_total,0.0,0,0,gross_and_net_reported,True
since2025,lead_days_max,0.0,0,0,gross_and_net_reported,True
since2025,strategy_delta_vs_baseline_pct,0.0,29.713366,29.713366,gross_and_net_reported,True
since2025,missed_btc_move_captured_pct,0.0,,,gross_and_net_reported,True
since2025,strict_pass_through_ok,0.0,True,True,gross_and_net_reported,True
missed_window_2025,net_total_return_pct,5.015112,11.495079,6.479966,gross_and_net_reported,True
missed_window_2025,net_cagr_pct,19.358586,48.215121,28.856535,gross_and_net_reported,True
missed_window_2025,net_max_drawdown_pct,0.0,-0.704204,-0.704204,gross_and_net_reported,True
missed_window_2025,switch_count,1.0,3,2,gross_and_net_reported,True
missed_window_2025,turnover_total,1.25,2.75,1.5,gross_and_net_reported,True
missed_window_2025,exposure_days,1.0,11,10,gross_and_net_reported,True
missed_window_2025,total_cost_pct,0.164464,0.431964,0.2675,gross_and_net_reported,True
missed_window_2025,gross_total_return_pct,5.179576,11.967585,6.788009,gross_and_net_reported,True
missed_window_2025,early_risk_days,0.0,10,10,gross_and_net_reported,True
missed_window_2025,activation_window_count,0.0,1,1,gross_and_net_reported,True
missed_window_2025,successful_handoff_count,0.0,0,0,gross_and_net_reported,True
missed_window_2025,false_start_count,0.0,1,1,gross_and_net_reported,True
missed_window_2025,lead_days_total,0.0,0,0,gross_and_net_reported,True
missed_window_2025,lead_days_max,0.0,0,0,gross_and_net_reported,True
missed_window_2025,strategy_delta_vs_baseline_pct,0.0,6.479966,6.479966,gross_and_net_reported,True
missed_window_2025,missed_btc_move_captured_pct,0.0,21.162394,21.162394,gross_and_net_reported,True
missed_window_2025,strict_pass_through_ok,0.0,True,True,gross_and_net_reported,True
