profile,decision_date,period_start,period_end,incumbent_asset_before,incumbent_hold_periods_before,selected_asset,selected,keep_reason,best_passed_asset,best_passed_score
phase67b_top100_pruned_soft_filters,2024-01-28,2024-01-29,2024-02-03,STX,6,STX,True,incumbent_best,STX,350.80708246299565
phase67b_top100_pruned_soft_filters,2024-02-04,2024-02-05,2024-02-10,STX,7,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-02-11,2024-02-12,2024-02-17,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-02-18,2024-02-19,2024-02-24,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-02-25,2024-02-26,2024-03-02,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-03-03,2024-03-04,2024-03-09,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-03-10,2024-03-11,2024-03-16,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-03-17,2024-03-18,2024-03-23,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-03-24,2024-03-25,2024-03-30,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-03-31,2024-04-01,2024-04-06,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-04-07,2024-04-08,2024-04-13,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-04-14,2024-04-15,2024-04-20,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-04-21,2024-04-22,2024-04-27,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-04-28,2024-04-29,2024-05-04,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-05-05,2024-05-06,2024-05-11,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-05-12,2024-05-13,2024-05-18,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-05-19,2024-05-20,2024-05-25,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-05-26,2024-05-27,2024-06-01,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-06-02,2024-06-03,2024-06-08,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-06-09,2024-06-10,2024-06-15,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-06-16,2024-06-17,2024-06-22,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-06-23,2024-06-24,2024-06-29,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-06-30,2024-07-01,2024-07-06,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-07-07,2024-07-08,2024-07-13,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-07-14,2024-07-15,2024-07-20,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-07-21,2024-07-22,2024-07-27,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-07-28,2024-07-29,2024-08-03,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-08-04,2024-08-05,2024-08-10,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-08-11,2024-08-12,2024-08-17,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-08-18,2024-08-19,2024-08-24,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-08-25,2024-08-26,2024-08-31,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-09-01,2024-09-02,2024-09-07,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-09-08,2024-09-09,2024-09-14,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-09-15,2024-09-16,2024-09-21,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-09-22,2024-09-23,2024-09-28,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-09-29,2024-09-30,2024-10-05,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-10-06,2024-10-07,2024-10-12,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-10-13,2024-10-14,2024-10-19,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2024-10-20,2024-10-21,2024-10-26,,0,DOGE,True,best_passed,DOGE,119.22281279763408
phase67b_top100_pruned_soft_filters,2024-10-27,2024-10-28,2024-11-02,DOGE,1,DOGE,True,min_hold,DOGE,122.33985270617653
