model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,mode,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,delta_vs_phase66f_soft_filters_cagr_pct,delta_vs_phase66f_soft_filters_max_drawdown_pct,delta_vs_phase66f_soft_filters_since2021_cagr_pct,delta_vs_phase66f_soft_filters_since2023_cagr_pct,delta_vs_phase66f_soft_filters_since2025_cagr_pct,unique_selected_assets,selected_days_pct,decision_count,selection_count,switch_count,asset_suspensions_total,delta_vs_phase66g_narrow_cagr_pct,delta_vs_phase66g_narrow_max_drawdown_pct,delta_vs_phase66g_narrow_since2021_cagr_pct,delta_vs_phase66g_narrow_since2023_cagr_pct,delta_vs_phase66g_narrow_since2025_cagr_pct,delta_vs_phase66g_cagr_pct,delta_vs_phase66g_max_drawdown_pct,delta_vs_phase66g_since2021_cagr_pct,delta_vs_phase66g_since2023_cagr_pct,delta_vs_phase66g_since2025_cagr_pct,delta_vs_phase67broad_cagr_pct,delta_vs_phase67broad_max_drawdown_pct,delta_vs_phase67broad_since2021_cagr_pct,delta_vs_phase67broad_since2023_cagr_pct,delta_vs_phase67broad_since2025_cagr_pct,shortlist_size
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2894,27622.691745004035,103.38025456190358,-33.356834391728874,1.5456333626768255,2.05409896026243,42.25984796129924,8.396682791983414,49.34346924671735,0.0,849,1779.9335200392736,74.63588048595464,-33.35683439172886,1378.1030615245797,128.25396406217413,-24.39112010730812,156.24627443249972,110.75559789071443,-20.8092372493596,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase66g_production_soft_filters,2894,36538.80497850815,110.66553468014848,-26.62118277039961,1.5939581620437535,2.1563705125636954,42.25984796129924,8.396682791983414,48.54872149274361,0.7947477539737389,845,2384.5537456041598,84.1399456790644,-26.621182770399574,1534.9328312166442,135.41707334477303,-26.621182770399574,156.24627443249972,110.75559789071444,-20.8092372493596,phase66g_production_soft_filters,7.285280118244898,6.735651621329264,9.504065193109753,7.163109282598896,0.0,-3.0569745933789108,-3.021149774842669,4.932389905777711,-1.0475768436550084,-3.1413928614512514,5.0,9.32964754664824,362.0,45.0,23.0,348.0,,,,,,,,,,,,,,,,
phase67_top100_production_soft_filters,2874,25502.344871222453,102.3311229103665,-48.24194318610353,1.5044118588273525,1.989022772456764,41.82324286708421,8.24634655532359,48.29505915100904,1.6353514265831592,853,1253.4978175596073,64.96560749768561,-48.24194318610353,925.9559737702236,106.72075746434916,-48.24194318610352,162.76105371809982,122.98892973160429,-20.80923724935961,phase67_top100_production_soft_filters,0.7401003388785483,-14.783788156149114,-3.254038099978615,-18.95777179095522,9.09193897943861,,,,,,13.0,17.32776617954071,359.0,83.0,29.0,1242.0,-11.39138636316089,-24.641910190546596,-14.241948275601075,-29.74389272407888,9.09193897943861,,,,,,,,,,,
phase67b_top100_pruned_soft_filters,2894,28736.937869520716,104.39426319910949,-33.356834391728874,1.5490718694009602,2.0723520550249312,42.25984796129924,8.396682791983414,49.06703524533518,0.27643400138217,848,1855.4928725841141,75.94855851476538,-33.35683439172886,1437.5118167453531,131.0267585284966,-24.39112010730812,156.24627443249972,110.75559789071443,-20.8092372493596,phase67b_top100_pruned_soft_filters,1.0140086372059045,0.0,1.312678028810737,2.772794466322466,0.0,,,,,,5.0,8.707671043538355,362.0,42.0,13.0,138.0,,,,,,-6.271271481038994,-6.735651621329264,-8.191387164299016,-4.39031481627643,-1.4210854715202004e-14,2.0631402887429857,14.88510879437466,10.98295101707977,24.306001064147438,-12.23333184088986,6.0
