ts,main_selected,main_gross_exposure,main_strategy_ret,leader_selected,leader_gross_exposure,leader_strategy_ret,ret_diff_main_minus_leader,same_selection,main_in_market,leader_in_market,main_cash_leader_in,leader_cash_main_in
2025-02-17,BTCUSDT,1.0,-0.0011302986009604,BTCUSDT,1.0,-0.0011302986009604,0.0,True,True,True,False,False
2025-02-18,CASH,0.0,-0.0015,CASH,0.0,-0.0015,0.0,True,False,False,False,False
2025-02-19,BTCUSDT,1.0,0.0156828943579435,BTCUSDT,1.0,0.0156828943579435,0.0,True,True,True,False,False
2025-02-20,BTCUSDT,1.0,-0.021596256548497,BTCUSDT,1.0,-0.021596256548497,0.0,True,True,True,False,False
2025-02-21,BTCUSDT,1.0,0.0038367893861199,BTCUSDT,1.0,0.0038367893861199,0.0,True,True,True,False,False
2025-02-22,BTCUSDT,1.0,-0.0030347688750226,BTCUSDT,1.0,-0.0030347688750226,0.0,True,True,True,False,False
2025-02-23,BTCUSDT,1.0,-0.0488803008581104,BTCUSDT,1.0,-0.0488803008581104,0.0,True,True,True,False,False
2025-02-24,CASH,0.0,-0.0015,CASH,0.0,-0.0015,0.0,True,False,False,False,False
2025-02-25,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-02-26,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-02-27,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-02-28,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-01,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-02,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-03,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-04,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-05,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-06,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-07,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-08,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-09,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-10,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-11,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-12,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-13,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-14,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-15,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-16,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-17,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-18,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-19,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-20,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-21,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-22,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-23,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-24,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-25,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-26,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-27,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-28,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-29,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-30,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-03-31,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-01,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-02,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-03,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-04,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-05,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-06,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-07,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-08,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-09,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-10,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-11,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-12,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-13,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-14,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-15,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-04-16,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
