ts,main_selected,leader_selected,ret_diff_main_minus_leader
2025-10-09,TRXUSDT,BNBUSDT,0.07010363647152071
2025-10-03,TRXUSDT,BNBUSDT,0.0281081280864858
2025-01-01,ETHUSDT,BNBUSDT,0.027603182359483197
2025-09-02,ETHUSDT,BNBUSDT,0.0221763406671026
2025-09-23,DOGEUSDT,BNBUSDT,0.0143163531095504
2025-01-09,BTCUSDT,BNBUSDT,0.0122084980943704
2025-09-29,TRXUSDT,BNBUSDT,0.011163219657888102
2025-01-05,BTCUSDT,BNBUSDT,0.010983556198218301
2025-08-30,ETHUSDT,BNBUSDT,0.0091916354382956
2025-01-04,BTCUSDT,BNBUSDT,0.0072321080582611
2025-10-07,TRXUSDT,BNBUSDT,0.0068569108287641
2025-08-29,ETHUSDT,BNBUSDT,0.0064486961779384
2025-09-30,TRXUSDT,BNBUSDT,0.0058428582118688
2025-10-10,TRXUSDT,TRXUSDT,0.002999999999999999
2025-01-06,BTCUSDT,BTCUSDT,0.0029999999999999957
2025-01-03,BTCUSDT,BNBUSDT,0.0025281036506098996
2025-01-28,ETHUSDT,BNBUSDT,0.0016539869948878991
2025-10-08,SOLUSDT,BNBUSDT,0.0014874144793734986
2026-02-22,CASH,CASH,0.0
2026-02-23,CASH,CASH,0.0
