month,main_return_pct,leader_return_pct,diff_main_minus_leader_pct
2025-01,36.460880480961144,41.59691691780127,-5.14
2025-02,-9.161861944549454,-10.343352299834475,1.18
2025-03,0.0,0.0,0.0
2025-04,0.0,0.0,0.0
2025-05,-2.7773641033468133,-3.8251638888874284,1.05
2025-06,0.0,0.0,0.0
2025-07,25.101303684865826,25.10130368486574,0.0
2025-08,14.140521715916488,7.209537233714514,6.93
2025-09,17.8040267809755,26.747926979098537,-8.94
2025-10,-15.032792672070395,6.478162450263292,-21.51
2025-11,0.0,0.0,0.0
2025-12,0.0,0.0,0.0
2026-01,0.0,0.0,0.0
2026-02,0.0,0.0,0.0
2026-03,0.0,0.0,0.0
