ts,old_baseline,phase42_full12,phase45_without_BNBUSDT,phase45_without_BNBUSDT_and_DOGEUSDT
2025-01-01,22.462393685804773,69.68565062215181,107.4348417505749,91.62290276073676
2025-01-02,22.67047801348557,70.53717227152408,108.43008326970516,92.4716676068974
2025-01-03,22.681174273353346,70.39212744828222,108.48124215340609,92.51529707895972
2025-01-04,22.48214514897707,69.98560726341388,108.63930234007356,92.6500944396428
2025-01-05,23.12019951580715,71.9718333122973,112.91578520063288,96.29717733106322
2025-01-06,21.856562731264024,68.03820566508578,107.08310918086391,91.3229371396468
2025-01-07,21.72899393960767,67.64109145321815,104.99124981710024,89.53895138649396
2025-01-08,21.39963904676848,66.6158288713877,102.221115547067,87.1765172010675
2025-01-09,21.640957845028858,67.3670402228142,104.62180580591814,89.22388104096618
2025-01-10,21.749910316688457,67.70620291576095,104.53649399240292,89.15112516524947
2025-01-11,21.0785266155714,65.61622459215897,101.30962559540686,86.39917761692926
2025-01-12,21.23506282696229,66.10351269301906,102.06198486877368,87.04080690051742
2025-01-13,22.447797668974527,69.87868556043504,107.89074676620166,92.01170903842346
2025-01-14,26.45041176238895,82.33858990285732,127.12849248734496,108.41810082737642
2025-01-15,26.23681785782337,84.2034353722777,130.00776201975944,110.87360807336678
2025-01-16,27.310087239691992,87.54142321951633,135.16152240673202,115.26885340619846
2025-01-17,27.43571195952574,104.47463277671496,161.3059269504423,137.5654026095477
2025-01-18,26.58955632702633,100.93906545058752,155.8471093439181,132.90999746721653
2025-01-19,26.8331803790001,101.86390916836416,157.27504231879718,134.12777153356583
2025-01-20,27.852297962577147,105.73267535631176,163.24830969974275,139.2219112697127
2025-01-21,27.21278351413847,103.30495561651544,159.49997795072687,136.0252477873725
2025-01-22,27.26622945238544,103.5078466686424,159.813236091612,136.29240153110828
2025-01-23,27.51817688005244,104.46428752002798,161.2899541618803,137.55178064827902
2025-01-24,27.48573093413611,104.34111647429204,161.09978149337854,137.38959702488486
2025-01-25,26.927642296269987,102.22250475877652,157.82870393573177,134.59994688808
2025-01-26,27.345975204981904,103.8105768699944,154.90572157276662,132.107160335324
2025-01-27,26.603730754851096,100.99287430246652,149.80846061479093,127.76009901435168
2025-01-28,26.8724674988551,102.01305062501864,151.569527282663,129.26197715217424
2025-01-29,27.04823542745989,102.68029945878426,152.56091602845706,130.1074562646661
2025-01-30,26.455892602051936,100.43165226483816,149.2199082836273,127.25816805667404
2025-01-31,25.99255476971382,98.67273281507758,146.6065309961618,125.02941982951629
2025-02-01,25.234476416740534,95.7949217096073,142.3307205366915,121.38291037720172
2025-02-02,25.19662470211543,99.35208825607272,147.6159075653131,125.89023937127187
2025-02-03,24.27225021424404,95.85624185520436,142.4218291294069,121.46060987947688
2025-02-04,24.23584183892267,94.72798647403168,140.74548346842803,120.03098376390228
2025-02-05,24.23584183892267,94.67103933530002,140.66087222658425,119.95882535181175
2025-02-06,24.23584183892267,94.62441680694792,140.59160114274002,119.89974937910335
2025-02-07,24.23584183892267,94.56356729886105,140.50119181648614,119.82264622734134
2025-02-08,24.23584183892267,94.58122601044089,140.52742887684437,119.8450217955533
2025-02-09,24.23584183892267,95.53041362393864,141.93771821726654,121.04774896484533
2025-02-10,24.23584183892267,93.91002828628883,139.5301729263594,118.99453899602555
2025-02-11,24.23584183892267,95.96101753090797,142.57750332540252,121.5933724124658
2025-02-12,24.23584183892267,94.72378015128449,140.7392337744282,120.02565388119108
2025-02-13,24.23584183892267,95.59871489260334,142.03919926249446,121.13429433306544
2025-02-14,24.23584183892267,95.66654552375788,142.1399810412609,121.22024335077248
2025-02-15,24.23584183892267,94.24331808308057,140.0253701255251,119.41685455108431
2025-02-16,24.23584183892267,93.91179317695205,139.53279517559014,118.99677531044986
2025-02-17,24.23584183892267,93.80564480851044,139.37508145241506,118.86227342179764
2025-02-18,24.23584183892267,93.66493634129768,140.7920138242216,120.07066592096452
2025-02-19,24.23584183892267,95.13387364298174,143.21122812420535,122.13382748897236
2025-02-20,24.23584183892267,93.0793381013356,140.11840170100967,119.49619401727064
2025-02-21,24.23584183892267,93.43646391782988,140.6560064974562,119.95467574615785
2025-02-22,24.23584183892267,93.15290584533987,140.22914802685273,119.59064102978996
2025-02-23,24.23584183892267,88.59956378181242,133.37470508222367,113.74501451643954
2025-02-24,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-02-25,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-02-26,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-02-27,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-02-28,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-01,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-02,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-03,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-04,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-05,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-06,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-07,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-08,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-09,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-10,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-11,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-12,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-13,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-14,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-15,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-16,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-17,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-18,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-19,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-20,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-21,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-22,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-23,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-24,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-25,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-26,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-27,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-28,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-29,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-30,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-03-31,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-01,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-02,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-03,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-04,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-05,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-06,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-07,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-08,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-09,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-10,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-11,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-12,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
2025-04-13,24.23584183892267,88.46666443613971,133.17464302460033,113.57439699466488
