label,selected,days_held,share_of_in_market_days_pct
Hlavna strategia,ETHUSDT,51,32.9
Hlavna strategia,BTCUSDT,48,30.97
Hlavna strategia,TRXUSDT,22,14.19
Hlavna strategia,SOLUSDT,18,11.61
Hlavna strategia,DOGEUSDT,7,4.52
Hlavna strategia,AVAXUSDT,5,3.23
Hlavna strategia,XRPUSDT,4,2.58
Predosly lider,ETHUSDT,43,27.74
Predosly lider,BTCUSDT,41,26.45
Predosly lider,BNBUSDT,34,21.94
Predosly lider,SOLUSDT,14,9.03
Predosly lider,TRXUSDT,11,7.1
Predosly lider,AVAXUSDT,5,3.23
Predosly lider,XRPUSDT,4,2.58
Predosly lider,DOGEUSDT,3,1.94
