model,label,total_return_pct,cagr_pct,max_drawdown_pct,worst_day_pct,worst_3d_pct,worst_5d_pct,days
phase42_full12,Predosly lider,121.0,93.44,-19.53,-12.18,-17.53,-15.36,440
phase45_without_BNBUSDT,Hlavna strategia,72.25,57.21,-22.73,-8.45,-10.92,-14.21,440
