model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,delta_vs_phase66g_core_cagr_pct,delta_vs_phase66g_core_max_drawdown_pct,delta_vs_phase66g_core_since2021_cagr_pct,delta_vs_phase66g_core_since2023_cagr_pct,delta_vs_phase66g_core_since2025_cagr_pct,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,shortlist_size,selection_count,switch_count,unique_selected_assets
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,,,,,,,,,,,,,,
phase66g_production_soft_filters,2874,39296.19127427025,113.72250927352745,-23.60003299555692,1.6083883573961415,2.1563792516361047,41.8580375782881,8.350730688935283,48.8517745302714,0.9394572025052191,839,1982.7255932256917,79.20755577328671,-23.600032995556873,1478.7131211978665,136.46465018842818,-23.600032995556862,149.9093451554409,113.89699075216568,-20.80923724935961,,,,,,,,,,,,,,
phase67c_shortlist_challenger_base,2874,109824.70845178598,143.49259452521662,-43.52971120125248,1.5574536952013291,2.2327663368142385,40.22268615170494,3.653444676409186,40.77940153096729,15.34446764091858,767,4135.291448330464,105.39146436445162,-43.52971120125252,2818.0815914655045,186.4064413068062,-43.52971120125252,-3.5812144418549186,-2.981987042225309,-43.529711201252496,29.770085251689167,-19.929678205695563,26.183908591164908,49.941791118378006,-116.87897779439099,41.90157195372866,-10.071556171298063,37.171818766787396,60.727912051501804,-116.87897779439099,7.0,422.0,767.0,7.0
phase67c_shortlist_challenger_strict,2874,20013.955612989015,96.22130409017215,-31.817032156410875,1.417338809721531,1.8111357861789077,41.579679888656926,5.845511482254697,45.650661099512874,6.924147529575504,817,867.1737225495168,54.65024506422633,-31.817032156410907,848.6779464486817,101.7325392589767,-26.87959537325141,52.16032805149804,41.68729459850904,-25.68802066673801,-17.501205183355296,-8.216999160853955,-24.55731070906038,-34.73211092945148,-72.20969615365664,-5.3697184813158,1.6411228735435444,-13.569400533437893,-23.945989996327683,-72.20969615365664,7.0,176.0,817.0,6.0
