funding_time,date,funding_rate,mark_price
1581379200000,2020-02-11 00:00:00,0.00050019,
1581408000000,2020-02-11 08:00:00,0.00063707,
1581436800000,2020-02-11 16:00:00,0.00069900,
1581465600000,2020-02-12 00:00:00,0.00271290,
1581494400001,2020-02-12 08:00:00,0.00412417,
1581523200000,2020-02-12 16:00:00,0.00225375,
1581552000001,2020-02-13 00:00:00,0.00260997,
1581580800000,2020-02-13 08:00:00,0.00399863,
1581609600000,2020-02-13 16:00:00,0.00071174,
1581638400000,2020-02-14 00:00:00,0.00046998,
1581667200000,2020-02-14 08:00:00,0.00065324,
1581696000000,2020-02-14 16:00:00,0.00123369,
1581724800000,2020-02-15 00:00:00,0.00203384,
1581753600000,2020-02-15 08:00:00,0.00074374,
1581782400000,2020-02-15 16:00:00,0.00092091,
1581811200000,2020-02-16 00:00:00,0.00010000,
1581840000000,2020-02-16 08:00:00,0.00061959,
1581868800000,2020-02-16 16:00:00,0.00013594,
1581897600000,2020-02-17 00:00:00,0.00010000,
1581926400000,2020-02-17 08:00:00,0.00010000,
1581955200000,2020-02-17 16:00:00,0.00027680,
1581984000000,2020-02-18 00:00:00,0.00032492,
1582012800000,2020-02-18 08:00:00,0.00052507,
1582041600000,2020-02-18 16:00:00,0.00047347,
1582070400000,2020-02-19 00:00:00,0.00090213,
1582099200001,2020-02-19 08:00:00,0.00063226,
1582128000000,2020-02-19 16:00:00,0.00068491,
1582156800004,2020-02-20 00:00:00,0.00014727,
1582185600000,2020-02-20 08:00:00,0.00010000,
1582214400000,2020-02-20 16:00:00,0.00010000,
1582243200000,2020-02-21 00:00:00,0.00010000,
1582272000000,2020-02-21 08:00:00,0.00021036,
1582300800000,2020-02-21 16:00:00,0.00020904,
1582329600000,2020-02-22 00:00:00,0.00017202,
1582358400001,2020-02-22 08:00:00,0.00039830,
1582387200000,2020-02-22 16:00:00,0.00036526,
1582416000000,2020-02-23 00:00:00,0.00024281,
1582444800000,2020-02-23 08:00:00,0.00064350,
1582473600000,2020-02-23 16:00:00,0.00064068,
1582502400015,2020-02-24 00:00:00,0.00045487,
1582531200000,2020-02-24 08:00:00,0.00020174,
1582560000000,2020-02-24 16:00:00,0.00010000,
1582588800001,2020-02-25 00:00:00,0.00030932,
1582617600000,2020-02-25 08:00:00,0.00029794,
1582646400001,2020-02-25 16:00:00,0.00011103,
1582675200000,2020-02-26 00:00:00,0.00010000,
1582704000001,2020-02-26 08:00:00,0.00012143,
1582732800000,2020-02-26 16:00:00,0.00010000,
1582761600001,2020-02-27 00:00:00,0.00010000,
1582790400001,2020-02-27 08:00:00,0.00010000,
1582819200000,2020-02-27 16:00:00,0.00010000,
1582848000000,2020-02-28 00:00:00,0.00015561,
1582876800000,2020-02-28 08:00:00,0.00020472,
1582905600000,2020-02-28 16:00:00,0.00010000,
1582934400000,2020-02-29 00:00:00,0.00010000,
1582963200000,2020-02-29 08:00:00,0.00040397,
1582992000000,2020-02-29 16:00:00,0.00018203,
1583020800000,2020-03-01 00:00:00,0.00022598,
1583049600000,2020-03-01 08:00:00,0.00013142,
1583078400001,2020-03-01 16:00:00,0.00010000,
1583107200000,2020-03-02 00:00:00,0.00030761,
1583136000000,2020-03-02 08:00:00,0.00010000,
1583164800004,2020-03-02 16:00:00,0.00010000,
1583193600000,2020-03-03 00:00:00,0.00027794,
1583222400003,2020-03-03 08:00:00,0.00024294,
1583251200000,2020-03-03 16:00:00,0.00010000,
1583280000002,2020-03-04 00:00:00,0.00019764,
1583308800000,2020-03-04 08:00:00,0.00018098,
1583337600001,2020-03-04 16:00:00,0.00022050,
1583366400000,2020-03-05 00:00:00,0.00010000,
1583395200000,2020-03-05 08:00:00,0.00017193,
1583424000000,2020-03-05 16:00:00,0.00047024,
1583452800003,2020-03-06 00:00:00,0.00025270,
1583481600000,2020-03-06 08:00:00,0.00033903,
1583510400000,2020-03-06 16:00:00,0.00030528,
1583539200000,2020-03-07 00:00:00,0.00039742,
1583568000001,2020-03-07 08:00:00,0.00032370,
1583596800000,2020-03-07 16:00:00,0.00025411,
1583625600001,2020-03-08 00:00:00,0.00071553,
1583654400000,2020-03-08 08:00:00,0.00027966,
1583683200006,2020-03-08 16:00:00,0.00022191,
1583712000000,2020-03-09 00:00:00,0.00010000,
1583740800000,2020-03-09 08:00:00,0.00010000,
1583769600000,2020-03-09 16:00:00,0.00010000,
1583798400000,2020-03-10 00:00:00,0.00010000,
1583827200000,2020-03-10 08:00:00,0.00010000,
1583856000000,2020-03-10 16:00:00,0.00010000,
1583884800001,2020-03-11 00:00:00,0.00010000,
1583913600000,2020-03-11 08:00:00,0.00010000,
1583942400000,2020-03-11 16:00:00,0.00010000,
1583971200001,2020-03-12 00:00:00,0.00010000,
1584000000001,2020-03-12 08:00:00,0.00010000,
1584028800000,2020-03-12 16:00:00,-0.00054364,
1584057600000,2020-03-13 00:00:00,0.00008860,
1584086400000,2020-03-13 08:00:00,-0.00432483,
1584115200002,2020-03-13 16:00:00,-0.00105843,
1584144000000,2020-03-14 00:00:00,-0.00046517,
1584172800001,2020-03-14 08:00:00,0.00010000,
1584201600000,2020-03-14 16:00:00,0.00010000,
1584230400000,2020-03-15 00:00:00,0.00010000,
1584259200000,2020-03-15 08:00:00,0.00006808,
1584288000001,2020-03-15 16:00:00,0.00010000,
1584316800000,2020-03-16 00:00:00,0.00010000,
1584345600000,2020-03-16 08:00:00,0.00010000,
1584374400001,2020-03-16 16:00:00,-0.00072875,
1584403200000,2020-03-17 00:00:00,0.00004465,
1584432000000,2020-03-17 08:00:00,0.00009686,
1584460800000,2020-03-17 16:00:00,0.00010000,
1584489600000,2020-03-18 00:00:00,0.00010000,
1584518400000,2020-03-18 08:00:00,0.00010000,
1584547200000,2020-03-18 16:00:00,0.00010000,
1584576000000,2020-03-19 00:00:00,0.00010000,
1584604800000,2020-03-19 08:00:00,0.00010000,
1584633600000,2020-03-19 16:00:00,0.00010000,
1584662400000,2020-03-20 00:00:00,0.00010000,
1584691200000,2020-03-20 08:00:00,0.00010000,
1584720000000,2020-03-20 16:00:00,0.00010000,
1584748800000,2020-03-21 00:00:00,0.00010000,
1584777600000,2020-03-21 08:00:00,0.00010000,
1584806400000,2020-03-21 16:00:00,0.00010000,
