funding_time,date,funding_rate,mark_price
1577894400000,2020-01-01 16:00:00,-0.00016125,
1577923200002,2020-01-02 00:00:00,0.00005047,
1577952000000,2020-01-02 08:00:00,0.00010000,
1577980800000,2020-01-02 16:00:00,0.00010000,
1578009600000,2020-01-03 00:00:00,0.00010000,
1578038400000,2020-01-03 08:00:00,0.00010000,
1578067200001,2020-01-03 16:00:00,0.00010000,
1578096000000,2020-01-04 00:00:00,0.00010000,
1578124800000,2020-01-04 08:00:00,0.00010000,
1578153600000,2020-01-04 16:00:00,0.00010000,
1578182400000,2020-01-05 00:00:00,0.00010000,
1578211200000,2020-01-05 08:00:00,0.00010000,
1578240000000,2020-01-05 16:00:00,0.00010000,
1578268800000,2020-01-06 00:00:00,0.00010000,
1578297600000,2020-01-06 08:00:00,0.00010000,
1578326400000,2020-01-06 16:00:00,0.00010000,
1578355200000,2020-01-07 00:00:00,0.00010000,
1578384000001,2020-01-07 08:00:00,0.00010000,
1578412800000,2020-01-07 16:00:00,0.00010000,
1578441600000,2020-01-08 00:00:00,0.00010000,
1578470400000,2020-01-08 08:00:00,0.00010000,
1578499200001,2020-01-08 16:00:00,0.00010000,
1578528000000,2020-01-09 00:00:00,0.00010000,
1578556800000,2020-01-09 08:00:00,0.00010000,
1578585600000,2020-01-09 16:00:00,0.00010000,
1578614400000,2020-01-10 00:00:00,0.00010000,
1578643200000,2020-01-10 08:00:00,0.00010000,
1578672000000,2020-01-10 16:00:00,0.00010000,
1578700800000,2020-01-11 00:00:00,0.00010000,
1578729600000,2020-01-11 08:00:00,0.00010000,
1578758400000,2020-01-11 16:00:00,0.00010000,
1578787200000,2020-01-12 00:00:00,0.00010000,
1578816000000,2020-01-12 08:00:00,0.00010000,
1578844800000,2020-01-12 16:00:00,0.00010000,
1578873600001,2020-01-13 00:00:00,0.00010000,
1578902400000,2020-01-13 08:00:00,0.00010000,
1578931200000,2020-01-13 16:00:00,0.00010000,
1578960000000,2020-01-14 00:00:00,0.00010000,
1578988800000,2020-01-14 08:00:00,0.00010000,
1579017600001,2020-01-14 16:00:00,0.00010000,
1579046400000,2020-01-15 00:00:00,0.00011544,
1579075200000,2020-01-15 08:00:00,0.00020223,
1579104000000,2020-01-15 16:00:00,0.00031864,
1579132800000,2020-01-16 00:00:00,0.00017165,
1579161600000,2020-01-16 08:00:00,0.00038406,
1579190400000,2020-01-16 16:00:00,0.00042240,
1579219200000,2020-01-17 00:00:00,0.00018772,
1579248000000,2020-01-17 08:00:00,0.00010000,
1579276800000,2020-01-17 16:00:00,0.00020327,
1579305600001,2020-01-18 00:00:00,0.00010000,
1579334400001,2020-01-18 08:00:00,0.00010000,
1579363200000,2020-01-18 16:00:00,0.00011014,
1579392000000,2020-01-19 00:00:00,0.00044662,
1579420800000,2020-01-19 08:00:00,0.00019851,
1579449600000,2020-01-19 16:00:00,0.00023852,
1579478400000,2020-01-20 00:00:00,0.00047503,
1579507200000,2020-01-20 08:00:00,0.00054081,
1579536000000,2020-01-20 16:00:00,0.00038562,
1579564800000,2020-01-21 00:00:00,0.00021637,
1579593600000,2020-01-21 08:00:00,0.00016823,
1579622400000,2020-01-21 16:00:00,0.00018627,
1579651200000,2020-01-22 00:00:00,0.00015350,
1579680000001,2020-01-22 08:00:00,0.00010000,
1579708800000,2020-01-22 16:00:00,0.00010000,
1579737600000,2020-01-23 00:00:00,0.00010000,
1579766400000,2020-01-23 08:00:00,0.00010000,
1579795200000,2020-01-23 16:00:00,0.00021994,
1579824000000,2020-01-24 00:00:00,0.00017114,
1579852800000,2020-01-24 08:00:00,0.00017748,
1579881600001,2020-01-24 16:00:00,0.00025923,
1579910400000,2020-01-25 00:00:00,0.00010000,
1579939200000,2020-01-25 08:00:00,0.00010000,
1579968000001,2020-01-25 16:00:00,0.00027793,
1579996800000,2020-01-26 00:00:00,0.00031959,
1580025600000,2020-01-26 08:00:00,0.00026387,
1580054400000,2020-01-26 16:00:00,0.00010000,
1580083200000,2020-01-27 00:00:00,0.00010000,
1580112000001,2020-01-27 08:00:00,0.00010000,
1580140800000,2020-01-27 16:00:00,0.00010000,
1580169600000,2020-01-28 00:00:00,0.00010167,
1580198400000,2020-01-28 08:00:00,0.00049212,
1580227200000,2020-01-28 16:00:00,0.00091788,
1580256000001,2020-01-29 00:00:00,0.00122251,
1580284800000,2020-01-29 08:00:00,0.00106130,
1580313600002,2020-01-29 16:00:00,0.00055576,
1580342400000,2020-01-30 00:00:00,0.00054882,
1580371200000,2020-01-30 08:00:00,0.00049058,
1580400000000,2020-01-30 16:00:00,0.00054951,
1580428800000,2020-01-31 00:00:00,0.00082589,
1580457600000,2020-01-31 08:00:00,0.00132017,
1580486400000,2020-01-31 16:00:00,0.00093741,
