date,model_asset,model_exposure,canonical_gross_return,same_day_asset_return,asset_times_exposure,residual,covered
2019-03-29,BASE,1.0,0.015702479339,,,,False
2019-04-01,BASE,1.25,0.021281931393,,,,False
2019-04-02,BASE,1.25,0.127642714995,,,,False
2019-04-03,BASE,1.25,0.133167165929,,,,False
2019-04-04,BASE,1.25,-0.001875,,,,False
2019-04-05,BASE,1.25,0.0,,,,False
2019-04-06,BASE,1.25,0.0,,,,False
2019-04-07,BASE,1.25,0.0,,,,False
2019-04-08,BASE,1.25,0.0,,,,False
2019-04-09,BASE,1.25,-0.030691025067,,,,False
2019-04-10,BASE,1.25,0.018041237113,,,,False
2019-04-23,BASE,1.25,0.031773016946,,,,False
2019-04-24,BASE,1.25,-0.017819402146,,,,False
2019-04-25,BASE,1.25,-0.045036934441,,,,False
2019-04-26,BASE,1.25,0.022557903408,,,,False
2019-04-27,BASE,1.25,-0.004330460473,,,,False
2019-04-28,BASE,1.25,0.002792365112,,,,False
2019-04-29,BASE,1.25,-0.016340023212,,,,False
2019-04-30,BASE,1.25,0.019727899598,,,,False
2019-05-01,BASE,1.25,0.014657072889,,,,False
2019-05-02,BASE,1.25,0.025465801011,,,,False
2019-05-07,BTC,1.25,0.021432150444,0.017145720355127736,0.02143215044390967,9.03305208410643e-14,True
2019-05-08,BTC,1.25,0.030136375921,0.024109100736529054,0.030136375920661318,3.386804725558079e-13,True
2019-05-09,BTC,1.25,0.046325215582,0.037060172465339214,0.04632521558167402,3.259822967116577e-13,True
2019-05-10,BASE,1.0,0.026436663134,,,,False
2019-05-11,BASE,1.0,0.110286145547,,,,False
2019-05-12,BASE,1.25,-0.019238731978,,,,False
2019-05-13,BASE,1.25,0.147725592804,,,,False
2019-05-14,BASE,1.25,0.025166191528,,,,False
2019-05-15,BASE,1.25,0.034965133953,,,,False
2019-05-16,BASE,1.25,-0.046402207134,,,,False
2019-06-16,BASE,1.25,-0.001875,,,,False
2019-06-17,BASE,1.25,0.0,,,,False
2019-06-18,BASE,1.25,0.0,,,,False
2019-06-19,BASE,1.25,0.0,,,,False
2019-06-20,BASE,1.25,0.0,,,,False
2019-06-21,BASE,1.25,0.08254392085,,,,False
2019-06-22,BASE,1.25,0.07008462715,,,,False
2019-06-23,BASE,1.25,0.020570623049,,,,False
2019-06-24,BASE,1.25,0.017251860661,,,,False
2019-06-25,BASE,1.25,0.086404352517,,,,False
2019-06-26,BASE,1.25,0.134607380512,,,,False
2020-01-29,BTC,0.75,-0.005814890001,-0.007753186668529755,-0.005814890001397316,3.9731586076729997e-13,True
2020-01-30,BTC,0.75,0.017068159754,0.022757546339150503,0.017068159754362877,-3.628763955987324e-13,True
