asset,selected_days,selected_days_pct,profile
LINK,72,2.478485370051635,phase66g_production_soft_filters
TRX,66,2.2719449225473323,phase66g_production_soft_filters
DOGE,60,2.0654044750430294,phase66g_production_soft_filters
ADA,54,1.8588640275387263,phase66g_production_soft_filters
ETH,18,0.6196213425129088,phase66g_production_soft_filters
