date,trend_input_raw,trend_threshold_raw,trend_band,trend_score_raw,trend_score,buy_threshold,prev_trend_score,crossed_up_today,crossed_down_today,trend_state_label,trend_calc_date
2018-05-05,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-05
2018-05-06,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-06
2018-05-07,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-07
2018-05-08,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-08
2018-05-09,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-09
2018-05-10,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-10
2018-05-11,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-11
2018-05-12,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-12
2018-05-13,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-13
2018-05-14,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-14
2018-05-15,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-15
2018-05-16,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-16
2018-05-17,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-17
2018-05-18,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-18
2018-05-19,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-19
2018-05-20,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-20
2018-05-21,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-21
2018-05-22,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-22
2018-05-23,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-23
2018-05-24,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-24
2018-05-25,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-25
2018-05-26,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-26
2018-05-27,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-27
2018-05-28,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-28
2018-05-29,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-29
2018-05-30,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-30
2018-05-31,,0.02,0.12,,,0.0,,False,False,nezname,2018-05-31
2018-06-01,,0.02,0.12,,,0.0,,False,False,nezname,2018-06-01
2018-06-02,,0.02,0.12,,,0.0,,False,False,nezname,2018-06-02
2018-06-03,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,,False,False,pod_buy_hranicou,2018-06-03
2018-06-04,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-04
2018-06-05,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-05
2018-06-06,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-06
2018-06-07,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-07
2018-06-08,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-08
2018-06-09,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-09
2018-06-10,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-10
2018-06-11,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-11
2018-06-12,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-12
2018-06-13,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-13
2018-06-14,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-14
2018-06-15,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-15
2018-06-16,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-16
2018-06-17,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-17
2018-06-18,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-18
2018-06-19,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-19
2018-06-20,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-20
2018-06-21,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-21
2018-06-22,0.0,0.02,0.12,-0.16666666666666669,-0.16666666666666669,0.0,-0.16666666666666669,False,False,pod_buy_hranicou,2018-06-22
