asset,train_total_delta_pct,recent_total_delta_pct,train_dd_worsen_pct,train_triggers,score,passed_filters,profile,decision_date,next_date_exclusive,probation_delta_pct,suspended,suspended_until_rebalance_idx,incumbent_asset_before,selected_asset,keep_reason
ADA,0.0,0.0,0.0,0,0.0,False,phase66g_production_soft_filters,2026-03-28,2026-03-30,0.0,False,244,,,best_passed
AVAX,0.0,0.0,0.0,0,0.0,False,phase66g_production_soft_filters,2026-03-28,2026-03-30,0.0,False,293,,,best_passed
DOGE,0.0,0.0,0.0,0,0.0,False,phase66g_production_soft_filters,2026-03-28,2026-03-30,0.0,False,233,,,best_passed
DOT,0.0,0.0,0.0,0,0.0,False,phase66g_production_soft_filters,2026-03-28,2026-03-30,0.0,False,250,,,best_passed
LINK,0.0,0.0,0.0,0,0.0,False,phase66g_production_soft_filters,2026-03-28,2026-03-30,0.0,False,277,,,best_passed
XRP,0.0,0.0,0.0,0,0.0,False,phase66g_production_soft_filters,2026-03-28,2026-03-30,0.0,False,290,,,best_passed
TRX,-19.82586501388228,0.0,-2.4225350527672056,6,-28.83879752082342,False,phase66g_production_soft_filters,2026-03-28,2026-03-30,0.0,False,334,,,best_passed
BNB,-23.167144562987502,0.0,-3.9608168998639606,5,-34.00071684448125,False,phase66g_production_soft_filters,2026-03-28,2026-03-30,0.0,False,334,,,best_passed
ETH,-27.48669921512584,0.0,-1.3764081887529969,8,-40.030048822688755,False,phase66g_production_soft_filters,2026-03-28,2026-03-30,0.0,False,336,,,best_passed
