asset,file,raw_rows,daily_rows,start_date,end_date,history_days,non_na_close_ratio,max_gap_days
ADA,C:\actions-runner-trendatlas\_work\trendatlas-crypto\trendatlas-crypto\data\ohlcv\ADAUSDT_1d.csv,2923,2923,2018-04-17,2026-04-17,2923,100.0,1
AVAX,C:\actions-runner-trendatlas\_work\trendatlas-crypto\trendatlas-crypto\data\ohlcv\AVAXUSDT_1d.csv,2034,2034,2020-09-22,2026-04-17,2034,100.0,1
BNB,C:\actions-runner-trendatlas\_work\trendatlas-crypto\trendatlas-crypto\data\ohlcv\BNBUSDT_1d.csv,3085,3085,2017-11-06,2026-04-17,3085,100.0,1
DOGE,C:\actions-runner-trendatlas\_work\trendatlas-crypto\trendatlas-crypto\data\ohlcv\DOGEUSDT_1d.csv,2479,2479,2019-07-05,2026-04-17,2479,100.0,1
DOT,C:\actions-runner-trendatlas\_work\trendatlas-crypto\trendatlas-crypto\data\ohlcv\DOTUSDT_1d.csv,2069,2069,2020-08-18,2026-04-17,2069,100.0,1
ETH,C:\actions-runner-trendatlas\_work\trendatlas-crypto\trendatlas-crypto\data\ohlcv\ETHUSDT_1d.csv,3166,3166,2017-08-17,2026-04-17,3166,100.0,1
LINK,C:\actions-runner-trendatlas\_work\trendatlas-crypto\trendatlas-crypto\data\ohlcv\LINKUSDT_1d.csv,2649,2649,2019-01-16,2026-04-17,2649,100.0,1
TRX,C:\actions-runner-trendatlas\_work\trendatlas-crypto\trendatlas-crypto\data\ohlcv\TRXUSDT_1d.csv,2868,2868,2018-06-11,2026-04-17,2868,100.0,1
XRP,C:\actions-runner-trendatlas\_work\trendatlas-crypto\trendatlas-crypto\data\ohlcv\XRPUSDT_1d.csv,2906,2906,2018-05-04,2026-04-17,2906,100.0,1
