layer,parent,child,delta_cagr_pp,delta_mdd_pp,delta_turnover,delta_cost_pp,annual_log_growth_difference_low,annual_log_growth_difference_high
BTC/trend permission,A_selector,B_permission,-20.6789934572,0,-14.0725561854,-4.05092950007,-0.374914605286,0.00845031878881
soft governance only,B_permission,C1_soft_governance_only,-0.2141652115,0,0.3797977133,0.05507069599,-0.00596247375584,7.97053494789e-16
reference governor before pruning,C1_soft_governance_only,C_soft_filters,14.4821448851,-7.0130608506,-4.1798797287,-0.81211845436,-0.0804166609067,0.370788963787
pruning combined,C_soft_filters,D_pruning,-12.6928267714,3.252891879,-0.7594993302,-0.10388395202,-0.333782261687,0.000308776471828
core LTC/SOL pruning,C_soft_filters,S_NEO_only_not_pruned,-12.6928267714,3.252891879,-0.7594993302,-0.10388395202,-0.333782261687,0.000308776471828
NEO pruning only,S_NEO_only_not_pruned,D_pruning,0,0,0,0,0,0
1.25x exposure,D_pruning,E_exposure_125,0.11511067774,5.8052903016,5.2385946387,1.07333211221,-0.0437744515164,0.0423969714958
BTC persistence bridge,E_exposure_125,E_persistence_bridge,0.23360343633,0.4502985796,0.5899145316,0.24006434787,-0.0123474349656,0.020505437216
ETF early entry,E_persistence_bridge,F_ETF_no_cooldown,-0.36240142623,0,4.4399202617,1.00279008746,-0.0381691261411,0.0342189203176
15-day cooldown,F_ETF_no_cooldown,G_current,-1.22037690351,0,-1.5493466649,-0.36513477602,-0.0427090660599,0.0123123210651
replace selector,G_current,H_replace_selector,12.4529116453,8.6725049955,22.462916646,4.69781335454,-0.288396983373,0.514931907058
slow rotation + hysteresis,G_current,I_slow_hysteresis,-11.5527987588,3.7776990556,-15.9563828449,-3.16123157608,-0.359002153966,0.145170679785
