batch_id,experiment_id,spec_path,dispatch_exit_code,final_status,decision,run_dir,run_manifest_path,run_status_path,promotion_decision_path
batch_20260330_112213,phase70_golden_path_harness,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\phase70_golden_path_harness.spec_ready.json,0,forensic_ready,promote_to_precheck,C:\Users\benda\Desktop\market_regime_v1\research_os\runs\run_20260330_112213_phase70_golden_path_harness,C:\Users\benda\Desktop\market_regime_v1\research_os\runs\run_20260330_112213_phase70_golden_path_harness\run_manifest.json,C:\Users\benda\Desktop\market_regime_v1\research_os\runs\run_20260330_112213_phase70_golden_path_harness\run_status.json,C:\Users\benda\Desktop\market_regime_v1\research_os\promotion_queue\run_20260330_112213_phase70_golden_path_harness_promotion_decision.json
batch_20260330_112213,phase70_ai_lab_example,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\phase70_ai_lab_example.spec_ready.json,0,archived,kill,C:\Users\benda\Desktop\market_regime_v1\research_os\runs\run_20260330_112214_phase70_ai_lab_example,C:\Users\benda\Desktop\market_regime_v1\research_os\runs\run_20260330_112214_phase70_ai_lab_example\run_manifest.json,C:\Users\benda\Desktop\market_regime_v1\research_os\runs\run_20260330_112214_phase70_ai_lab_example\run_status.json,C:\Users\benda\Desktop\market_regime_v1\research_os\promotion_queue\run_20260330_112214_phase70_ai_lab_example_promotion_decision.json
