model,label,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret,recent_total_return_pct,recent_cagr_pct,recent_max_drawdown_pct,recent_trade_count,recent_cash_days_pct
phase49_bnb_hybrid_strict,BNB hybrid strict,17869.05,93.47,-36.25,1.456,1.864,194,69.66,87.96,69.04,49.4687,100.08,78.07,-22.56,32,64.77
phase49_bnb_hybrid_base,BNB hybrid base,16920.34,92.14,-36.25,1.444,1.881,196,69.62,87.97,69.3,49.5274,100.08,78.07,-22.56,32,64.77
phase49_no_bnb_baseline,No BNB baseline,14171.23,87.89,-36.25,1.394,1.835,193,69.69,88.75,69.46,49.6173,65.95,52.41,-23.05,35,64.77
