asset_concentration,attribution_valid,baseline_qualifies,cagr,calmar,costs,delayed_cagr,delayed_mdd,double_cost_cagr,double_cost_mdd,family,fee,fold_count,funding,liquidations,mdd,median_holding,profitable_folds,sharpe,slippage,status,total_log_growth,trade_concentration,trades,turnover,without_best_day,without_three_trades,worst_fold,reason
1.0,True,False,0.11339252371518264,0.34162164646597126,0.00899100898876323,0.09070586833034094,0.34236026971892997,0.10341692525377176,0.33459126524712846,A,0.004495502247752249,4.0,0.0,0.0,0.33192429369805054,31.166666666666668,3.0,0.5204637506200254,0.0044955067410109815,VALID,0.4296467276837089,0.814710452071523,9.0,4.495502247752248,0.0881148430505137,-0.06713738408396909,-0.16821084758301683,
,,,,,,,,,,B,,,,,,,,,,REJECT_INCOMPLETE_EXECUTION_EVIDENCE,,,,,,,,
,False,False,-0.0617953396061787,-0.1383829637766407,0.16983016978775023,-0.024869232667396258,0.4038170857655352,-0.20847005123341977,0.6974748460774134,C,0.08491504245754246,4.0,0.0,0.0,0.4465530865917895,0.8333333333333334,1.0,-0.16092440969134647,0.08491512733020778,VALID,-0.25514866288939786,,170.0,84.91504245754246,-0.08450944461508678,-0.18296394150219533,-0.18357353995330764,
,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_CASH,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VALID,0.0,,0.0,0.0,0.0,0.0,0.0,
1.0,True,,0.16883298267724747,0.24870313059975185,0.0039960039950059,0.16410972346725888,0.6788534678679119,0.16416697808971775,0.6788534678679159,baseline_BTC_hold,0.001998000999000996,4.0,0.0,0.0,0.6788534678679108,365.0,2.0,0.5602923823806362,0.0019980029960049044,VALID,0.6240232012858664,1.4975567103784655,4.0,1.998000999000996,0.12996439305010618,-0.24059155437839916,-0.6434994158860032,
1.0,True,,0.29194016058098676,0.8846423464152443,0.01798201797752649,0.27018147491355654,0.334160480350016,0.2688932285677142,0.3432759900505151,baseline_BTC_SMA200,0.008991004495504492,4.0,0.0,0.0,0.3300092537554745,4.5,2.0,0.8963272062315779,0.008991013482021998,VALID,1.0245803557921125,0.38903503832549674,18.0,8.991004495504491,0.26066205494852895,0.002167251515202906,-0.14665200547014562,
,,,,,,,,,,D,,,,,,,,,,NOT_RUN_DATA_GATE,,,,,,,,"Actual funding captured, but matched perpetual trade/mark and historical maintenance/liquidation evidence incomplete"
,,,,,,,,,,E,,,,,,,,,,NOT_RUN_NO_QUALIFIED_MEMBERS,,,,,,,,
