ablation,asset_concentration,attribution_valid,cagr,calmar,candidate_id,costs,delayed_cagr,delayed_mdd,double_cost_cagr,double_cost_mdd,fee,fold_count,funding,generation,liquidations,mdd,median_holding,origin,profitable_folds,scope,sharpe,slippage,status,total_log_growth,trade_concentration,trades,turnover,without_best_day,without_three_trades,worst_fold,year,family,pareto_rank,development_feasible
,,False,-0.03446863839718985,-0.05685195966516791,A_f1446811c14e,0.007997481968087075,-0.0005716889013820325,0.5928076287814643,-0.04216734081837935,0.6078593115490999,0.00399873898567186,1,0.0,0,0,0.606287603808108,110.0,2022,0,development,0.27609332337313774,0.003998742982415215,VALID,-0.03505268671148268,,2,3.99873898567186,-0.19236695847206778,-0.1771595951772202,-0.03444545697622406,2021,A,0,False
,,False,-0.10830179813582401,-0.17118093172717674,A_5ece5d1a92f2,0.007997481968087026,-0.15479577392296923,0.6540212060214814,-0.11541178894365192,0.6341407994244408,0.003998738985671858,1,0.0,0,0,0.6326744284137459,120.91666666666666,2022,0,development,0.19354745029488574,0.003998742982415167,VALID,-0.11454908409210107,,2,3.9987389856718583,-0.25412580105004795,-0.23184462126090283,-0.10823183428691827,2021,A,0,False
,,False,-0.04065016641503546,-0.06720970521919509,A_092758979371,0.007997481968087054,-0.06649702021219274,0.6179026797983986,-0.048299580178600664,0.6064033831265911,0.003998738985671854,1,0.0,0,0,0.6048258399952895,105.91666666666666,2022,0,development,0.26213256947263547,0.003998742982415199,VALID,-0.04147107579805348,,2,3.9987389856718543,-0.197537589352514,-0.231844621260901,-0.04062291584331227,2021,A,0,False
,,False,-0.04065016641503546,-0.06720970521919509,A_f07a775bba77,0.007997481968087054,-0.06649702021219274,0.6179026797983986,-0.048299580178600664,0.6064033831265911,0.003998738985671854,1,0.0,0,0,0.6048258399952895,105.91666666666666,2022,0,development,0.26213256947263547,0.003998742982415199,VALID,-0.04147107579805348,,2,3.9987389856718543,-0.197537589352514,-0.231844621260901,-0.04062291584331227,2021,A,0,False
,,False,-0.10830179813582401,-0.17118093172717674,A_d99f6bffa222,0.007997481968087026,-0.15479577392296923,0.6540212060214814,-0.11541178894365192,0.6341407994244408,0.003998738985671858,1,0.0,0,0,0.6326744284137459,120.91666666666666,2022,0,development,0.19354745029488574,0.003998742982415167,VALID,-0.11454908409210107,,2,3.9987389856718583,-0.25412580105004795,-0.23184462126090283,-0.10823183428691827,2021,A,0,False
,,False,-0.10830179813582401,-0.17118093172717674,A_fa4669ef4a97,0.007997481968087026,-0.15479577392296923,0.6540212060214814,-0.11541178894365192,0.6341407994244408,0.003998738985671858,1,0.0,0,0,0.6326744284137459,120.91666666666666,2022,0,development,0.19354745029488574,0.003998742982415167,VALID,-0.11454908409210107,,2,3.9987389856718583,-0.25412580105004795,-0.23184462126090283,-0.10823183428691827,2021,A,0,False
,,False,-0.10830179813582401,-0.17118093172717674,A_9a59aa82c767,0.007997481968087026,-0.15479577392296923,0.6540212060214814,-0.11541178894365192,0.6341407994244408,0.003998738985671858,1,0.0,1,0,0.6326744284137459,120.91666666666666,2022,0,development,0.19354745029488574,0.003998742982415167,VALID,-0.11454908409210107,,2,3.9987389856718583,-0.25412580105004795,-0.23184462126090283,-0.10823183428691827,2021,A,0,False
,,False,-0.03446863839718985,-0.05685195966516791,A_897b84cd4018,0.007997481968087075,-0.0005716889013820325,0.5928076287814643,-0.04216734081837935,0.6078593115490999,0.00399873898567186,1,0.0,1,0,0.606287603808108,110.0,2022,0,development,0.27609332337313774,0.003998742982415215,VALID,-0.03505268671148268,,2,3.99873898567186,-0.19236695847206778,-0.1771595951772202,-0.03444545697622406,2021,A,0,False
,,False,-0.07335761479925643,-0.11791276457047731,A_3332f03f6da7,0.00799748196808704,-0.07550000903492968,0.6233152294749251,-0.08074623443216011,0.6236430815101447,0.0039987389856718574,1,0.0,1,0,0.6221346354355898,110.0,2022,0,development,0.21509819704048902,0.003998742982415181,VALID,-0.07613541678390706,,2,3.998738985671858,-0.2248962201227414,-0.25163034211016055,-0.07330929141312528,2021,A,0,False
,,False,-0.04065016641503546,-0.06720970521919509,A_8c3f53739a33,0.007997481968087054,-0.06649702021219274,0.6179026797983986,-0.048299580178600664,0.6064033831265911,0.003998738985671854,1,0.0,1,0,0.6048258399952895,105.91666666666666,2022,0,development,0.26213256947263547,0.003998742982415199,VALID,-0.04147107579805348,,2,3.9987389856718543,-0.197537589352514,-0.231844621260901,-0.04062291584331227,2021,A,0,False
