ts,prev_selected,main_selected,ret_diff_main_minus_prev,ret_diff_main_minus_prev_pct
2024-01-14,BNBUSDT,TRXUSDT,-0.0831196795786641,-8.312
2024-02-10,LINKUSDT,SOLUSDT,-0.0698675899639889,-6.9868
2024-01-02,BNBUSDT,BTCUSDT,-0.0612902352513091,-6.129
2025-10-01,BNBUSDT,TRXUSDT,-0.0588539287219573,-5.8854
2024-06-03,BNBUSDT,SOLUSDT,-0.0498825110931572,-4.9883
2024-01-11,BNBUSDT,BTCUSDT,-0.039109933091412794,-3.911
2025-01-26,BNBUSDT,ETHUSDT,-0.0340554119433559,-3.4055
2025-09-28,BNBUSDT,TRXUSDT,-0.0337621667442316,-3.3762
2025-09-27,BNBUSDT,TRXUSDT,-0.0280339083098494,-2.8034
2024-01-03,BNBUSDT,TRXUSDT,-0.0260486196908189,-2.6049
2023-12-26,BNBUSDT,ETHUSDT,-0.022575920097062108,-2.2576
2023-12-27,BNBUSDT,BTCUSDT,-0.0182915065793969,-1.8292
2024-01-13,BNBUSDT,TRXUSDT,-0.0175886287671918,-1.7589
2024-02-09,LINKUSDT,SOLUSDT,-0.0168864483259213,-1.6886
2024-12-29,BNBUSDT,ETHUSDT,-0.0167332267056511,-1.6733
2024-01-10,BNBUSDT,BTCUSDT,-0.0145964570816069,-1.4596
2025-01-07,BNBUSDT,BTCUSDT,-0.0136982787491494,-1.3698
2025-01-08,BNBUSDT,BTCUSDT,-0.0112270372505021,-1.1227
2023-12-29,BNBUSDT,TRXUSDT,-0.0105239866790313,-1.0524
2025-09-26,BNBUSDT,TRXUSDT,-0.009987240532387101,-0.9987
2024-01-08,BNBUSDT,BTCUSDT,-0.0093520482157247,-0.9352
2025-09-01,BNBUSDT,TRXUSDT,-0.0078650040022734,-0.7865
2025-01-10,BNBUSDT,SOLUSDT,-0.0058499799350741994,-0.585
2025-01-27,BNBUSDT,ETHUSDT,-0.005762838267374604,-0.5763
2023-12-31,BNBUSDT,TRXUSDT,-0.0047089948225015,-0.4709
2024-01-09,BNBUSDT,BTCUSDT,-0.003811774307478401,-0.3812
2025-08-31,BNBUSDT,ETHUSDT,-0.003650952026062802,-0.3651
2025-01-02,BNBUSDT,BTCUSDT,-0.002955793454327501,-0.2956
2024-12-30,BNBUSDT,ETHUSDT,-0.0028185848128,-0.2819
2024-12-31,BNBUSDT,BTCUSDT,-3.312613481879986e-05,-0.0033
