prev_selected,main_selected,pair,days,sum_ret_diff_pct_points,avg_ret_diff_pct_points
BNBUSDT,TRXUSDT,BNBUSDT -> TRXUSDT,7,-12.1496,-1.7357
BNBUSDT,SOLUSDT,BNBUSDT -> SOLUSDT,1,-0.585,-0.585
AVAXUSDT,DOGEUSDT,AVAXUSDT -> DOGEUSDT,1,0.0055,0.0055
BNBUSDT,BTCUSDT,BNBUSDT -> BTCUSDT,7,0.5071,0.0724
BNBUSDT,ETHUSDT,BNBUSDT -> ETHUSDT,8,2.3605,0.2951
