prev_selected,main_selected,pair,days,sum_ret_diff_pct_points,avg_ret_diff_pct_points
BNBUSDT,TRXUSDT,BNBUSDT -> TRXUSDT,18,-10.5978,-0.5888
LINKUSDT,SOLUSDT,LINKUSDT -> SOLUSDT,2,-8.6754,-4.3377
BNBUSDT,SOLUSDT,BNBUSDT -> SOLUSDT,2,-5.5732,-2.7866
BNBUSDT,ETHUSDT,BNBUSDT -> ETHUSDT,11,-1.8523,-0.1684
AVAXUSDT,DOGEUSDT,AVAXUSDT -> DOGEUSDT,1,0.0055,0.0055
BTCUSDT,ETHUSDT,BTCUSDT -> ETHUSDT,1,0.2907,0.2907
BTCUSDT,TRXUSDT,BTCUSDT -> TRXUSDT,1,0.3496,0.3496
BNBUSDT,BTCUSDT,BNBUSDT -> BTCUSDT,20,2.278,0.1139
LINKUSDT,AVAXUSDT,LINKUSDT -> AVAXUSDT,2,5.942,2.971
LINKUSDT,ETHUSDT,LINKUSDT -> ETHUSDT,2,8.4897,4.2448
