prev_selected,main_selected,pair,days,sum_ret_diff_pct_points,avg_ret_diff_pct_points,window
BNBUSDT,TRXUSDT,BNBUSDT -> TRXUSDT,18,-10.5978,-0.5888,since_2023
LINKUSDT,SOLUSDT,LINKUSDT -> SOLUSDT,2,-8.6754,-4.3377,since_2023
BNBUSDT,SOLUSDT,BNBUSDT -> SOLUSDT,2,-5.5732,-2.7866,since_2023
BNBUSDT,ETHUSDT,BNBUSDT -> ETHUSDT,11,-1.8523,-0.1684,since_2023
AVAXUSDT,DOGEUSDT,AVAXUSDT -> DOGEUSDT,1,0.0055,0.0055,since_2023
BTCUSDT,ETHUSDT,BTCUSDT -> ETHUSDT,1,0.2907,0.2907,since_2023
BTCUSDT,TRXUSDT,BTCUSDT -> TRXUSDT,1,0.3496,0.3496,since_2023
BNBUSDT,BTCUSDT,BNBUSDT -> BTCUSDT,20,2.278,0.1139,since_2023
LINKUSDT,AVAXUSDT,LINKUSDT -> AVAXUSDT,2,5.942,2.971,since_2023
LINKUSDT,ETHUSDT,LINKUSDT -> ETHUSDT,2,8.4897,4.2448,since_2023
BNBUSDT,TRXUSDT,BNBUSDT -> TRXUSDT,7,-12.1496,-1.7357,since_2025
BNBUSDT,SOLUSDT,BNBUSDT -> SOLUSDT,1,-0.585,-0.585,since_2025
AVAXUSDT,DOGEUSDT,AVAXUSDT -> DOGEUSDT,1,0.0055,0.0055,since_2025
BNBUSDT,BTCUSDT,BNBUSDT -> BTCUSDT,7,0.5071,0.0724,since_2025
BNBUSDT,ETHUSDT,BNBUSDT -> ETHUSDT,8,2.3605,0.2951,since_2025
