ts,main_selected,main_strategy_ret,main_gross_exposure,main_turnover,prev_selected,prev_strategy_ret,prev_gross_exposure,prev_turnover,ret_diff_main_minus_prev,same_selection,different_selection,main_in_market,prev_in_market,main_cash_prev_in,prev_cash_main_in,pair,month
2023-01-01,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-02,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-03,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-04,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-05,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-06,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-07,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-08,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-09,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-10,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-11,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-12,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2023-01
2023-01-13,LTCUSDT,0.0171709961730255,1.0,1.0,LTCUSDT,0.0171709961730255,1.0,1.0,0.0,True,False,True,True,False,False,LTCUSDT -> LTCUSDT,2023-01
2023-01-14,LTCUSDT,-0.0053506375227686,1.0,0.0,LTCUSDT,-0.0053506375227686,1.0,0.0,0.0,True,False,True,True,False,False,LTCUSDT -> LTCUSDT,2023-01
2023-01-15,LTCUSDT,-0.0167105413757583,1.0,0.0,LTCUSDT,-0.0167105413757583,1.0,0.0,0.0,True,False,True,True,False,False,LTCUSDT -> LTCUSDT,2023-01
2023-01-16,LTCUSDT,0.0129204981957862,1.0,0.0,LTCUSDT,0.0129204981957862,1.0,0.0,0.0,True,False,True,True,False,False,LTCUSDT -> LTCUSDT,2023-01
2023-01-17,LTCUSDT,-0.05056308894507,1.0,0.0,LTCUSDT,-0.05056308894507,1.0,0.0,0.0,True,False,True,True,False,False,LTCUSDT -> LTCUSDT,2023-01
2023-01-18,LTCUSDT,0.0192447349310092,1.0,0.0,LTCUSDT,0.0192447349310092,1.0,0.0,0.0,True,False,True,True,False,False,LTCUSDT -> LTCUSDT,2023-01
2023-01-19,LTCUSDT,0.0720817005106282,1.0,0.0,LTCUSDT,0.0720817005106282,1.0,0.0,0.0,True,False,True,True,False,False,LTCUSDT -> LTCUSDT,2023-01
2023-01-20,LTCUSDT,-0.0262516614975631,1.0,0.0,LTCUSDT,-0.0262516614975631,1.0,0.0,0.0,True,False,True,True,False,False,LTCUSDT -> LTCUSDT,2023-01
